level,archetype_or_matchup,games_first,wins_first,wr_first,wilson_lo_first,wilson_hi_first,games_second,wins_second,wr_second,wilson_lo_second,wilson_hi_second,advantage,advantage_ci_lo,advantage_ci_hi,credible
POOLED,ALL_DECISIVE_GAMES,3491,1896,0.5431108564881123,0.526548195253585,0.5595787445651873,3491,1595,0.4568891435118877,0.4404212554348127,0.47345180474641513,0.08622171297622461,0.0628528368847191,0.10959058906773012,True
ARCHETYPE,Cynthia's Garchomp ex,156,89,0.5705128205128205,0.4920613571347295,0.6455750243292248,140,67,0.4785714285714286,0.39750661382204727,0.5607807947652134,0.09194139194139189,-0.02155264645897534,0.20543543034175912,False
ARCHETYPE,Dragapult ex,137,81,0.5912408759124088,0.5075248461284203,0.6699797055095149,200,105,0.525,0.4559739601468475,0.5930837735342892,0.06624087591240879,-0.0413060974597812,0.17378784928459878,False
ARCHETYPE,Fezandipiti ex,701,371,0.5292439372325249,0.4922349919617238,0.5659341175407153,654,267,0.40825688073394495,0.3712292038745081,0.44635602370430266,0.12098705649857999,0.06822044795137153,0.17375366504578846,True
ARCHETYPE,Marnie's Grimmsnarl ex,1147,618,0.5387968613775065,0.5098666363080008,0.5674680819695291,1078,473,0.4387755102040816,0.4094218069637776,0.46856401163861544,0.10002135117342487,0.058672087267611084,0.14137061507923865,True
ARCHETYPE,Mega Kangaskhan ex,341,179,0.5249266862170088,0.47194131327167577,0.5773567034405184,327,153,0.46788990825688076,0.4144950817994085,0.522030406647971,0.057036777960128016,-0.018687074999779743,0.13276063092003576,False
ARCHETYPE,Mega Lopunny ex,123,71,0.5772357723577236,0.48889556611337576,0.6608977284186497,166,89,0.536144578313253,0.460323083010722,0.6103310439811375,0.04109119404447059,-0.07456620361744284,0.15674859170638403,False
ARCHETYPE,Mega Lucario ex,139,73,0.5251798561151079,0.44260825387547126,0.6063971263397151,123,62,0.5040650406504065,0.41693104851720253,0.5909528090897461,0.021114815464701397,-0.1001242189924561,0.1423538499218589,False
ARCHETYPE,Teal Mask Ogerpon ex,102,57,0.5588235294117647,0.46207044834280186,0.6513066737576143,97,54,0.5567010309278351,0.4575580532092354,0.6515240656795747,0.002122498483929647,-0.13592955086860922,0.14017454783646852,False
ARCHETYPE,Team Rocket's Mewtwo ex,173,100,0.5780346820809249,0.5035298876436451,0.6491492419001587,176,79,0.44886363636363635,0.37725516205172105,0.5226566818688381,0.12917104571728855,0.025173118314988974,0.23316897311958812,True
MATCHUP,Cynthia's Garchomp ex vs Marnie's Grimmsnarl ex,47,33,0.7021276595744681,0.5602232608095392,0.8134874949539516,51,23,0.45098039215686275,0.32267518549374014,0.586152914496312,0.25114726741760535,0.06208716937320549,0.44020736546200523,True
MATCHUP,Dragapult ex vs Fezandipiti ex,31,24,0.7741935483870968,0.6018758161665795,0.886048644387375,45,25,0.5555555555555556,0.4117613449352105,0.6906106996500242,0.21863799283154117,0.011898900577100885,0.4253770850859815,True
MATCHUP,Dragapult ex vs Marnie's Grimmsnarl ex,33,20,0.6060606060606061,0.4368344081994023,0.7531689256552292,43,26,0.6046511627906976,0.45579063062873904,0.7363468524170256,0.0014094432699084392,-0.2202844231578643,0.2231033096976812,False
MATCHUP,Fezandipiti ex vs Dragapult ex,45,20,0.4444444444444444,0.30938930034997586,0.5882386550647896,31,7,0.22580645161290322,0.11395135561262494,0.3981241838334205,0.2186379928315412,0.011898900577100913,0.4253770850859815,True
MATCHUP,Fezandipiti ex vs Fezandipiti ex,149,86,0.5771812080536913,0.4968994986516456,0.6535832314758027,149,63,0.4228187919463087,0.34641676852419734,0.5031005013483544,0.1543624161073826,0.04218558005196649,0.2665392521627987,True
MATCHUP,Fezandipiti ex vs Marnie's Grimmsnarl ex,207,108,0.5217391304347826,0.45391560535668507,0.5887704965624534,210,82,0.3904761904761905,0.3270265848084364,0.45786077869121616,0.13126293995859212,0.03647681704733807,0.22604906286984616,True
MATCHUP,Fezandipiti ex vs Mega Kangaskhan ex,90,52,0.5777777777777777,0.4746118562531433,0.6745759353257391,70,31,0.44285714285714284,0.3324952890930533,0.55916448946812,0.13492063492063489,-0.01984633916990372,0.2896876090111735,False
MATCHUP,Fezandipiti ex vs Team Rocket's Mewtwo ex,33,9,0.2727272727272727,0.15067440885420644,0.44217559002872625,52,11,0.21153846153846154,0.12244370532487486,0.3403210462850457,0.06118881118881117,-0.12698832277930097,0.2493659451569233,False
