pattern_id,pattern_type,description,games,wins,losses,win_rate,first_seen_episode,last_seen_episode,evidence_level
last5_category_ENERGY_MANAGEMENT_0,last5_window_category_presence,Category 'ENERGY_MANAGEMENT' appears at least once in the last5 window,27,13,14,0.48148148148148145,92158945,92032796,USABLE
last5_category_ATTACK_SELECTION_1,last5_window_category_presence,Category 'ATTACK_SELECTION' appears at least once in the last5 window,35,24,11,0.6857142857142857,92158945,92032796,USABLE
last5_category_RETREAT_SELECTION_2,last5_window_category_presence,Category 'RETREAT_SELECTION' appears at least once in the last5 window,10,7,3,0.7,92158945,92048087,USABLE
last5_category_RESOURCE_MANAGEMENT_3,last5_window_category_presence,Category 'RESOURCE_MANAGEMENT' appears at least once in the last5 window,45,23,22,0.5111111111111111,92158945,92032796,USABLE
last5_category_BENCH_MANAGEMENT_4,last5_window_category_presence,Category 'BENCH_MANAGEMENT' appears at least once in the last5 window,20,10,10,0.5,92150473,92033721,USABLE
last5_category_TIMING_5,last5_window_category_presence,Category 'TIMING' appears at least once in the last5 window,6,1,5,0.16666666666666666,92098917,92034712,OBSERVED_ONLY_SMALL_N
first5_category_RESOURCE_MANAGEMENT_0,first5_window_category_presence,Category 'RESOURCE_MANAGEMENT' appears at least once in the first5 window,46,24,22,0.5217391304347826,92158945,92032796,USABLE
first5_category_TIMING_1,first5_window_category_presence,Category 'TIMING' appears at least once in the first5 window,24,14,10,0.5833333333333334,92158945,92032796,USABLE
first5_category_BENCH_MANAGEMENT_2,first5_window_category_presence,Category 'BENCH_MANAGEMENT' appears at least once in the first5 window,6,5,1,0.8333333333333334,92158945,92036613,OBSERVED_ONLY_SMALL_N
first5_category_ENERGY_MANAGEMENT_3,first5_window_category_presence,Category 'ENERGY_MANAGEMENT' appears at least once in the first5 window,34,20,14,0.5882352941176471,92150473,92033721,USABLE
first5_category_RETREAT_SELECTION_4,first5_window_category_presence,Category 'RETREAT_SELECTION' appears at least once in the first5 window,3,0,3,0.0,92053714,92037577,OBSERVED_ONLY_SMALL_N
missed_ko__ATTACK_SELECTION__POSSIBLE,tactical_error_repeat,missed_ko / ATTACK_SELECTION / POSSIBLE,NA,NA,NA,NA,NA,NA,SEE_kaggle_replay_errors.csv
missed_ko__TARGET_SWITCHED_AWAY_NOT_AN_ERROR__POSSIBLE,tactical_error_repeat,missed_ko / TARGET_SWITCHED_AWAY_NOT_AN_ERROR / POSSIBLE,NA,NA,NA,NA,NA,NA,SEE_kaggle_replay_errors.csv
