game_number,game_id,episode_type,is_self_play_validation,timestamp,end_timestamp,result,reward,our_rating_before,our_rating_after,opponent_name,opponent_submission_id,opponent_team_id,opponent_rating,opponent_deck_hash,opponent_deck_ncards,opponent_deck_source,opponent_archetype,opponent_archetype_matched_cards,opponent_headline_signature,opponent_matchup_key,going_first,first_player_index,our_index,turns_ours,turns_opp,turns,steps,decision_count,invalid_actions,timeouts,near_decision_budget_calls_ge_1.8s,calls_ge_1.0s,errors_stderr_nonempty,stdout_nonempty_calls,fallback_count,safety_interventions,decision_duration_mean_s,decision_duration_median_s,decision_duration_max_s,decision_duration_p95_s,decision_duration_p99_s
1,92032796,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:29:50.384Z,2026-08-11T16:30:24.723Z,WIN,1,,,KentoHako,54759089,16394906,,ac1beafbd506c341,60,action,Team Rocket's Kangaskhan ex,2,"Team Rocket's Kangaskhan ex, Team Rocket's Mewtwo ex",Team Rocket's Kangaskhan ex,True,0,0,9,8,10,126,92,NA,NA,0,0,0,0,NA,NA,0.004032684782608696,0.0013035,0.127279,0.001726,0.126318
2,92033721,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:33:50.133Z,2026-08-11T16:34:22.825Z,LOSS,-1,,,Binghui Xu,55393995,16508222,,b166b6b93aa1670b,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,11,12,13,123,76,NA,NA,0,0,0,0,NA,NA,0.0026452894736842107,0.001032,0.121866,0.001481,0.001813
3,92034712,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:37:50.639Z,2026-08-11T16:38:22.453Z,LOSS,-1,,,Ryosuke Takeda,53964306,16376532,,ad9eb15621c47305,60,action,UNLABELED,0,"Mega Froslass ex, Mega Starmie ex","UNLABELED[Mega Froslass ex, Mega Starmie ex]",True,0,0,7,8,9,61,35,NA,NA,0,0,0,0,NA,NA,0.006812171428571429,0.00091,0.127365,0.001393,0.08131
4,92035664,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:41:50.479Z,2026-08-11T16:42:25.642Z,WIN,1,,,shash,55221190,16655012,,b166b6b93aa1670b,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,5,4,6,56,38,NA,NA,0,0,0,0,NA,NA,0.006408605263157895,0.0008415,0.144717,0.001448,0.067736
5,92036613,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:45:50.571Z,2026-08-11T16:46:30.145Z,WIN,1,,,PALTCG,55209438,16392857,,2b3108749e2032d7,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,13,12,14,163,110,NA,NA,0,0,0,0,NA,NA,0.003153390909090909,0.0014075,0.186355,0.002025,0.00233
6,92037577,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:49:57.014Z,2026-08-11T16:50:41.503Z,LOSS,-1,,,takumina,55419733,16381262,,fcac695071c3f3cf,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,False,0,1,14,15,16,180,91,NA,NA,0,0,0,0,NA,NA,0.0032622527472527473,0.00103,0.105034,0.001651,0.097423
7,92038527,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:53:50.740Z,2026-08-11T16:54:26.899Z,LOSS,-1,,,Lixin73,55079064,16514656,,b166b6b93aa1670b,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,13,14,15,176,110,NA,NA,0,0,0,0,NA,NA,0.003164854545454545,0.0011305,0.12813,0.001614,0.00186
8,92039487,EPISODE_TYPE_PUBLIC,False,2026-08-11T16:57:50.355Z,2026-08-11T16:58:33.760Z,WIN,1,,,控制一些扫福瑞,55425983,16580476,,59138a345c6b933a,60,action,Dragapult ex,3,"Dragapult ex, Fezandipiti ex, Latias ex, Meowth ex",Dragapult ex,True,0,0,25,24,26,225,127,NA,NA,0,0,0,0,NA,NA,0.003153228346456693,0.001324,0.126057,0.001844,0.002495
9,92040440,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:01:50.829Z,2026-08-11T17:02:34.966Z,LOSS,-1,,,PRMNC,55427716,16372522,,cc911fc728d61147,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,1,1,9,10,11,112,45,NA,NA,0,0,0,0,NA,NA,0.005334511111111111,0.001465,0.17554,0.001812,0.001983
10,92041426,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:05:50.766Z,2026-08-11T17:08:59.098Z,LOSS,-1,,,神奈川大学は国立大学,55365975,16377827,,cf3a7feaf2e07bff,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,0,0,11,12,13,107,50,NA,NA,0,0,0,0,NA,NA,0.00447408,0.0008855,0.093514,0.001326,0.085474
11,92042379,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:09:50.340Z,2026-08-11T17:10:25.116Z,LOSS,-1,,,satoshi rizard,53951582,16380166,,59aefb1a7dfb20a9,60,action,UNLABELED,0,"Crustle, Dwebble","UNLABELED[Crustle, Dwebble]",False,0,1,18,19,20,131,98,NA,NA,0,0,0,0,NA,NA,0.0032238673469387755,0.001147,0.130336,0.001597,0.075183
12,92043348,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:13:50.420Z,2026-08-11T17:14:35.504Z,WIN,1,,,Arata,54286382,16411649,,428840894800e200,60,action,Dragapult ex,3,"Dragapult ex, Fezandipiti ex",Dragapult ex,True,0,0,13,12,14,178,105,NA,NA,0,0,0,0,NA,NA,0.0032986095238095236,0.001444,0.193402,0.00202,0.002184
13,92044295,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:17:50.724Z,2026-08-11T17:18:25.049Z,WIN,1,,,makimakiver,54102956,16377605,,e575ccc7964f45f3,60,action,UNLABELED,0,Mega Starmie ex,UNLABELED[Mega Starmie ex],False,0,1,10,9,11,122,76,NA,NA,0,0,0,0,NA,NA,0.003929065789473684,0.0010355,0.139845,0.00155,0.08156
14,92045248,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:21:51.417Z,2026-08-11T17:22:39.281Z,WIN,1,,,mato,54627596,16460544,,6c534f1524e51c74,60,action,Mega Lucario ex,4,Mega Lucario ex,Mega Lucario ex,False,0,1,14,13,15,171,108,NA,NA,0,0,0,0,NA,NA,0.0022675648148148147,0.0011485,0.117378,0.001629,0.001747
15,92046201,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:25:50.851Z,2026-08-11T17:26:33.389Z,WIN,1,,,sekken,55434159,16385268,,d2ef07dc657c62c6,60,action,Fezandipiti ex,1,"Fezandipiti ex, Latias ex",Fezandipiti ex,True,0,0,11,10,12,154,91,NA,NA,0,0,0,0,NA,NA,0.004690087912087912,0.001578,0.189784,0.002288,0.094185
16,92047143,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:29:50.775Z,2026-08-11T17:30:39.914Z,WIN,1,,,shinichiro uno3,53811070,16384179,,45eb109bc73c1b7b,60,action,Iono's (Bellibolt/Voltorb),5,Iono’s Bellibolt ex,Iono's (Bellibolt/Voltorb),True,0,0,13,12,14,263,103,NA,NA,0,0,0,0,NA,NA,0.004181611650485437,0.00134,0.187911,0.00201,0.002297
17,92048087,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:33:50.663Z,2026-08-11T17:34:36.807Z,WIN,1,,,Tarang222,55426363,16688147,,0b145865cca81cc4,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,0,0,17,16,18,155,99,NA,NA,0,0,0,0,NA,NA,0.004026070707070707,0.001425,0.171145,0.001885,0.089724
