game_number,game_id,timestamp,opponent_name,opponent_archetype,going_first,turns,steps,decision_count,errors_stderr_nonempty,near_decision_budget_calls_ge_1.8s,decision_duration_max_s,safety_or_fallback_involved,category,notes
2,92033721,2026-08-11T16:33:50.133Z,Binghui Xu,UNLABELED[Archaludon ex],True,13,123,76,0,0,0.121866,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
3,92034712,2026-08-11T16:37:50.639Z,Ryosuke Takeda,"UNLABELED[Mega Froslass ex, Mega Starmie ex]",True,9,61,35,0,0,0.127365,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
6,92037577,2026-08-11T16:49:57.014Z,takumina,Fezandipiti ex,False,16,180,91,0,0,0.105034,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
7,92038527,2026-08-11T16:53:50.740Z,Lixin73,UNLABELED[Archaludon ex],True,15,176,110,0,0,0.12813,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
9,92040440,2026-08-11T17:01:50.829Z,PRMNC,"UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,11,112,45,0,0,0.17554,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
10,92041426,2026-08-11T17:05:50.766Z,神奈川大学は国立大学,"UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,13,107,50,0,0,0.093514,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
11,92042379,2026-08-11T17:09:50.340Z,satoshi rizard,"UNLABELED[Crustle, Dwebble]",False,20,131,98,0,0,0.130336,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
22,92052778,2026-08-11T17:53:50.416Z,【共逐荣光】Timmy Juicehouse,Fezandipiti ex,True,13,122,59,0,0,0.175945,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
23,92053714,2026-08-11T17:57:54.124Z,xi luo,Mega Kangaskhan ex,False,20,160,108,0,0,0.13932,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
24,92054670,2026-08-11T18:01:50.466Z,yuki16,UNLABELED[Archaludon ex],True,13,162,104,0,0,0.094581,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
25,92055639,2026-08-11T18:05:53.719Z,H.Y,Dragapult ex,True,13,197,98,0,0,0.120592,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
26,92056608,2026-08-11T18:09:50.624Z,Rintaro Moriwaki,Fezandipiti ex,True,15,174,112,0,0,0.11945,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
28,92058494,2026-08-11T18:17:50.635Z,John Mitchell,UNLABELED[Archaludon ex],True,11,153,94,0,0,0.159573,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
29,92063308,2026-08-11T18:37:50.779Z,G-Lin1k,Fezandipiti ex,False,14,191,106,0,0,0.176192,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
31,92074690,2026-08-11T19:25:52.722Z,Gyan Melior,Fezandipiti ex,True,13,177,97,0,0,0.16553,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
38,92098917,2026-08-11T21:14:06.411Z,しんぴのしずく💧,Dragapult ex,True,7,62,16,0,0,0.177603,"UNKNOWN (not logged, see Limitations)",RANDOMNESS_UNCLEAR,"Hand-inspected (game_number 38, vs Dragapult ex mirror): ended abruptly at turn ~6/7 with 0 prizes taken by either side, our active Pokemon at 10/320 HP (not yet KO'd), no status conditions (poison/burn/etc.) active at the final observed step, episode status DONE (not ERROR/TIMEOUT). Cause not identifiable from available observation fields without full action-effect replay tracing, which was out of scope this phase."
40,92108240,2026-08-11T21:54:06.690Z,Le Trong Hieu,Fezandipiti ex,True,13,167,87,0,0,0.175501,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
41,92108334,2026-08-11T21:54:06.922Z,yuki0731,Marnie's Grimmsnarl ex,True,13,166,88,0,0,0.191622,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
42,92113723,2026-08-11T22:18:38.477Z,xnryxd,Marnie's Grimmsnarl ex,False,18,254,126,0,0,0.125778,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
43,92121351,2026-08-11T22:51:11.500Z,Sho,Marnie's Grimmsnarl ex,True,11,157,75,0,0,0.203799,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
44,92142909,2026-08-12T00:23:09.859Z,Toru59er,"UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,13,143,86,0,0,0.156296,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
45,92150473,2026-08-12T00:55:12.303Z,Toru59er,"UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,13,164,90,0,0,0.181828,"UNKNOWN (not logged, see Limitations)",LOG_INSUFFICIENT,
