game_number,game_id,timestamp,result,rating_before,rating_after,rating_delta,opponent_rating
1,92032796,2026-08-11T16:29:50.384Z,WIN,600.0,,,
2,92033721,2026-08-11T16:33:50.133Z,LOSS,,,,
3,92034712,2026-08-11T16:37:50.639Z,LOSS,,,,
4,92035664,2026-08-11T16:41:50.479Z,WIN,,,,
5,92036613,2026-08-11T16:45:50.571Z,WIN,,,,
6,92037577,2026-08-11T16:49:57.014Z,LOSS,,,,
7,92038527,2026-08-11T16:53:50.740Z,LOSS,,,,
8,92039487,2026-08-11T16:57:50.355Z,WIN,,,,
9,92040440,2026-08-11T17:01:50.829Z,LOSS,,,,
10,92041426,2026-08-11T17:05:50.766Z,LOSS,,,,
11,92042379,2026-08-11T17:09:50.340Z,LOSS,,,,
12,92043348,2026-08-11T17:13:50.420Z,WIN,,,,
13,92044295,2026-08-11T17:17:50.724Z,WIN,,,,
14,92045248,2026-08-11T17:21:51.417Z,WIN,,,,
15,92046201,2026-08-11T17:25:50.851Z,WIN,,,,
16,92047143,2026-08-11T17:29:50.775Z,WIN,,,,
17,92048087,2026-08-11T17:33:50.663Z,WIN,,,,
18,92049041,2026-08-11T17:37:50.873Z,WIN,,,,
19,92049984,2026-08-11T17:41:51.532Z,WIN,,,,
20,92050914,2026-08-11T17:45:50.943Z,WIN,,,,
21,92051839,2026-08-11T17:49:50.736Z,WIN,,,,
22,92052778,2026-08-11T17:53:50.416Z,LOSS,,,,
23,92053714,2026-08-11T17:57:54.124Z,LOSS,,,,
24,92054670,2026-08-11T18:01:50.466Z,LOSS,,,,
25,92055639,2026-08-11T18:05:53.719Z,LOSS,,,,
26,92056608,2026-08-11T18:09:50.624Z,LOSS,,,,
27,92057550,2026-08-11T18:13:50.720Z,WIN,,,,
28,92058494,2026-08-11T18:17:50.635Z,LOSS,,,,
29,92063308,2026-08-11T18:37:50.779Z,LOSS,,,,
30,92064256,2026-08-11T18:41:51.985Z,WIN,,,,
31,92074690,2026-08-11T19:25:52.722Z,LOSS,,,,
32,92084030,2026-08-11T20:05:51.648Z,WIN,,,,
33,92083858,2026-08-11T20:05:51.739Z,WIN,,,,
34,92084005,2026-08-11T20:05:51.964Z,WIN,,,,
35,92095110,2026-08-11T20:53:50.652Z,WIN,,,,
36,92095243,2026-08-11T20:53:50.874Z,WIN,,,,
37,92096868,2026-08-11T21:06:06.821Z,WIN,,,,
38,92098917,2026-08-11T21:14:06.411Z,LOSS,,,,
39,92104680,2026-08-11T21:38:06.582Z,WIN,,,,
40,92108240,2026-08-11T21:54:06.690Z,LOSS,,,,
41,92108334,2026-08-11T21:54:06.922Z,LOSS,,,,
42,92113723,2026-08-11T22:18:38.477Z,LOSS,,,,
43,92121351,2026-08-11T22:51:11.500Z,LOSS,,,,
44,92142909,2026-08-12T00:23:09.859Z,LOSS,,,,
45,92150473,2026-08-12T00:55:12.303Z,LOSS,,,,
46,92158945,2026-08-12T01:31:11.331Z,WIN,,726.9,,
