agent_x,agent_y,games,aborted,draws,x_wins,y_wins,x_win_rate_overall,x_win_rate_as_slot0,x_win_rate_as_slot1,x_games_as_slot0,x_games_as_slot1
V1_baseline,V2_balanced,150,0,0,64,86,0.4267,0.3467,0.5067,75,75
V1_baseline,V3_aggressive,150,0,0,76,74,0.5067,0.5067,0.5067,75,75
V1_baseline,V4_defensive,150,0,0,76,74,0.5067,0.44,0.5733,75,75
V1_baseline,V5_adaptive,150,0,0,70,80,0.4667,0.4933,0.44,75,75
V1_baseline,abomasnow_agent,120,0,0,71,49,0.5917,0.5833,0.6,60,60
V1_baseline,iono_agent,120,0,0,72,48,0.6,0.7167,0.4833,60,60
V1_baseline,lucario_ex_agent,120,0,0,61,59,0.5083,0.5,0.5167,60,60
V2_balanced,abomasnow_agent,120,0,0,69,51,0.575,0.65,0.5,60,60
V2_balanced,iono_agent,120,0,0,90,30,0.75,0.7833,0.7167,60,60
V2_balanced,lucario_ex_agent,120,0,0,46,74,0.3833,0.3667,0.4,60,60
V3_aggressive,abomasnow_agent,120,0,0,78,42,0.65,0.6833,0.6167,60,60
V3_aggressive,iono_agent,120,0,0,86,34,0.7167,0.75,0.6833,60,60
V3_aggressive,lucario_ex_agent,120,0,0,55,65,0.4583,0.5,0.4167,60,60
V4_defensive,abomasnow_agent,120,0,0,70,50,0.5833,0.6333,0.5333,60,60
V4_defensive,iono_agent,120,0,0,79,41,0.6583,0.6833,0.6333,60,60
V4_defensive,lucario_ex_agent,120,0,0,56,64,0.4667,0.5,0.4333,60,60
V5_adaptive,abomasnow_agent,120,0,0,79,41,0.6583,0.6667,0.65,60,60
V5_adaptive,iono_agent,120,0,0,83,37,0.6917,0.6833,0.7,60,60
V5_adaptive,lucario_ex_agent,120,0,0,61,59,0.5083,0.4667,0.55,60,60
