f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,ref_pwin
7.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1248.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,96.0,210.0,210.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,210.0,2.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,620.0,155.0,4.0,0.0,7.0,18.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,120.0,120.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,120.0,7.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,700.0,140.0,0.0,0.0,10.0,25.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21483189
4.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,7.0,1.0,1.0,6.0,0.0,0.0,96.0,220.0,230.0,0.9565217391304348,0.0,3.0,3.0,0.0,0.0,1.0,210.0,2.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,630.0,210.0,1.0,0.0,3.0,37.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,540.0,135.0,2.0,0.0,4.0,37.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34748814
12.0,29.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,14.0,1.0,1.0,5.0,1.0,0.0,121.0,170.0,320.0,0.53125,0.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,4.0,610.0,152.5,2.0,0.0,3.0,17.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,70.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,70.0,6.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,500.0,100.0,6.0,0.0,4.0,24.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631183
13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1261.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,341.0,140.0,140.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,70.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1160.0,232.0,0.0,2.0,4.0,22.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,150.0,150.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,150.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,140.0,70.0,3.0,0.0,3.0,28.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66081345
13.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1266.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,121.0,320.0,320.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,410.0,82.0,3.0,0.0,2.0,15.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,70.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,490.0,122.5,0.0,0.0,11.0,12.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493044
6.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1259.0,0.0,1.0,1.0,7.0,1.0,1.0,4.0,0.0,0.0,648.0,320.0,320.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,320.0,1.0,-1.0,7.0,2.0,1.0,0.0,0.0,0.0,4.0,370.0,92.5,4.0,0.0,4.0,21.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,440.0,110.0,0.0,0.0,2.0,31.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696082
5.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,1246.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,121.0,320.0,320.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,4.0,300.0,75.0,1.0,0.0,4.0,29.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,140.0,140.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,140.0,6.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,130.0,65.0,1.0,0.0,9.0,35.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8362278
3.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1251.0,0.0,1.0,1.0,7.0,1.0,1.0,6.0,0.0,0.0,96.0,340.0,340.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,210.0,2.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,720.0,240.0,6.0,0.0,5.0,29.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,260.0,86.66666666666667,0.0,0.0,4.0,44.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08348849
3.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,345.0,190.0,190.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,150.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,210.0,210.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0,6.0,-1.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,250.0,83.33333333333333,1.0,0.0,5.0,39.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24317817
12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1266.0,0.0,1.0,1.0,14.0,1.0,1.0,5.0,5.0,0.0,121.0,320.0,320.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,320.0,-1.0,-1.0,9.0,2.0,1.0,0.0,1.0,0.0,5.0,530.0,106.0,2.0,0.0,7.0,14.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0,6.0,-1.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,390.0,78.0,1.0,0.0,15.0,18.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94263554
