agent_a,agent_b,games,aborted,draws,a_wins,b_wins,a_win_rate_overall,a_win_rate_when_first,a_win_rate_when_second,a_games_first,a_games_second,avg_turns,reason_counts
random_agent,abomasnow_corrected,500,0,0,19,481,0.038,0.0698,0.027,129,371,7.08,"{""3"": 481, ""1"": 18, ""2"": 1}"
random_agent,dragapult_agent,500,0,0,8,492,0.016,0.0259,0.013,116,384,8.52,"{""3"": 478, ""1"": 21, ""2"": 1}"
random_agent,iono_agent,500,0,0,0,500,0.0,0.0,0.0,135,365,6.6,"{""3"": 482, ""1"": 18}"
random_agent,lucario_ex_agent,500,0,0,17,483,0.034,0.0171,0.0392,117,383,5.72,"{""3"": 479, ""2"": 12, ""1"": 9}"
abomasnow_corrected,dragapult_agent,500,0,0,228,272,0.456,0.476,0.436,250,250,11.65,"{""1"": 332, ""3"": 131, ""2"": 37}"
abomasnow_corrected,iono_agent,500,0,0,102,398,0.204,0.228,0.18,250,250,11.05,"{""3"": 148, ""1"": 320, ""2"": 32}"
abomasnow_corrected,lucario_ex_agent,500,0,0,243,257,0.486,0.544,0.428,250,250,9.39,"{""1"": 277, ""2"": 51, ""3"": 172}"
dragapult_agent,iono_agent,500,0,0,327,173,0.654,0.668,0.64,250,250,12.5,"{""1"": 456, ""3"": 39, ""2"": 5}"
dragapult_agent,lucario_ex_agent,500,0,0,264,236,0.528,0.528,0.528,250,250,11.13,"{""1"": 424, ""2"": 22, ""3"": 54}"
iono_agent,lucario_ex_agent,500,0,0,109,391,0.218,0.184,0.252,250,250,10.01,"{""1"": 400, ""3"": 70, ""2"": 30}"
