episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_ITEM,action_count_PLAY_POKEMON,action_count_PLAY_SUPPORTER,action_count_ABILITY,action_count_ATTACH_ENERGY,action_count_EVOLVE,action_count_ATTACK,action_count_RETREAT
92425250,luca,2026-08-12T20:34:04.301Z,16404352,Oshbocker,1192.2,WIN,False,8,121,62,eb1222900df9baf0,Mega Lucario ex,111d0a87c7071fde,Teal Mask Ogerpon ex,2,0,15,3,3,1.0,0,0,2,1,True,9,5,2,3,3,4,3,0
92403770,luca,2026-08-12T19:02:03.641Z,16421599,熱異常,1077.8,WIN,False,8,150,72,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,17,1,28,4,4,1.0,0,0,0,0,False,11,7,4,4,5,3,4,1
92396450,luca,2026-08-12T18:30:03.999Z,16371703,やる気元気ミワハルキ,980.3,WIN,False,10,124,66,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,15,0,30,4,5,0.8,0,4,0,-4,False,10,5,4,5,5,4,4,0
92366701,luca,2026-08-12T16:22:01.125Z,16374395,Majkel1337,1039.0,WIN,False,8,60,46,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,7,1,15,2,4,0.5,0,0,0,-1,False,6,5,1,3,4,2,2,1
92333634,luca,2026-08-12T13:59:35.415Z,16452116,Sixth Sense,1066.8,WIN,True,9,151,63,eb1222900df9baf0,Mega Lucario ex,884c0683209ead35,Dragapult ex,10,0,21,4,4,1.0,0,0,0,-4,False,8,6,3,4,5,3,4,0
92322597,luca,2026-08-12T13:11:36.021Z,16411029,ANDPAD kaggler team,1129.8,WIN,True,13,173,93,eb1222900df9baf0,Mega Lucario ex,8100e95271eb24bc,Teal Mask Ogerpon ex,20,1,35,5,6,0.8333333333333334,0,3,0,-1,False,12,6,5,6,7,3,5,1
92321654,luca,2026-08-12T13:07:36.304Z,16411029,ANDPAD kaggler team,1129.8,LOSS,True,9,141,76,eb1222900df9baf0,Mega Lucario ex,8100e95271eb24bc,Teal Mask Ogerpon ex,9,0,16,2,2,1.0,0,0,3,3,False,12,7,4,5,5,4,2,0
92321733,luca,2026-08-12T13:07:36.427Z,16380946,flg,1127.4,WIN,False,10,135,74,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,21,0,36,4,5,0.8,0,1,0,-4,False,11,5,5,5,6,4,4,0
92320712,luca,2026-08-12T13:03:36.425Z,16411029,ANDPAD kaggler team,1129.8,WIN,True,11,156,78,eb1222900df9baf0,Mega Lucario ex,8100e95271eb24bc,Teal Mask Ogerpon ex,18,0,22,4,4,1.0,0,2,2,1,True,13,6,2,6,4,4,4,0
92312424,luca,2026-08-12T12:27:36.247Z,16381624,LumenLiquidity,1147.8,LOSS,True,7,140,55,eb1222900df9baf0,Mega Lucario ex,f8261f22b9cd0c48,Dragapult ex,18,0,25,3,3,1.0,0,0,2,2,False,9,6,2,4,4,2,3,0
92310379,luca,2026-08-12T12:19:35.749Z,16380946,flg,1127.4,WIN,True,13,187,95,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,13,0,31,5,5,1.0,0,0,1,-1,False,14,7,5,5,6,5,5,0
92302880,luca,2026-08-12T11:47:35.586Z,16450476,Thai,1158.3,WIN,False,6,83,46,eb1222900df9baf0,Mega Lucario ex,fb0918f74924ede3,Mega Kangaskhan ex,11,1,17,3,3,1.0,0,5,0,-1,False,5,4,3,2,4,2,3,1
92289114,luca,2026-08-12T10:47:40.530Z,16572731,TAKA_3118,584.0,WIN,False,8,46,31,eb1222900df9baf0,Mega Lucario ex,e68d950bf2ff5f6d,Mega Abomasnow ex,13,1,14,3,4,0.75,0,0,0,-2,False,3,3,1,1,3,1,3,1
92267636,luca,2026-08-12T09:15:41.827Z,16380946,flg,1127.4,LOSS,False,12,175,74,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,11,1,19,3,4,0.75,0,2,0,0,False,10,6,3,5,6,3,3,1
92255261,luca,2026-08-12T08:23:41.086Z,16680070,AReg,1015.8,WIN,True,11,147,90,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,6,1,19,5,5,1.0,0,1,0,-3,False,10,6,5,5,6,4,5,1
92240408,luca,2026-08-12T07:19:41.006Z,16371703,やる気元気ミワハルキ,980.3,WIN,False,12,167,75,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,15,1,26,4,5,0.8,0,1,2,0,True,8,7,6,4,5,4,4,1
92230969,luca,2026-08-12T06:39:45.901Z,16371703,やる気元気ミワハルキ,980.3,WIN,True,11,192,78,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,26,0,32,5,5,1.0,0,2,0,0,False,11,8,4,4,5,2,5,0
