episode_id,decision_index,turn,evidence_level,target_removed_via_switch,description
92396450,25,4,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92396450,26,4,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92396450,28,4,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92396450,29,4,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92322597,37,5,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92322597,39,5,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92322597,41,5,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92321733,19,4,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92320712,72,11,POSSIBLE,True,"[(983, 'Mega Brave', 270)] not chosen (uncertain)"
92320712,74,11,POSSIBLE,True,"[(983, 'Mega Brave', 270)] not chosen (uncertain)"
92302880,17,4,POSSIBLE,True,"[(980, 'Cosmic Beam', 70)] not chosen (uncertain)"
92302880,19,4,POSSIBLE,True,"[(980, 'Cosmic Beam', 70)] not chosen (uncertain)"
92302880,20,4,POSSIBLE,True,"[(980, 'Cosmic Beam', 70)] not chosen (uncertain)"
92302880,21,4,POSSIBLE,True,"[(980, 'Cosmic Beam', 70)] not chosen (uncertain)"
92302880,42,6,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92267636,35,6,POSSIBLE,True,"[(980, 'Cosmic Beam', 70)] not chosen (uncertain)"
92267636,38,6,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92255261,28,3,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92240408,68,12,POSSIBLE,True,"[(982, 'Aura Jab', 130), (983, 'Mega Brave', 270)] not chosen (uncertain)"
92230969,34,5,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92230969,44,7,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92230327,27,5,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
92230327,29,5,POSSIBLE,True,"[(982, 'Aura Jab', 130)] not chosen (uncertain)"
