episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_STADIUM,action_count_ATTACH_ENERGY,action_count_PLAY_POKEMON,action_count_EVOLVE,action_count_ABILITY,action_count_PLAY_SUPPORTER,action_count_RETREAT,action_count_ATTACK,action_count_PLAY_ITEM
92215898,v2,2026-08-12T05:35:35.821Z,16501495,T.Kawahara,656.9,LOSS,True,9,91,28,59138a345c6b933a,Dragapult ex,a89578a5e4bd8b5d,Mega Lucario ex,8,1,3,0,2,0.0,0,0,3,3,False,1,3,3,1,1,1,1,0,0
92216869,v2,2026-08-12T05:40:01.819Z,16387077,kotone,411.2,WIN,True,11,114,91,59138a345c6b933a,Dragapult ex,88272881d07ad973,Dragapult ex,44,0,41,3,5,0.6,0,0,1,-2,False,0,6,2,5,10,5,0,3,11
92217792,v2,2026-08-12T05:43:41.340Z,16541050,SeraphicPY,639.6,LOSS,True,23,159,120,59138a345c6b933a,Dragapult ex,37f2032236fb6baf,Mega Kangaskhan ex,46,3,43,5,9,0.5555555555555556,0,18,3,3,False,2,5,3,3,7,7,3,5,10
92218741,v2,2026-08-12T05:47:40.006Z,16395619,delightening,422.2,WIN,True,9,116,85,59138a345c6b933a,Dragapult ex,cda6f1fba97deb0e,Teal Mask Ogerpon ex,35,1,31,3,4,0.75,0,0,0,-3,False,1,4,3,5,7,4,1,3,7
92219700,v2,2026-08-12T05:51:41.407Z,16443605,jinjaeru,602.9,WIN,True,15,118,76,59138a345c6b933a,Dragapult ex,2a034d8739c1febe,Marnie's Grimmsnarl ex,27,1,25,4,7,0.5714285714285714,0,3,0,-4,False,2,3,3,4,2,3,1,4,4
92220638,v2,2026-08-12T05:55:41.299Z,16483066,yayayabebe,576.1,WIN,True,11,132,96,59138a345c6b933a,Dragapult ex,a27f187d4dad8b12,Mega Abomasnow ex,38,2,36,4,5,0.8,0,4,0,-1,False,0,6,2,5,5,4,2,4,11
92221582,v2,2026-08-12T05:59:40.745Z,16388408,ktDAMA,631.9,LOSS,True,11,144,85,59138a345c6b933a,Dragapult ex,3ff430c2ed351e15,Mega Lucario ex,20,1,22,2,4,0.5,0,1,4,4,False,1,5,4,3,5,5,1,2,14
92222547,v2,2026-08-12T06:03:40.945Z,16541620,zzz zzz6789,575.0,WIN,True,7,80,63,59138a345c6b933a,Dragapult ex,712d0b4c8fb80f08,Mega Abomasnow ex,20,2,22,1,2,0.5,0,0,3,3,True,0,5,4,4,5,3,2,1,11
92223466,v2,2026-08-12T06:07:41.206Z,16374441,Finlay Anderson,596.1,LOSS,True,11,164,96,59138a345c6b933a,Dragapult ex,6c534f1524e51c74,Mega Lucario ex,43,2,28,2,4,0.5,0,0,3,3,False,0,6,5,5,8,5,2,2,12
92224429,v2,2026-08-12T06:11:40.456Z,16419434,一石三頭,623.6,WIN,True,11,127,65,59138a345c6b933a,Dragapult ex,59138a345c6b933a,Dragapult ex,26,0,23,3,5,0.6,0,6,1,-4,False,0,5,5,2,3,5,0,3,1
92225365,v2,2026-08-12T06:15:40.523Z,16377415,Sugano Yuta,675.3,LOSS,True,11,134,68,59138a345c6b933a,Dragapult ex,6c534f1524e51c74,Mega Lucario ex,32,2,29,1,4,0.25,0,0,4,4,False,0,4,4,5,7,2,2,1,7
