episode_id,label,n_turns,went_first,final_prize_margin_positive_means_behind,max_prize_deficit_faced,last3_own_decisions_action_classes,retreat_available_in_last3_decisions,bench_target_available_in_last3_decisions,lost_a_2plus_prize_attacker_this_game,missed_ko_events_this_game,energy_attach_per_turn
92215898,v2,9,True,3,3,PLAY_POKEMON;?;?,False,True,False,0,0.3333333333333333
92217792,v2,23,True,3,3,?;RETREAT;?,True,True,True,18,0.21739130434782608
92221582,v2,11,True,4,4,?;?;?,False,True,True,1,0.45454545454545453
92223466,v2,11,True,3,3,?;?;?,False,True,True,0,0.5454545454545454
92225365,v2,11,True,4,4,?;PLAY_ITEM;?,True,True,True,0,0.36363636363636365
92229131,v2,14,False,-1,2,?;?;?,False,True,False,7,0.35714285714285715
92232944,v2,8,False,5,5,RETREAT;?;?,True,True,True,0,0.375
92237689,v2,3,True,0,0,?;?;ATTACH_ENERGY,False,False,False,0,0.6666666666666666
92238642,v2,13,True,3,3,?;?;?,False,True,True,0,0.46153846153846156
92241477,v2,13,True,2,2,?;?;?,False,True,True,0,0.5384615384615384
92316974,v2,9,True,2,2,?;?;?,False,True,True,0,0.5555555555555556
92387111,v2,23,False,-4,0,?;?;?,False,True,False,23,0.30434782608695654
92428800,v2,7,True,0,0,?;?;?,False,False,False,0,0.14285714285714285
92447449,v2,15,True,1,1,?;?;?,False,True,True,0,0.4666666666666667
92461081,v2,12,False,2,2,?;?;?,False,True,True,0,0.4166666666666667
92466796,v2,13,True,1,1,?;?;PLAY_POKEMON,False,True,True,4,0.5384615384615384
