episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,attacks_thrown,kos_landed,ko_rate_per_attack,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_STADIUM,action_count_PLAY_ITEM,action_count_PLAY_POKEMON,action_count_ATTACH_ENERGY,action_count_PLAY_SUPPORTER,action_count_EVOLVE,action_count_ABILITY,action_count_RETREAT,action_count_ATTACK
92504801,v4,2026-08-13T02:19:37.431Z,16508565,Lucas Bruzzone,559.8,WIN,True,11,118,76,59138a345c6b933a,Dragapult ex,d240e0d5af45fb6d,Dragapult ex,24,2,23,3,5,0.6,3,2,0.6666666666666666,0,1,1,-3,False,1,4,6,4,5,3,4,2,3
92505737,v4,2026-08-13T02:23:39.216Z,16372727,怒破餓鬼,675.6,WIN,True,15,206,131,59138a345c6b933a,Dragapult ex,3fe56fcd5e43bce7,Team Rocket's Mewtwo ex,53,4,50,5,7,0.7142857142857143,5,4,0.8,0,3,0,-3,False,2,10,4,6,5,7,13,4,5
92506655,v4,2026-08-13T02:27:37.240Z,16599746,DovyDigital,906.5,WIN,True,13,224,124,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,53,1,52,5,6,0.8333333333333334,5,3,0.6,0,0,2,-2,True,1,11,2,6,6,5,17,1,5
92507587,v4,2026-08-13T02:31:37.001Z,16640605,Andrey Naymushin,776.8,WIN,True,15,206,96,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,34,2,23,5,7,0.7142857142857143,5,3,0.6,0,2,1,-1,False,1,5,1,3,6,4,9,2,5
92508524,v4,2026-08-13T02:35:37.111Z,16372029,Jack,849.5,LOSS,False,6,111,57,59138a345c6b933a,Dragapult ex,d1dea6a48f1cb4f4,UNLABELED,16,1,9,1,2,0.5,1,1,1.0,0,0,4,4,False,1,10,4,3,3,2,2,1,1
92508800,v4,2026-08-13T02:35:37.767Z,16386110,Jonathan Coletti,1009.9,WIN,True,11,162,109,59138a345c6b933a,Dragapult ex,24d2f0bf0cee8dde,Fezandipiti ex,41,0,30,4,4,1.0,4,4,1.0,0,4,2,-2,True,0,11,3,5,5,4,8,0,4
92509485,v4,2026-08-13T02:39:37.010Z,16487899,Infernape,710.1,LOSS,True,7,153,65,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,12,1,12,2,2,1.0,2,1,0.5,0,0,3,3,False,0,7,3,3,3,3,7,1,2
92510427,v4,2026-08-13T02:43:37.927Z,16434348,mealck,816.1,LOSS,True,13,204,119,59138a345c6b933a,Dragapult ex,24d2f0bf0cee8dde,Fezandipiti ex,42,0,37,5,5,1.0,5,4,0.8,0,3,1,1,False,2,9,5,7,6,7,11,0,5
92511381,v4,2026-08-13T02:47:37.090Z,16426595,Xiangyu Liu,870.9,LOSS,False,10,142,71,59138a345c6b933a,Dragapult ex,b78aa05e94236e10,Mega Kangaskhan ex,31,3,29,0,5,0.0,0,0,,0,0,4,4,False,0,9,4,5,5,4,5,3,0
92512330,v4,2026-08-13T02:51:37.028Z,16588601,bin luo1,804.1,LOSS,True,13,193,94,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,18,1,16,4,4,1.0,4,2,0.5,0,0,2,-1,False,1,6,4,6,5,3,11,1,4
92513275,v4,2026-08-13T02:55:40.500Z,16655565,tyffee,910.2,WIN,True,3,30,22,59138a345c6b933a,Dragapult ex,fcac695071c3f3cf,Fezandipiti ex,6,0,4,1,1,1.0,1,1,1.0,0,0,0,0,False,0,1,1,3,1,0,0,0,1
92514236,v4,2026-08-13T02:59:40.813Z,16600882,Anish Gharat,351.4,LOSS,True,5,68,17,59138a345c6b933a,Dragapult ex,59138a345c6b933a,Dragapult ex,3,1,4,0,1,0.0,0,0,,1,0,0,0,False,0,0,1,2,1,0,0,1,0
92515189,v4,2026-08-13T03:03:37.744Z,16538741,I4Kaggle,858.5,LOSS,False,6,110,44,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,19,1,20,2,3,0.6666666666666666,2,1,0.5,0,0,0,0,False,1,5,0,4,1,1,4,1,2
92516121,v4,2026-08-13T03:07:37.234Z,16408657,len8487,966.4,LOSS,False,12,151,71,59138a345c6b933a,Dragapult ex,fb6542fd45093b86,Mega Lopunny ex,29,1,24,2,5,0.4,2,1,0.5,0,0,4,4,False,1,8,5,6,1,4,4,1,2
92517062,v4,2026-08-13T03:11:38.235Z,16498967,Twe Dyo,771.8,LOSS,True,11,171,107,59138a345c6b933a,Dragapult ex,61f9b410436d8541,UNLABELED,34,1,19,3,4,0.75,3,1,0.3333333333333333,0,0,4,1,False,1,11,5,5,5,7,12,1,3
92518009,v4,2026-08-13T03:15:37.312Z,16609154,VUYAKA NAVIN KUMAR ,732.1,LOSS,True,11,158,84,59138a345c6b933a,Dragapult ex,4a256a933ac66a7b,Mega Lucario ex,21,0,21,3,4,0.75,3,2,0.6666666666666666,0,0,4,4,False,0,10,6,4,5,1,5,0,3
92518949,v4,2026-08-13T03:19:37.217Z,16446821,luis derares,406.1,WIN,True,9,113,78,59138a345c6b933a,Dragapult ex,452fe7477d5596eb,Teal Mask Ogerpon ex,26,1,26,3,4,0.75,3,3,1.0,0,8,0,-4,False,0,5,1,6,4,6,7,1,3
