episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_STADIUM,action_count_PLAY_POKEMON,action_count_PLAY_ITEM,action_count_ATTACH_ENERGY,action_count_EVOLVE,action_count_ABILITY,action_count_PLAY_SUPPORTER,action_count_RETREAT,action_count_ATTACK
92549421,v6,2026-08-13T05:31:36.792Z,16379427,DreDree,599.2,LOSS,True,11,197,110,59138a345c6b933a,Dragapult ex,6c534f1524e51c74,Mega Lucario ex,52,4,34,2,5,0.4,0,0,4,4,False,2,6,13,7,6,11,4,4,2
92550391,v6,2026-08-13T05:35:37.104Z,16441777,henrytb,444.8,WIN,True,13,152,111,59138a345c6b933a,Dragapult ex,ad9eb15621c47305,UNLABELED,36,1,32,4,6,0.6666666666666666,0,0,1,-3,False,1,3,13,6,2,10,6,1,4
92551306,v6,2026-08-13T05:39:36.946Z,16391756,MAKOTO MATUDA,510.1,WIN,True,13,180,118,59138a345c6b933a,Dragapult ex,831fd3a04060c7c2,UNLABELED,35,1,36,5,5,1.0,0,6,1,-4,False,1,2,11,6,6,11,6,1,5
92552245,v6,2026-08-13T05:43:38.802Z,16472941,NaNomin,681.2,LOSS,True,15,203,113,59138a345c6b933a,Dragapult ex,890af7220ecf499d,UNLABELED,19,2,20,5,5,1.0,0,2,4,-1,False,1,4,9,4,5,9,6,2,5
92553251,v6,2026-08-13T05:47:37.661Z,16375384,Alfonso Sánchez,607.0,LOSS,True,11,79,41,59138a345c6b933a,Dragapult ex,7d6f431b88be3307,Mega Kangaskhan ex,17,1,15,0,3,0.0,0,0,5,5,False,0,1,4,2,4,2,3,1,0
92554151,v6,2026-08-13T05:51:37.420Z,16552596,Yuuupok,614.9,WIN,True,13,212,121,59138a345c6b933a,Dragapult ex,6c534f1524e51c74,Mega Lucario ex,45,0,31,4,5,0.8,0,1,5,0,True,0,3,12,7,6,16,6,0,4
92555101,v6,2026-08-13T05:55:40.246Z,16481928,rumbling_b,617.1,LOSS,False,10,177,105,59138a345c6b933a,Dragapult ex,64e146b2133f7b99,Mega Lucario ex,45,2,20,3,5,0.6,0,0,4,4,False,0,5,12,5,4,13,4,2,3
92556089,v6,2026-08-13T05:59:37.237Z,16395202,mayukistarry,598.0,WIN,False,20,171,132,59138a345c6b933a,Dragapult ex,37f2032236fb6baf,Mega Kangaskhan ex,55,1,59,7,10,0.7,0,5,0,-5,False,2,3,9,7,6,13,8,1,7
92556974,v6,2026-08-13T06:03:40.270Z,16442835,Yunioshi,736.0,WIN,True,13,136,102,59138a345c6b933a,Dragapult ex,eb1222900df9baf0,Mega Lucario ex,30,0,24,4,4,1.0,0,0,0,-5,False,0,3,8,6,4,11,5,0,4
92557908,v6,2026-08-13T06:07:36.935Z,16404564,Juan Zapata,585.4,WIN,True,39,230,135,59138a345c6b933a,Dragapult ex,a21855e944f114f7,Mega Kangaskhan ex,40,4,36,5,12,0.4166666666666667,0,3,2,-1,True,0,3,11,5,7,6,8,4,5
92558848,v6,2026-08-13T06:11:37.078Z,16395157,Eesh saxena,674.5,LOSS,False,12,122,56,59138a345c6b933a,Dragapult ex,4a256a933ac66a7b,Mega Lucario ex,24,0,23,2,5,0.4,0,2,4,4,False,0,3,4,5,3,3,3,0,2
92559794,v6,2026-08-13T06:15:37.139Z,16603827,Aayush Rajput03,741.2,WIN,True,13,171,109,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,47,0,42,4,6,0.6666666666666666,0,3,1,-4,False,2,3,9,5,6,11,5,0,4
