episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_PLAY_ITEM,action_count_PLAY_POKEMON,action_count_EVOLVE,action_count_ABILITY,action_count_ATTACH_ENERGY,action_count_PLAY_SUPPORTER,action_count_RETREAT,action_count_ATTACK,action_count_PLAY_STADIUM
92590435,v7,2026-08-13T08:27:37.482Z,16516407,takuei,549.8,WIN,True,11,159,105,59138a345c6b933a,Dragapult ex,fcac695071c3f3cf,Fezandipiti ex,35,2,30,4,5,0.8,0,0,0,-5,False,7,1,4,13,5,5,2,4,2
92591380,v7,2026-08-13T08:31:37.436Z,16378106,CMK,808.9,LOSS,False,14,151,65,59138a345c6b933a,Dragapult ex,e53b503801243fbd,Marnie's Grimmsnarl ex,26,2,28,3,7,0.42857142857142855,0,0,1,1,False,4,3,0,5,5,2,2,3,1
92592329,v7,2026-08-13T08:35:37.700Z,16398282,Opallo Collins,482.2,WIN,True,7,81,64,59138a345c6b933a,Dragapult ex,da2a64c2ecaab66a,Mega Abomasnow ex,28,1,27,3,3,1.0,0,0,0,-2,False,7,3,4,3,5,3,1,3,1
92593271,v7,2026-08-13T08:39:37.398Z,16385204,ひげだるま(inovie株式会社),603.3,WIN,True,21,213,123,59138a345c6b933a,Dragapult ex,831fd3a04060c7c2,UNLABELED,48,2,47,5,10,0.5,0,0,2,-1,True,11,4,7,8,7,6,2,5,1
92594206,v7,2026-08-13T08:43:38.968Z,16412152,Saber,914.5,LOSS,True,5,41,19,59138a345c6b933a,Dragapult ex,eb1222900df9baf0,Mega Lucario ex,1,0,0,0,0,,0,0,1,1,False,1,1,0,0,3,1,0,0,0
92595153,v7,2026-08-13T08:47:38.228Z,16666208,zhongtian,675.3,LOSS,True,11,198,91,59138a345c6b933a,Dragapult ex,59138a345c6b933a,Dragapult ex,42,1,27,2,5,0.4,0,0,3,3,False,7,6,5,11,4,5,1,2,0
92596095,v7,2026-08-13T08:51:38.119Z,16373205,YAKIIMO3,615.6,LOSS,False,22,162,125,59138a345c6b933a,Dragapult ex,c560f1caa3468d1c,UNLABELED,51,2,49,5,10,0.5,0,28,3,3,False,11,3,7,9,7,7,2,5,2
92597037,v7,2026-08-13T08:55:37.703Z,16381254,Shingo Kotake,572.3,WIN,False,14,125,89,59138a345c6b933a,Dragapult ex,213e23eb5e6ea7ab,Mega Lucario ex,37,1,30,3,6,0.5,0,0,3,-1,True,10,6,6,7,5,6,1,3,0
92597971,v7,2026-08-13T08:59:37.680Z,16593286,xi luo,831.4,LOSS,False,14,159,72,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,35,1,34,3,7,0.42857142857142855,0,0,1,1,False,4,5,3,8,5,3,1,3,1
92598921,v7,2026-08-13T09:03:38.314Z,16452238,Vlas Veles,818.9,LOSS,False,12,162,77,59138a345c6b933a,Dragapult ex,eb1222900df9baf0,Mega Lucario ex,25,1,22,2,5,0.4,0,0,5,5,False,6,2,4,7,5,5,1,2,0
92599863,v7,2026-08-13T09:07:38.596Z,16488544,Hikaru Yamamoto,530.0,LOSS,True,11,158,67,59138a345c6b933a,Dragapult ex,da51145bf6b8d0fe,Dragapult ex,16,2,8,1,2,0.5,0,0,3,3,False,7,6,3,5,4,5,2,1,0
92600818,v7,2026-08-13T09:11:37.755Z,16376568,KENMANGG,283.8,WIN,False,12,114,89,59138a345c6b933a,Dragapult ex,de9424e4ffcf5f35,UNLABELED,44,1,24,2,5,0.4,0,0,3,3,True,12,5,6,10,7,5,1,2,0
92601755,v7,2026-08-13T09:15:37.823Z,16464458,Ishizue Lab,541.1,LOSS,False,2,34,8,59138a345c6b933a,Dragapult ex,2e793a4fc5af5e88,Dragapult ex,0,0,0,0,0,,0,0,0,0,False,0,0,0,0,1,1,0,0,0
92602706,v7,2026-08-13T09:19:37.634Z,16498869,smokyjp,683.7,WIN,True,25,195,143,59138a345c6b933a,Dragapult ex,7292e429e82baa72,UNLABELED,57,3,57,7,12,0.5833333333333334,0,9,3,-2,True,12,7,6,8,7,8,3,7,1
