episode_id,label,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_own_hash,deck_own_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit,action_count_ATTACH_ENERGY,action_count_PLAY_SUPPORTER,action_count_PLAY_ITEM,action_count_RETREAT,action_count_PLAY_POKEMON,action_count_ABILITY,action_count_EVOLVE,action_count_ATTACK,action_count_PLAY_STADIUM
92638893,v8,2026-08-13T11:55:41.453Z,16445124,iwawawawa iwawa,734.3,WIN,False,14,184,108,59138a345c6b933a,Dragapult ex,5d6516d5aaf4c75d,Mega Lucario ex,28,1,28,5,6,0.8333333333333334,0,1,4,3,True,6,7,10,1,2,6,4,5,0
92639822,v8,2026-08-13T11:59:41.706Z,16392927,Mark Cooper,708.4,LOSS,False,12,170,113,59138a345c6b933a,Dragapult ex,eb1222900df9baf0,Mega Lucario ex,49,3,33,4,6,0.6666666666666666,0,0,3,1,False,7,6,11,3,6,10,4,4,0
92640795,v8,2026-08-13T12:03:44.851Z,16514320,yogimo,581.1,WIN,True,13,138,94,59138a345c6b933a,Dragapult ex,6c534f1524e51c74,Mega Lucario ex,24,1,26,4,5,0.8,0,0,3,-2,True,7,5,9,1,6,5,4,4,0
92641741,v8,2026-08-13T12:07:42.111Z,16675977,Touyu,562.1,WIN,True,15,196,120,59138a345c6b933a,Dragapult ex,c4ebaf6e42fc8a2a,Fezandipiti ex,23,0,23,4,4,1.0,0,0,0,-3,False,7,6,11,0,2,14,4,4,2
92642676,v8,2026-08-13T12:11:42.479Z,16611546,Cluckin-VV,772.0,LOSS,True,9,177,76,59138a345c6b933a,Dragapult ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,34,4,26,2,4,0.5,0,0,2,2,False,5,3,7,4,3,8,4,2,0
92643618,v8,2026-08-13T12:15:41.525Z,16408657,len8487,663.7,LOSS,False,14,104,42,59138a345c6b933a,Dragapult ex,fb6542fd45093b86,Mega Lopunny ex,14,1,2,0,2,0.0,0,0,5,5,False,4,3,2,1,4,1,1,0,0
92644563,v8,2026-08-13T12:19:41.714Z,16392927,Mark Cooper,708.4,LOSS,True,13,180,102,59138a345c6b933a,Dragapult ex,eb1222900df9baf0,Mega Lucario ex,37,1,27,3,5,0.6,0,0,2,2,False,5,5,10,1,3,13,6,3,1
92645508,v8,2026-08-13T12:23:43.621Z,16460544,mato,620.4,LOSS,False,10,153,71,59138a345c6b933a,Dragapult ex,6c534f1524e51c74,Mega Lucario ex,20,1,24,1,4,0.25,0,0,4,4,False,4,4,11,1,3,6,5,1,0
92646459,v8,2026-08-13T12:27:41.869Z,16531626,Chenxi Zhao21,496.5,WIN,False,10,142,100,59138a345c6b933a,Dragapult ex,c91413dd3f15a634,UNLABELED,35,1,25,3,4,0.75,6,0,5,2,True,5,5,12,1,5,9,4,3,0
92647392,v8,2026-08-13T12:31:42.317Z,16532774,Daewoo Myoung,687.3,WIN,False,12,146,102,59138a345c6b933a,Dragapult ex,9d1cf983395f9b4e,UNLABELED,40,1,22,4,4,1.0,0,0,2,-3,True,6,6,8,1,2,10,6,4,1
