episode_id,create_time,opponent_team_id,opponent_team_name,opponent_current_score,result,went_first,n_turns,n_steps,n_decisions,deck_luca_hash,deck_luca_archetype,deck_opp_hash,deck_opp_archetype,retreat_available_decisions,retreat_chosen,attack_available_decisions,attack_chosen_when_available,turns_with_attack_available,turn_attack_rate,missed_ko_confirmed,missed_ko_possible,max_prize_deficit_faced,final_prize_margin,comeback_from_2plus_deficit
92425250,2026-08-12T20:34:04.301Z,16404352,Oshbocker,1192.2,WIN,False,8,121,62,eb1222900df9baf0,Mega Lucario ex,111d0a87c7071fde,Teal Mask Ogerpon ex,3,0,15,3,3,1.0,0,0,2,1,True
92403770,2026-08-12T19:02:03.641Z,16421599,熱異常,1077.8,WIN,False,8,150,72,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,4,1,28,4,4,1.0,0,0,0,0,False
92396450,2026-08-12T18:30:03.999Z,16371703,やる気元気ミワハルキ,980.3,WIN,False,10,124,66,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,1,0,30,4,5,0.8,0,4,0,-4,False
92366701,2026-08-12T16:22:01.125Z,16374395,Majkel1337,1039.0,WIN,False,8,60,46,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,3,1,15,2,4,0.5,0,0,0,-1,False
92333634,2026-08-12T13:59:35.415Z,16452116,Sixth Sense,1066.8,WIN,True,9,151,63,eb1222900df9baf0,Mega Lucario ex,884c0683209ead35,Dragapult ex,2,0,21,4,4,1.0,0,0,0,-4,False
92322597,2026-08-12T13:11:36.021Z,16411029,ANDPAD kaggler team,1129.8,WIN,True,13,173,93,eb1222900df9baf0,Mega Lucario ex,8100e95271eb24bc,Teal Mask Ogerpon ex,4,1,35,5,6,0.8333333333333334,0,3,0,-1,False
92321654,2026-08-12T13:07:36.304Z,16411029,ANDPAD kaggler team,1129.8,LOSS,True,9,141,76,eb1222900df9baf0,Mega Lucario ex,8100e95271eb24bc,Teal Mask Ogerpon ex,4,0,16,2,2,1.0,0,0,3,3,False
92321733,2026-08-12T13:07:36.427Z,16380946,flg,1127.4,WIN,False,10,135,74,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,3,0,36,4,5,0.8,0,1,0,-4,False
92320712,2026-08-12T13:03:36.425Z,16411029,ANDPAD kaggler team,1129.8,WIN,True,11,156,78,eb1222900df9baf0,Mega Lucario ex,8100e95271eb24bc,Teal Mask Ogerpon ex,3,0,22,4,4,1.0,0,2,2,1,True
92312424,2026-08-12T12:27:36.247Z,16381624,LumenLiquidity,1147.8,LOSS,True,7,140,55,eb1222900df9baf0,Mega Lucario ex,f8261f22b9cd0c48,Dragapult ex,0,0,25,3,3,1.0,0,0,2,2,False
92310379,2026-08-12T12:19:35.749Z,16380946,flg,1127.4,WIN,True,13,187,95,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,3,0,31,5,5,1.0,0,0,1,-1,False
92302880,2026-08-12T11:47:35.586Z,16450476,Thai,1158.3,WIN,False,6,83,46,eb1222900df9baf0,Mega Lucario ex,fb0918f74924ede3,Mega Kangaskhan ex,4,1,17,3,3,1.0,0,5,0,-1,False
92289114,2026-08-12T10:47:40.530Z,16572731,TAKA_3118,584.0,WIN,False,8,46,31,eb1222900df9baf0,Mega Lucario ex,e68d950bf2ff5f6d,Mega Abomasnow ex,2,1,14,3,4,0.75,0,0,0,-2,False
92267636,2026-08-12T09:15:41.827Z,16380946,flg,1127.4,LOSS,False,12,175,74,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,5,1,19,3,4,0.75,0,2,0,0,False
92255261,2026-08-12T08:23:41.086Z,16680070,AReg,1015.8,WIN,True,11,147,90,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,7,1,19,5,5,1.0,0,1,0,-3,False
92240408,2026-08-12T07:19:41.006Z,16371703,やる気元気ミワハルキ,980.3,WIN,False,12,167,75,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,6,1,26,4,5,0.8,0,1,2,0,True
92230969,2026-08-12T06:39:45.901Z,16371703,やる気元気ミワハルキ,980.3,WIN,True,11,192,78,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,4,0,32,5,5,1.0,0,2,0,0,False
92230327,2026-08-12T06:35:40.948Z,16371703,やる気元気ミワハルキ,980.3,LOSS,True,9,165,64,eb1222900df9baf0,Mega Lucario ex,d100dfb9bce5ff5c,Dragapult ex,3,1,21,3,4,0.75,0,4,0,0,False
92224652,2026-08-12T06:11:40.815Z,16452116,Sixth Sense,1066.8,WIN,True,21,260,110,eb1222900df9baf0,Mega Lucario ex,2026f6adb448abd3,Dragapult ex,9,2,31,6,8,0.75,0,1,2,0,True
92223703,2026-08-12T06:07:41.582Z,16371653,213tubo,666.9,WIN,False,20,219,89,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,6,2,26,5,6,0.8333333333333334,0,2,1,0,False
92220894,2026-08-12T05:55:41.655Z,16371703,やる気元気ミワハルキ,980.3,LOSS,True,15,227,74,eb1222900df9baf0,Mega Lucario ex,9e2749ec691d6925,Dragapult ex,3,0,16,2,5,0.4,0,0,3,3,False
92222763,2026-08-12T06:03:41.230Z,16391939,PP kawada,935.3,WIN,False,14,119,64,eb1222900df9baf0,Mega Lucario ex,42c823200429ac49,UNLABELED,5,1,21,6,7,0.8571428571428571,0,14,0,-5,False
92221831,2026-08-12T05:59:41.162Z,16404352,Oshbocker,1192.2,WIN,False,10,127,63,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,1,0,19,3,5,0.6,0,0,2,-1,True
92219951,2026-08-12T05:51:41.747Z,16380946,flg,1127.4,WIN,True,11,179,66,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,3,0,18,5,5,1.0,0,0,0,-2,False
92218970,2026-08-12T05:47:40.320Z,16371653,213tubo,666.9,WIN,False,14,181,74,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,5,1,28,6,7,0.8571428571428571,0,3,0,-3,False
92218995,2026-08-12T05:47:40.380Z,16566874,kwa,1000.1,WIN,True,11,150,78,eb1222900df9baf0,Mega Lucario ex,883dbbec46afc72e,Fezandipiti ex,6,1,18,4,4,1.0,0,2,0,0,False
92218051,2026-08-12T05:43:41.686Z,16404352,Oshbocker,1192.2,LOSS,False,10,157,74,eb1222900df9baf0,Mega Lucario ex,111d0a87c7071fde,Teal Mask Ogerpon ex,3,0,30,4,5,0.8,0,2,2,0,False
92218110,2026-08-12T05:43:41.781Z,16404352,Oshbocker,1192.2,LOSS,True,7,120,61,eb1222900df9baf0,Mega Lucario ex,111d0a87c7071fde,Teal Mask Ogerpon ex,5,1,21,2,3,0.6666666666666666,0,0,4,4,False
92217176,2026-08-12T05:40:02.232Z,16594494,Yopta,1076.7,WIN,False,8,114,58,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,3,1,15,3,3,1.0,0,0,0,-1,False
92216170,2026-08-12T05:35:36.182Z,16381904,NguyenThanhNhan,990.8,WIN,False,10,160,87,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,4,1,36,5,5,1.0,0,0,0,-2,False
92215204,2026-08-12T05:31:36.241Z,16421599,熱異常,1077.8,WIN,False,6,51,28,eb1222900df9baf0,Mega Lucario ex,712e7e9d851a570b,Teal Mask Ogerpon ex,0,0,15,3,3,1.0,0,0,0,-3,False
92214223,2026-08-12T05:27:36.493Z,16371653,213tubo,666.9,WIN,False,26,242,97,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,7,1,36,5,7,0.7142857142857143,0,1,1,-2,False
92213249,2026-08-12T05:23:36.283Z,16400698,MarineYY,836.6,WIN,False,14,126,79,eb1222900df9baf0,Mega Lucario ex,37f2032236fb6baf,Mega Kangaskhan ex,9,3,34,4,7,0.5714285714285714,0,5,0,-2,False
92212278,2026-08-12T05:19:35.993Z,16463316,LiamK,1039.2,WIN,True,13,233,90,eb1222900df9baf0,Mega Lucario ex,058f82abd5449e39,Dragapult ex,5,1,44,4,6,0.6666666666666666,0,8,0,-1,False
92211319,2026-08-12T05:15:37.015Z,16531497,"Bart, Edwyn",1082.7,WIN,True,11,147,64,eb1222900df9baf0,Mega Lucario ex,f68ccef625779ef7,Fezandipiti ex,3,1,23,5,5,1.0,0,1,0,-2,False
92210358,2026-08-12T05:11:35.919Z,16594494,Yopta,1076.7,WIN,False,14,136,68,eb1222900df9baf0,Mega Lucario ex,fb6542fd45093b86,Mega Lopunny ex,2,0,28,4,7,0.5714285714285714,0,0,0,0,False
92209392,2026-08-12T05:07:36.244Z,16689712,新米エンジニア十一号,290.8,WIN,True,7,50,32,eb1222900df9baf0,Mega Lucario ex,eb1222900df9baf0,Mega Lucario ex,2,1,7,3,3,1.0,0,0,0,-2,False
92208431,2026-08-12T05:03:36.185Z,16387818,Hi Im Ryo,892.6,WIN,True,7,91,55,eb1222900df9baf0,Mega Lucario ex,f795869013b55d9a,Teal Mask Ogerpon ex,1,0,22,3,3,1.0,0,0,0,-2,False
92207476,2026-08-12T04:59:36.022Z,16581741,Dipam Chakraborty,929.2,LOSS,False,10,132,42,eb1222900df9baf0,Mega Lucario ex,cc84b1b9f1e05949,Dragapult ex,0,0,8,1,3,0.3333333333333333,0,3,5,5,False
92206497,2026-08-12T04:55:36.521Z,16375647,James Cox & Henry Chao,1107.3,LOSS,False,6,121,53,eb1222900df9baf0,Mega Lucario ex,d27ab9465febb3da,Mega Kangaskhan ex,0,0,22,2,3,0.6666666666666666,0,0,1,1,False
92205568,2026-08-12T04:51:36.851Z,16381823,AlphaTcg,1101.0,WIN,True,9,114,55,eb1222900df9baf0,Mega Lucario ex,fcac695071c3f3cf,Fezandipiti ex,2,0,27,4,4,1.0,0,2,0,-1,False
92204637,2026-08-12T04:47:37.593Z,16381904,NguyenThanhNhan,990.8,WIN,False,14,206,94,eb1222900df9baf0,Mega Lucario ex,dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,5,0,38,4,6,0.6666666666666666,0,7,1,-1,False
92203697,2026-08-12T04:43:36.010Z,16462035,Аzat Akhtyamov,1071.9,WIN,True,13,166,87,eb1222900df9baf0,Mega Lucario ex,b43a53d96da0f0b5,Marnie's Grimmsnarl ex,4,0,35,4,6,0.6666666666666666,0,2,0,-5,False
