episode_id,decision_index,turn,evidence_level,target_removed_via_switch,description
92396450,25,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92396450,26,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92396450,28,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92396450,29,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92322597,37,5,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92322597,39,5,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92322597,41,5,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92321733,19,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92320712,72,11,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(983, 'Mega Brave', 270)]"
92320712,74,11,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(983, 'Mega Brave', 270)]"
92302880,17,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(980, 'Cosmic Beam', 70)]"
92302880,19,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(980, 'Cosmic Beam', 70)]"
92302880,20,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(980, 'Cosmic Beam', 70)]"
92302880,21,4,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(980, 'Cosmic Beam', 70)]"
92302880,42,6,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92267636,35,6,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(980, 'Cosmic Beam', 70)]"
92267636,38,6,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
92255261,28,3,POSSIBLE,True,"Lethal-by-base-damage attack(s) available but uncertain (ability/resist/nonstandard text) and not chosen: [(982, 'Aura Jab', 130)]"
