game_id,result,went_first,turns,n_decisions,main_decisions,retreat_chosen,attack_chosen_count,turns_with_attack_chosen,turns_with_main_visited,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit
1786510596_f5677d5e_0,WIN,False,14,82,37,1,6,6,7,1,-2,False
1786510596_f5677d5e_1,WIN,True,13,109,45,1,6,6,7,0,-1,False
1786510596_f5677d5e_2,WIN,False,12,107,45,2,6,6,6,0,-4,False
1786510596_f5677d5e_3,LOSS,True,12,61,35,2,3,3,6,5,5,False
1786510596_f5677d5e_4,LOSS,False,13,78,45,1,5,5,6,4,4,False
1786510596_f5677d5e_5,LOSS,True,18,83,40,3,7,7,9,2,2,False
1786510596_f5677d5e_6,WIN,False,10,98,39,1,5,5,5,1,-3,False
1786510596_f5677d5e_7,WIN,True,11,76,29,1,5,5,6,0,-5,False
1786510596_f5677d5e_8,LOSS,False,13,80,48,2,5,5,6,4,4,False
1786510596_f5677d5e_9,WIN,True,11,73,29,1,4,4,6,0,-5,False
1786510596_f5677d5e_10,LOSS,False,15,63,30,2,6,6,7,2,2,False
1786510596_f5677d5e_11,WIN,True,13,112,50,1,6,6,7,2,-1,True
1786510596_f5677d5e_12,WIN,False,10,87,42,0,5,5,5,3,0,True
1786510596_f5677d5e_13,LOSS,True,16,79,40,2,5,5,8,2,2,False
1786510596_f5677d5e_14,WIN,False,8,57,21,1,3,3,4,0,-5,False
1786510596_f5677d5e_15,LOSS,True,10,67,33,1,3,3,5,2,1,False
1786510596_f5677d5e_16,LOSS,False,11,68,39,2,3,3,5,1,1,False
1786510596_f5677d5e_17,WIN,True,13,116,57,3,6,6,7,3,-1,True
1786510596_f5677d5e_18,LOSS,False,11,47,25,1,4,4,5,1,1,False
1786510596_f5677d5e_19,LOSS,True,10,64,31,2,3,3,5,2,2,False
1786510596_f5677d5e_20,WIN,False,12,110,56,3,6,6,6,1,0,False
1786510596_f5677d5e_21,WIN,True,13,102,45,1,4,4,7,4,0,True
1786510596_f5677d5e_22,WIN,False,12,98,43,1,6,6,6,0,-5,False
1786510596_f5677d5e_23,LOSS,True,12,108,46,0,4,4,6,2,0,False
1786510596_f5677d5e_24,WIN,False,16,99,42,1,8,8,8,0,0,False
1786510596_f5677d5e_25,LOSS,True,12,84,40,1,5,5,6,1,-1,False
1786510596_f5677d5e_26,LOSS,False,5,15,8,0,1,1,2,0,0,False
1786510596_f5677d5e_27,WIN,True,15,112,54,2,7,7,8,0,0,False
1786510596_f5677d5e_28,WIN,False,12,97,48,1,6,6,6,0,-2,False
1786510596_f5677d5e_29,LOSS,True,14,81,49,2,3,3,7,5,5,False
1786510596_f5677d5e_30,WIN,False,12,70,30,1,6,6,6,0,-1,False
1786510596_f5677d5e_31,LOSS,True,10,45,28,2,2,2,5,2,2,False
1786510596_f5677d5e_32,LOSS,False,11,80,47,3,5,5,5,5,5,False
1786510596_f5677d5e_33,WIN,True,13,93,43,0,6,6,7,1,-1,False
1786510596_f5677d5e_34,WIN,False,12,113,51,2,6,6,6,1,-1,False
1786510596_f5677d5e_35,WIN,True,9,74,34,1,3,3,5,0,-4,False
1786510596_f5677d5e_36,LOSS,False,13,65,39,1,5,5,6,5,5,False
1786510596_f5677d5e_37,LOSS,True,12,51,31,1,3,3,6,5,5,False
1786510596_f5677d5e_38,WIN,False,12,101,46,0,4,4,6,2,-1,True
1786510596_f5677d5e_39,WIN,True,15,130,60,1,7,7,8,0,-4,False
1786510596_f5677d5e_40,LOSS,False,13,89,44,1,6,6,6,1,1,False
1786510596_f5677d5e_41,LOSS,True,10,60,29,1,3,3,5,1,1,False
1786510596_f5677d5e_42,WIN,False,12,106,51,1,6,6,6,1,-1,False
1786510596_f5677d5e_43,LOSS,True,12,36,21,1,4,4,6,4,4,False
1786510596_f5677d5e_44,WIN,False,12,91,39,2,6,6,6,0,-2,False
1786510596_f5677d5e_45,WIN,True,11,84,38,2,5,5,6,3,0,True
1786510596_f5677d5e_46,LOSS,False,11,82,45,2,2,2,5,3,3,False
1786510596_f5677d5e_47,LOSS,True,10,61,28,1,3,3,5,3,3,False
1786510596_f5677d5e_48,LOSS,False,15,93,48,0,5,5,7,0,-1,False
1786510596_f5677d5e_49,LOSS,True,14,93,41,1,4,4,7,2,-1,False
1786510596_f5677d5e_50,LOSS,False,9,32,18,1,4,4,4,1,1,False
1786510596_f5677d5e_51,WIN,True,13,97,39,2,6,6,7,1,-1,False
1786510596_f5677d5e_52,WIN,False,10,83,40,1,5,5,5,1,-1,False
1786510596_f5677d5e_53,LOSS,True,14,82,50,3,6,6,7,4,4,False
1786510596_f5677d5e_54,LOSS,False,9,19,12,0,4,4,4,3,3,False
1786510596_f5677d5e_55,WIN,True,11,95,41,1,5,5,6,1,-1,False
1786510596_f5677d5e_56,LOSS,False,13,77,45,1,4,4,6,3,3,False
1786510596_f5677d5e_57,LOSS,True,14,80,41,3,2,2,7,3,0,False
1786510596_f5677d5e_58,WIN,False,4,33,16,0,2,2,2,1,1,False
1786510596_f5677d5e_59,WIN,True,15,97,47,0,5,5,8,3,-1,True
1786510596_f5677d5e_60,LOSS,False,13,71,35,1,4,4,6,0,0,False
1786510596_f5677d5e_61,WIN,True,11,83,39,2,5,5,6,1,-1,False
1786510596_f5677d5e_62,WIN,False,12,83,37,1,6,6,6,1,-4,False
1786510596_f5677d5e_63,WIN,True,13,106,51,0,4,4,7,2,0,True
1786510596_f5677d5e_64,WIN,False,12,102,51,1,6,6,6,0,0,False
1786510596_f5677d5e_65,WIN,True,13,120,55,1,6,6,7,1,-1,False
1786510596_f5677d5e_66,WIN,False,10,70,23,2,5,5,5,0,-5,False
1786510596_f5677d5e_67,WIN,True,13,76,26,1,6,6,7,0,-4,False
1786510596_f5677d5e_68,WIN,False,12,86,33,1,6,6,6,1,-4,False
1786510596_f5677d5e_69,WIN,True,13,103,47,2,6,6,7,0,-3,False
1786510596_f5677d5e_70,WIN,False,12,86,41,0,6,6,6,1,-1,False
1786510596_f5677d5e_71,LOSS,True,10,48,29,2,3,3,5,2,2,False
1786510596_f5677d5e_72,LOSS,False,15,65,32,2,7,7,7,2,2,False
1786510596_f5677d5e_73,WIN,True,15,99,39,2,7,7,8,0,-2,False
1786510596_f5677d5e_74,WIN,False,6,19,13,1,3,3,3,0,0,False
1786510596_f5677d5e_75,LOSS,True,4,14,7,0,1,1,2,0,0,False
1786510596_f5677d5e_76,LOSS,False,13,48,32,1,1,1,6,4,4,False
1786510596_f5677d5e_77,WIN,True,17,113,58,1,8,8,9,0,-2,False
1786510596_f5677d5e_78,LOSS,False,7,22,11,0,3,3,3,1,1,False
1786510596_f5677d5e_79,WIN,True,11,59,21,0,5,5,6,1,-4,False
1786510596_f5677d5e_80,WIN,False,12,97,42,1,6,6,6,1,-1,False
1786510596_f5677d5e_81,LOSS,True,12,75,38,1,5,5,6,3,3,False
1786510596_f5677d5e_82,WIN,False,12,99,48,0,6,6,6,1,-4,False
1786510596_f5677d5e_83,LOSS,True,10,49,20,0,2,2,5,2,2,False
1786510596_f5677d5e_84,WIN,False,18,101,45,2,9,9,9,1,-2,False
1786510596_f5677d5e_85,LOSS,True,10,72,38,0,2,2,5,4,2,False
1786510596_f5677d5e_86,WIN,False,4,28,15,2,2,2,2,0,0,False
1786510596_f5677d5e_87,LOSS,True,12,95,48,1,2,2,6,3,0,False
1786510596_f5677d5e_88,LOSS,False,15,86,41,2,7,7,7,1,1,False
1786510596_f5677d5e_89,LOSS,True,18,100,55,1,8,8,9,2,2,False
1786510596_f5677d5e_90,WIN,False,14,82,34,0,7,7,7,1,-1,False
1786510596_f5677d5e_91,LOSS,True,12,58,34,1,4,4,6,3,3,False
1786510596_f5677d5e_92,WIN,False,6,32,18,1,3,3,3,0,0,False
