archetype_id,archetype_name,representative_deck_hash,representative_deck_list,exact_deck_count,games,usage_share,wins,losses,win_rate,early_share,middle_share,recent_share,early_win_rate,middle_win_rate,recent_win_rate
Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,dc2ce39b94cbbb38,Basic {D} Energy x10; Boss’s Orders x2; Buddy-Buddy Poffin x4; Dawn x1; Froslass x2; Lillie's Determination x4; Marnie's Grimmsnarl ex x3; Marnie's Impidimp x4; Marnie's Morgrem x3; Munkidori x4; Night Stretcher x3; Poké Pad x4; Pokégear 3.0 x1; Rare Candy x3; Snorunt x2; Spikemuth Gym x4; Team Rocket's Petrel x4; Tool Scrapper x1; Unfair Stamp x1,47,2225,31.8677,1091,1134,0.4903,8.517,18.6058,44.3358,0.6118,0.4906,0.4845
Fezandipiti ex,Fezandipiti ex,fcac695071c3f3cf,Abra x4; Alakazam x4; Basic {P} Energy x2; Boss’s Orders x3; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x2; Dunsparce x3; Enhanced Hammer x4; Enriching Energy x1; Fezandipiti ex x1; Hilda x4; Kadabra x4; Lana’s Aid x1; Night Stretcher x1; Nighttime Mine x2; Poké Pad x4; Rare Candy x3; Sacred Ash x1; Shaymin x1; Telepath Psychic Energy x4; Xerosic’s Machinations x3,87,1355,19.407,638,717,0.4708,8.1162,30.2407,16.817,0.5309,0.4594,0.4739
Mega Kangaskhan ex,Mega Kangaskhan ex,37f2032236fb6baf,Basic {G} Energy x1; Battle Cage x2; Boss’s Orders x2; Buddy-Buddy Poffin x4; Crustle x4; Dwebble x4; Grow Grass Energy x4; Hand Trimmer x1; Hero’s Cape x1; Hilda x4; Jumbo Ice Cream x4; Lillie's Determination x4; Mega Kangaskhan ex x4; Mist Energy x4; Pokégear 3.0 x4; Shaymin x1; Spiky Energy x4; Switch x4; Xerosic’s Machinations x4,48,668,9.5675,332,336,0.497,2.1042,14.9448,8.7469,0.5238,0.4899,0.5014
Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,58c4d89cf8edc355,Basic {G} Energy x7; Basic {P} Energy x3; Brave Bangle x1; Bug Catching Set x3; Energy Search x2; Hero’s Cape x1; Lillie's Determination x2; Night Stretcher x1; Poké Pad x4; Team Rocket's Archer x1; Team Rocket's Ariana x4; Team Rocket's Articuno x2; Team Rocket's Energy x4; Team Rocket's Factory x2; Team Rocket's Giovanni x3; Team Rocket's Mewtwo ex x2; Team Rocket's Murkrow x2; Team Rocket's Petrel x1; Team Rocket's Proton x2; Team Rocket's Spidops x4; Team Rocket's Tarountula x4; Team Rocket's Transceiver x4; Team Rocket's Wobbuffet x1,30,349,4.9986,179,170,0.5129,0.9018,5.9679,5.5388,0.4444,0.563,0.4887
Dragapult ex,Dragapult ex,058f82abd5449e39,Basic {D} Energy x2; Basic {P} Energy x4; Basic {R} Energy x4; Boss’s Orders x3; Buddy-Buddy Poffin x4; Budew x2; Crispin x3; Crushing Hammer x4; Dawn x1; Dragapult ex x3; Drakloak x4; Dreepy x4; Fezandipiti ex x1; Jamming Tower x2; Judge x1; Lillie's Determination x4; Meowth ex x1; Munkidori x2; Night Stretcher x2; Poké Pad x4; Ultra Ball x4; Unfair Stamp x1,50,337,4.8267,186,151,0.5519,6.4128,4.4634,4.6115,0.4219,0.6067,0.5707
Cynthia's Garchomp ex,Cynthia's Garchomp ex,e34dae96b1984485,Basic {F} Energy x5; Boss’s Orders x2; Buddy-Buddy Poffin x4; Cynthia's Gabite x4; Cynthia's Garchomp ex x3; Cynthia's Gible x4; Cynthia's Power Weight x3; Cynthia's Roselia x4; Cynthia's Roserade x3; Cynthia's Spiritomb x2; Fighting Gong x4; Forest of Vitality x2; Hilda x3; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Rock Fighting Energy x4; Surfer x1; Unfair Stamp x1; Xerosic’s Machinations x1,13,296,4.2395,156,140,0.527,1.7034,5.6169,4.1855,0.5882,0.5714,0.491
Mega Lopunny ex,Mega Lopunny ex,fb6542fd45093b86,Air Balloon x3; Basic {W} Energy x3; Battle Cage x3; Boss’s Orders x2; Buddy-Buddy Poffin x4; Buneary x2; Dudunsparce x3; Dunsparce x4; Enriching Energy x1; Fan Rotom x1; Hand Trimmer x3; Hilda x3; Lillie's Determination x4; Mega Froslass ex x2; Mega Lopunny ex x2; Mist Energy x4; Poké Pad x4; Pokégear 3.0 x2; Snorunt x2; Ultra Ball x4; Wally's Compassion x4,18,289,4.1392,160,129,0.5536,0.2004,0.7021,6.8421,0.5,0.2857,0.5678
Mega Lucario ex,Mega Lucario ex,6c534f1524e51c74,Basic {F} Energy x13; Boss’s Orders x2; Carmine x4; Dusk Ball x4; Fighting Gong x4; Gravity Mountain x2; Hariyama x2; Hero’s Cape x1; Lillie's Determination x4; Lunatone x2; Makuhita x2; Mega Lucario ex x4; Poké Pad x4; Premium Power Pro x4; Riolu x3; Solrock x3; Switch x2,49,262,3.7525,135,127,0.5153,17.5351,1.3541,1.5038,0.4743,0.5556,0.6167
Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,2b38095c5eca59f6,Basic {G} Energy x18; Boss’s Orders x3; Briar x1; Bug Catching Set x4; Energy Retrieval x2; Energy Search x4; Grow Grass Energy x2; Harlequin x2; Hero’s Cape x1; Judge x4; Jumbo Ice Cream x2; Lillie's Determination x4; Lively Stadium x2; N's Plan x1; Pokégear 3.0 x3; Teal Mask Ogerpon ex x4; Tera Orb x2; Tool Scrapper x1,30,199,2.8502,111,88,0.5578,0.3006,0.2508,4.787,1.0,0.8,0.5445
UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra,831fd3a04060c7c2,Abra x4; Alakazam x4; Basic {P} Energy x3; Battle Cage x1; Boss’s Orders x3; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Enhanced Hammer x4; Enriching Energy x1; Hilda x4; Kadabra x4; Lana’s Aid x1; Night Stretcher x3; Poké Pad x4; Rare Candy x4; Sacred Ash x1; Telepath Psychic Energy x4,36,191,2.7356,99,92,0.5183,11.022,3.8114,0.1253,0.4909,0.5395,0.8
