archetype_id,archetype_name,games,exact_deck_count,usage_share,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,shrinkage_win_rate,confidence,strength_class,early_share,middle_share,recent_share,early_win_rate,middle_win_rate,recent_win_rate,recent_games,share_change_early_to_recent,win_rate_change_early_to_recent,meta_trend,win_rate_trend,short_game_win_rate,short_game_delta_pp,short_game_sample,short_game_class,credible_counter_count,credible_countered_by_count,meta_tags
Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,2225,47,31.8677,0.4903,0.4696,0.5111,0.4905,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,8.517,18.6058,44.3358,0.6118,0.4906,0.4845,1769,35.8188,-12.73,strongly rising,meaningful decrease,0.5476,5.73,84,neutral,1,1,CURRENT_DOMINANT;CURRENT_RISING
Fezandipiti ex,Fezandipiti ex,1355,87,19.407,0.4708,0.4444,0.4975,0.4715,HIGH_CONFIDENCE,HIGH_CONFIDENCE_WEAK,8.1162,30.2407,16.817,0.5309,0.4594,0.4739,671,8.7008,-5.7,moderately rising,meaningful decrease,0.6519,18.11,135,short_game_advantaged,0,2,CURRENT_DOMINANT;CURRENT_RISING
Mega Kangaskhan ex,Mega Kangaskhan ex,668,48,9.5675,0.497,0.4592,0.5348,0.4971,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,2.1042,14.9448,8.7469,0.5238,0.4899,0.5014,349,6.6427,-2.24,moderately rising,stable,0.2385,-25.85,109,short_game_disadvantaged,0,0,CURRENT_RISING
Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,349,30,4.9986,0.5129,0.4606,0.5649,0.5119,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,0.9018,5.9679,5.5388,0.4444,0.563,0.4887,221,4.637,4.43,moderately rising,stable,,,17,uncertain,1,1,CURRENT_RISING;CURRENT_COUNTER
Dragapult ex,Dragapult ex,337,50,4.8267,0.5519,0.4985,0.6041,0.5477,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,6.4128,4.4634,4.6115,0.4219,0.6067,0.5707,184,-1.8013,14.88,stable,meaningful increase,0.4348,-11.71,23,short_game_disadvantaged,1,0,CURRENT_COUNTER
Cynthia's Garchomp ex,Cynthia's Garchomp ex,296,13,4.2395,0.527,0.4702,0.5832,0.5245,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,1.7034,5.6169,4.1855,0.5882,0.5714,0.491,167,2.4821,-9.72,stable,meaningful decrease,,,14,uncertain,0,0,
Mega Lopunny ex,Mega Lopunny ex,289,18,4.1392,0.5536,0.496,0.6099,0.5486,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,0.2004,0.7021,6.8421,0.5,0.2857,0.5678,273,6.6417,6.78,moderately rising,meaningful increase,0.7037,15.01,27,short_game_advantaged,0,0,CURRENT_RISING
Mega Lucario ex,Mega Lucario ex,262,49,3.7525,0.5153,0.455,0.5751,0.5137,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,17.5351,1.3541,1.5038,0.4743,0.5556,0.6167,60,-16.0313,14.24,strongly declining,meaningful increase,0.6383,12.3,47,short_game_advantaged,0,0,CURRENT_DECLINING
Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,199,30,2.8502,0.5578,0.4883,0.6251,0.5502,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,0.3006,0.2508,4.787,1.0,0.8,0.5445,191,4.4864,-45.55,moderately rising,meaningful decrease,0.3929,-16.49,28,short_game_disadvantaged,1,0,CURRENT_RISING;CURRENT_COUNTER
UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra,191,36,2.7356,0.5183,0.4478,0.5881,0.5158,HIGH_CONFIDENCE,HIGH_USAGE_AVERAGE,11.022,3.8114,0.1253,0.4909,0.5395,0.8,5,-10.8967,30.91,strongly declining,meaningful increase,0.3793,-13.9,29,short_game_disadvantaged,0,0,CURRENT_UNCERTAIN
