archetype_A,archetype_B,games,wins_A,wins_B,win_rate_A,win_rate_B,win_rate_A_wilson_lo,win_rate_A_wilson_hi,sample_confidence,games_recent,win_rate_A_recent,sample_confidence_recent,credible_counter_A_over_B,credible_counter_B_over_A,games_mismatch_flag
Marnie's Grimmsnarl ex,Fezandipiti ex,417,227,190,0.5444,0.4556,0.4964,0.5915,HIGH_CONFIDENCE,284,0.5423,HIGH_CONFIDENCE,False,False,False
Marnie's Grimmsnarl ex,Mega Kangaskhan ex,210,95,115,0.4524,0.5476,0.3865,0.52,HIGH_CONFIDENCE,149,0.5101,HIGH_CONFIDENCE,False,False,False
Fezandipiti ex,Mega Kangaskhan ex,160,83,77,0.5188,0.4813,0.4418,0.5948,HIGH_CONFIDENCE,60,0.4667,USABLE,False,False,False
Marnie's Grimmsnarl ex,Team Rocket's Mewtwo ex,134,80,54,0.597,0.403,0.5124,0.6762,HIGH_CONFIDENCE,106,0.5755,HIGH_CONFIDENCE,True,False,False
Marnie's Grimmsnarl ex,Mega Lopunny ex,98,42,56,0.4286,0.5714,0.3351,0.5274,USABLE,95,0.4105,USABLE,False,False,False
Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,98,42,56,0.4286,0.5714,0.3351,0.5274,USABLE,68,0.4559,USABLE,False,False,False
Fezandipiti ex,Team Rocket's Mewtwo ex,85,20,65,0.2353,0.7647,0.1578,0.3357,USABLE,34,0.1765,LOW_CONFIDENCE,False,True,False
Marnie's Grimmsnarl ex,Teal Mask Ogerpon ex,77,14,63,0.1818,0.8182,0.1115,0.2824,USABLE,75,0.1867,USABLE,False,True,False
Fezandipiti ex,Dragapult ex,76,27,49,0.3553,0.6447,0.257,0.4674,USABLE,42,0.3333,LOW_CONFIDENCE,False,True,False
Marnie's Grimmsnarl ex,Dragapult ex,76,30,46,0.3947,0.6053,0.2925,0.5071,USABLE,62,0.371,USABLE,False,False,False
Fezandipiti ex,Cynthia's Garchomp ex,57,32,25,0.5614,0.4386,0.4328,0.6823,USABLE,25,0.64,LOW_CONFIDENCE,False,False,False
Fezandipiti ex,Mega Lopunny ex,46,23,23,0.5,0.5,0.3612,0.6388,LOW_CONFIDENCE,42,0.4762,LOW_CONFIDENCE,False,False,False
Mega Kangaskhan ex,Cynthia's Garchomp ex,40,22,18,0.55,0.45,0.3983,0.6929,LOW_CONFIDENCE,23,0.6957,LOW_CONFIDENCE,False,False,False
Fezandipiti ex,Teal Mask Ogerpon ex,38,26,12,0.6842,0.3158,0.5254,0.8092,LOW_CONFIDENCE,37,0.7027,LOW_CONFIDENCE,False,False,False
Mega Kangaskhan ex,Dragapult ex,37,23,14,0.6216,0.3784,0.461,0.7594,LOW_CONFIDENCE,18,0.6111,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,Team Rocket's Mewtwo ex,34,14,20,0.4118,0.5882,0.2637,0.5778,LOW_CONFIDENCE,20,0.45,LOW_CONFIDENCE,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_01,32,15,17,0.4688,0.5312,0.3087,0.6355,LOW_CONFIDENCE,4,0.25,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,Mega Lopunny ex,31,10,21,0.3226,0.6774,0.1857,0.4986,LOW_CONFIDENCE,30,0.3,LOW_CONFIDENCE,False,False,False
Marnie's Grimmsnarl ex,Mega Lucario ex,30,14,16,0.4667,0.5333,0.3023,0.6386,LOW_CONFIDENCE,21,0.5714,LOW_CONFIDENCE,False,False,False
Mega Lopunny ex,Teal Mask Ogerpon ex,29,22,7,0.7586,0.2414,0.5789,0.8778,LOW_CONFIDENCE,29,0.7586,LOW_CONFIDENCE,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_05,24,8,16,0.3333,0.6667,0.1797,0.5329,LOW_CONFIDENCE,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_01,23,9,14,0.3913,0.6087,0.2216,0.5921,LOW_CONFIDENCE,1,0.0,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,Cynthia's Garchomp ex,23,10,13,0.4348,0.5652,0.2563,0.6319,LOW_CONFIDENCE,18,0.3889,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_04,22,11,11,0.5,0.5,0.3072,0.6928,LOW_CONFIDENCE,9,0.4444,INSUFFICIENT,False,False,False
Fezandipiti ex,Mega Lucario ex,22,12,10,0.5455,0.4545,0.3466,0.7308,LOW_CONFIDENCE,11,0.5455,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_02,20,12,8,0.6,0.4,0.3866,0.7812,LOW_CONFIDENCE,1,1.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_02,18,10,8,0.5556,0.4444,0.3372,0.7544,INSUFFICIENT,2,0.5,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,Mega Lucario ex,17,7,10,0.4118,0.5882,0.2161,0.6399,INSUFFICIENT,7,0.2857,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_01,17,10,7,0.5882,0.4118,0.3601,0.7839,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,Mega Lopunny ex,17,11,6,0.6471,0.3529,0.413,0.8269,INSUFFICIENT,16,0.6875,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_03,17,13,4,0.7647,0.2353,0.5274,0.9045,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_06,16,7,9,0.4375,0.5625,0.231,0.6682,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,Mega Lucario ex,16,2,14,0.125,0.875,0.035,0.3602,INSUFFICIENT,6,0.0,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_03,15,10,5,0.6667,0.3333,0.4171,0.8482,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_07,14,6,8,0.4286,0.5714,0.2138,0.6741,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_01,14,4,10,0.2857,0.7143,0.1172,0.5465,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,Teal Mask Ogerpon ex,13,7,6,0.5385,0.4615,0.2914,0.7679,INSUFFICIENT,13,0.5385,INSUFFICIENT,False,False,False
Dragapult ex,Cynthia's Garchomp ex,13,7,6,0.5385,0.4615,0.2914,0.7679,INSUFFICIENT,9,0.3333,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_04,12,6,6,0.5,0.5,0.2538,0.7462,INSUFFICIENT,4,0.75,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,Dragapult ex,12,2,10,0.1667,0.8333,0.047,0.448,INSUFFICIENT,4,0.0,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_01,11,7,4,0.6364,0.3636,0.3538,0.8483,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,Mega Lopunny ex,11,9,2,0.8182,0.1818,0.523,0.9486,INSUFFICIENT,10,0.8,INSUFFICIENT,False,False,False
Dragapult ex,Teal Mask Ogerpon ex,10,4,6,0.4,0.6,0.1682,0.6873,INSUFFICIENT,10,0.4,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_02,10,8,2,0.8,0.2,0.4902,0.9433,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_08,9,3,6,0.3333,0.6667,0.1206,0.6458,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,Mega Lucario ex,9,0,9,0.0,1.0,0.0,0.2992,INSUFFICIENT,9,0.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_04,9,6,3,0.6667,0.3333,0.3542,0.8794,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_02,8,5,3,0.625,0.375,0.3057,0.8632,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_17,8,1,7,0.125,0.875,0.0224,0.4709,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_09,8,2,6,0.25,0.75,0.0715,0.5907,INSUFFICIENT,7,0.2857,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_12,8,5,3,0.625,0.375,0.3057,0.8632,INSUFFICIENT,4,0.25,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_05,8,7,1,0.875,0.125,0.5291,0.9776,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,Mega Lopunny ex,8,0,8,0.0,1.0,0.0,0.3244,INSUFFICIENT,8,0.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_15,8,2,6,0.25,0.75,0.0715,0.5907,INSUFFICIENT,3,0.0,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_01,7,1,6,0.1429,0.8571,0.0257,0.5131,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_05,7,3,4,0.4286,0.5714,0.1582,0.7495,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
