target_archetype,target_recent_share,counter_archetype,counter_games,counter_win_rate,counter_wilson_lo,counter_overall_share,counter_recent_share,counter_recent_games,verdict
Cynthia's Garchomp ex,4.1855,,,,,,,,NO_CREDIBLE_COUNTER_FOUND
Dragapult ex,4.6115,,,,,,,,NO_CREDIBLE_COUNTER_FOUND
Fezandipiti ex,16.817,Team Rocket's Mewtwo ex,85.0,0.7647,0.6643,4.9986,5.5388,221.0,STRONG_AND_RELEVANT
Fezandipiti ex,16.817,Dragapult ex,76.0,0.6447,0.5326,4.8267,4.6115,184.0,STRONG_AND_RELEVANT
Marnie's Grimmsnarl ex,44.3358,Teal Mask Ogerpon ex,77.0,0.8182,0.7176,2.8502,4.787,191.0,STRONG_AND_RELEVANT
Mega Kangaskhan ex,8.7469,,,,,,,,NO_CREDIBLE_COUNTER_FOUND
Mega Lopunny ex,6.8421,,,,,,,,NO_CREDIBLE_COUNTER_FOUND
Mega Lucario ex,1.5038,,,,,,,,NO_CREDIBLE_COUNTER_FOUND
Teal Mask Ogerpon ex,4.787,,,,,,,,NO_CREDIBLE_COUNTER_FOUND
Team Rocket's Mewtwo ex,5.5388,Marnie's Grimmsnarl ex,134.0,0.597,0.5124,31.8677,44.3358,1769.0,STRONG_AND_RELEVANT
