decision_day,experiment,counter_triggered,target_archetype,target_meta_share,counter_archetype,counter_oos_win_rate,counter_oos_games,base_expected_win_rate,counter_adjustment,final_expected_win_rate,selected_archetype,new_episodes_included,data_endpoint
2026-06-20,PRIMARY,False,,,,,,0.2404,0.0,0.2404,Mega Lucario ex,0,2026-08-10
2026-06-20,FROZEN_DIAGNOSTIC,False,,,,,,0.2404,0.0,0.2404,Mega Lucario ex,0,2026-08-10
2026-06-21,PRIMARY,False,,,,,,0.2382,0.0,0.2382,Mega Lucario ex,0,2026-08-10
2026-06-21,FROZEN_DIAGNOSTIC,False,,,,,,0.2382,0.0,0.2382,Mega Lucario ex,0,2026-08-10
2026-06-22,PRIMARY,False,,,,,,0.2421,0.0,0.2421,Mega Lucario ex,0,2026-08-10
2026-06-22,FROZEN_DIAGNOSTIC,False,,,,,,0.2421,0.0,0.2421,Mega Lucario ex,0,2026-08-10
2026-06-23,PRIMARY,False,,,,,,0.2519,0.0,0.2519,Mega Lucario ex,0,2026-08-10
2026-06-23,FROZEN_DIAGNOSTIC,False,,,,,,0.2519,0.0,0.2519,Mega Lucario ex,0,2026-08-10
2026-06-24,PRIMARY,False,,,,,,0.2679,0.0,0.2679,Mega Lucario ex,0,2026-08-10
2026-06-24,FROZEN_DIAGNOSTIC,False,,,,,,0.2679,0.0,0.2679,Mega Lucario ex,0,2026-08-10
2026-06-25,PRIMARY,False,,,,,,0.2678,0.0,0.2678,Mega Lucario ex,0,2026-08-10
2026-06-25,FROZEN_DIAGNOSTIC,False,,,,,,0.2678,0.0,0.2678,Mega Lucario ex,0,2026-08-10
2026-06-26,PRIMARY,False,,,,,,0.2797,0.0,0.2797,Mega Lucario ex,0,2026-08-10
2026-06-26,FROZEN_DIAGNOSTIC,False,,,,,,0.2797,0.0,0.2797,Mega Lucario ex,0,2026-08-10
2026-06-27,PRIMARY,False,,,,,,0.2879,0.0,0.2879,UNLABELED_CLUSTER_05,0,2026-08-10
2026-06-27,FROZEN_DIAGNOSTIC,False,,,,,,0.2879,0.0,0.2879,UNLABELED_CLUSTER_05,0,2026-08-10
2026-06-28,PRIMARY,False,,,,,,0.3047,0.0,0.3047,UNLABELED_CLUSTER_05,0,2026-08-10
2026-06-28,FROZEN_DIAGNOSTIC,False,,,,,,0.3047,0.0,0.3047,UNLABELED_CLUSTER_05,0,2026-08-10
2026-06-29,PRIMARY,False,,,,,,0.3037,0.0,0.3037,UNLABELED_CLUSTER_05,0,2026-08-10
2026-06-29,FROZEN_DIAGNOSTIC,False,,,,,,0.3037,0.0,0.3037,UNLABELED_CLUSTER_05,0,2026-08-10
2026-06-30,PRIMARY,False,,,,,,0.3395,0.0,0.3395,UNLABELED_CLUSTER_02,0,2026-08-10
2026-06-30,FROZEN_DIAGNOSTIC,False,,,,,,0.3395,0.0,0.3395,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-01,PRIMARY,False,,,,,,0.3168,0.0,0.3168,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-01,FROZEN_DIAGNOSTIC,False,,,,,,0.3168,0.0,0.3168,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-02,PRIMARY,False,,,,,,0.3059,0.0,0.3059,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-02,FROZEN_DIAGNOSTIC,False,,,,,,0.3059,0.0,0.3059,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-03,PRIMARY,False,,,,,,0.2885,0.0,0.2885,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-03,FROZEN_DIAGNOSTIC,False,,,,,,0.2885,0.0,0.2885,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-04,PRIMARY,False,,,,,,0.2813,0.0,0.2813,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-04,FROZEN_DIAGNOSTIC,False,,,,,,0.2813,0.0,0.2813,UNLABELED_CLUSTER_02,0,2026-08-10
2026-07-05,PRIMARY,False,,,,,,0.3252,0.0,0.3252,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-05,FROZEN_DIAGNOSTIC,False,,,,,,0.3252,0.0,0.3252,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-06,PRIMARY,False,,,,,,0.2967,0.0,0.2967,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-06,FROZEN_DIAGNOSTIC,False,,,,,,0.2967,0.0,0.2967,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-07,PRIMARY,False,,,,,,0.277,0.0,0.277,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-07,FROZEN_DIAGNOSTIC,False,,,,,,0.277,0.0,0.277,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-08,PRIMARY,False,,,,,,0.2798,0.0,0.2798,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-08,FROZEN_DIAGNOSTIC,False,,,,,,0.2798,0.0,0.2798,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-09,PRIMARY,False,,,,,,0.2996,0.0,0.2996,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-09,FROZEN_DIAGNOSTIC,False,,,,,,0.2996,0.0,0.2996,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-10,PRIMARY,False,,,,,,0.2997,0.0,0.2997,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-10,FROZEN_DIAGNOSTIC,False,,,,,,0.2997,0.0,0.2997,UNLABELED_CLUSTER_01,0,2026-08-10
2026-07-11,PRIMARY,False,,,,,,0.326,0.0,0.326,Mega Kangaskhan ex,0,2026-08-10
2026-07-11,FROZEN_DIAGNOSTIC,False,,,,,,0.326,0.0,0.326,Mega Kangaskhan ex,0,2026-08-10
2026-07-12,PRIMARY,False,,,,,,0.3017,0.0,0.3017,Fezandipiti ex,0,2026-08-10
2026-07-12,FROZEN_DIAGNOSTIC,False,,,,,,0.3017,0.0,0.3017,Fezandipiti ex,0,2026-08-10
2026-07-13,PRIMARY,False,,,,,,0.3119,0.0,0.3119,Mega Kangaskhan ex,0,2026-08-10
2026-07-13,FROZEN_DIAGNOSTIC,False,,,,,,0.3119,0.0,0.3119,Mega Kangaskhan ex,0,2026-08-10
2026-07-14,PRIMARY,False,,,,,,0.3237,0.0,0.3237,Mega Kangaskhan ex,0,2026-08-10
2026-07-14,FROZEN_DIAGNOSTIC,False,,,,,,0.3237,0.0,0.3237,Mega Kangaskhan ex,0,2026-08-10
2026-07-15,PRIMARY,False,,,,,,0.3249,0.0,0.3249,Mega Kangaskhan ex,0,2026-08-10
2026-07-15,FROZEN_DIAGNOSTIC,False,,,,,,0.3249,0.0,0.3249,Mega Kangaskhan ex,0,2026-08-10
2026-07-16,PRIMARY,False,,,,,,0.3322,0.0,0.3322,Mega Kangaskhan ex,0,2026-08-10
2026-07-16,FROZEN_DIAGNOSTIC,False,,,,,,0.3322,0.0,0.3322,Mega Kangaskhan ex,0,2026-08-10
2026-07-17,PRIMARY,False,,,,,,0.3316,0.0,0.3316,Mega Kangaskhan ex,0,2026-08-10
2026-07-17,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.2584,Team Rocket's Mewtwo ex,0.84,25.0,0.3045,0.0976,0.4022,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-18,PRIMARY,False,,,,,,0.3292,0.0,0.3292,Mega Kangaskhan ex,0,2026-08-10
2026-07-18,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.2763,Team Rocket's Mewtwo ex,0.84,25.0,0.3026,0.1024,0.405,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-19,PRIMARY,False,,,,,,0.3331,0.0,0.3331,Fezandipiti ex,0,2026-08-10
2026-07-19,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.286,Team Rocket's Mewtwo ex,0.84,25.0,0.3164,0.0914,0.4078,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-20,PRIMARY,False,,,,,,0.3752,0.0,0.3752,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-20,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.2966,Team Rocket's Mewtwo ex,0.84,25.0,0.3752,0.0743,0.4495,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-21,PRIMARY,False,,,,,,0.3654,0.0,0.3654,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-21,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.3024,Team Rocket's Mewtwo ex,0.84,25.0,0.3654,0.0712,0.4366,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-22,PRIMARY,False,,,,,,0.4056,0.0,0.4056,Dragapult ex,0,2026-08-10
2026-07-22,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.3175,Team Rocket's Mewtwo ex,0.84,25.0,0.3928,0.0711,0.4639,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-23,PRIMARY,False,,,,,,0.3994,0.0,0.3994,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-23,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.324,Team Rocket's Mewtwo ex,0.84,25.0,0.3994,0.0688,0.4682,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-24,PRIMARY,False,,,,,,0.3969,0.0,0.3969,Dragapult ex,0,2026-08-10
2026-07-24,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.3267,Team Rocket's Mewtwo ex,0.84,25.0,0.3934,0.0676,0.461,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-25,PRIMARY,False,,,,,,0.4067,0.0,0.4067,Dragapult ex,0,2026-08-10
2026-07-25,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.3138,Team Rocket's Mewtwo ex,0.84,25.0,0.3839,0.0594,0.4433,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-26,PRIMARY,False,,,,,,0.4388,0.0,0.4388,Dragapult ex,0,2026-08-10
2026-07-26,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.3021,Team Rocket's Mewtwo ex,0.84,25.0,0.4019,0.0549,0.4568,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-27,PRIMARY,False,,,,,,0.4162,0.0,0.4162,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-27,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.2942,Team Rocket's Mewtwo ex,0.84,25.0,0.3931,0.0597,0.4528,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-28,PRIMARY,False,,,,,,0.4127,0.0,0.4127,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-28,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.2736,Team Rocket's Mewtwo ex,0.84,25.0,0.399,0.0504,0.4494,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-29,PRIMARY,False,,,,,,0.4247,0.0,0.4247,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-29,FROZEN_DIAGNOSTIC,True,Fezandipiti ex,0.2481,Team Rocket's Mewtwo ex,0.84,25.0,0.3944,0.0444,0.4388,Team Rocket's Mewtwo ex,0,2026-08-10
2026-07-30,PRIMARY,False,,,,,,0.4309,0.0,0.4309,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-30,FROZEN_DIAGNOSTIC,False,,,,,,0.4309,0.0,0.4309,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-31,PRIMARY,False,,,,,,0.4398,0.0,0.4398,Marnie's Grimmsnarl ex,0,2026-08-10
2026-07-31,FROZEN_DIAGNOSTIC,False,,,,,,0.4398,0.0,0.4398,Marnie's Grimmsnarl ex,0,2026-08-10
2026-08-01,PRIMARY,False,,,,,,0.4425,0.0,0.4425,Marnie's Grimmsnarl ex,0,2026-08-10
2026-08-01,FROZEN_DIAGNOSTIC,False,,,,,,0.4425,0.0,0.4425,Marnie's Grimmsnarl ex,0,2026-08-10
