decision_day,strategy,experiment,selected_archetype,training_window,training_games,test_games,wins,losses,win_rate,target_meta_share,is_opportunity,counter_active,counter_archetype,target_archetype,base_score,counter_contribution,final_score,status,latest_training_timestamp,first_test_timestamp,latest_train_before_first_test,new_episodes_included,data_endpoint
2026-06-17,A_most_popular,PRIMARY,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,B_recent_wr,PRIMARY,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,C_conservative_meta_aware,PRIMARY,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,D_counter_aware,PRIMARY,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,Counter_Only,PRIMARY,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,ORACLE,PRIMARY,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,D_counter_aware,FROZEN_DIAGNOSTIC,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-17,Counter_Only,FROZEN_DIAGNOSTIC,,14d,22,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-16T23:30:22.149631500,2026-06-17T02:06:08.363558800,True,0,2026-08-10
2026-06-18,A_most_popular,PRIMARY,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,B_recent_wr,PRIMARY,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,C_conservative_meta_aware,PRIMARY,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,D_counter_aware,PRIMARY,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,Counter_Only,PRIMARY,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,ORACLE,PRIMARY,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,D_counter_aware,FROZEN_DIAGNOSTIC,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-18,Counter_Only,FROZEN_DIAGNOSTIC,,14d,88,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-17T23:48:28.172813600,2026-06-18T01:04:33.802898200,True,0,2026-08-10
2026-06-19,A_most_popular,PRIMARY,,14d,132,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-18T23:05:09.846921300,2026-06-19T08:06:09.591612800,True,0,2026-08-10
2026-06-19,B_recent_wr,PRIMARY,,14d,132,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-18T23:05:09.846921300,2026-06-19T08:06:09.591612800,True,0,2026-08-10
2026-06-19,C_conservative_meta_aware,PRIMARY,,14d,132,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-18T23:05:09.846921300,2026-06-19T08:06:09.591612800,True,0,2026-08-10
2026-06-19,D_counter_aware,PRIMARY,,14d,132,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-18T23:05:09.846921300,2026-06-19T08:06:09.591612800,True,0,2026-08-10
2026-06-19,Counter_Only,PRIMARY,,14d,132,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-18T23:05:09.846921300,2026-06-19T08:06:09.591612800,True,0,2026-08-10
2026-06-19,ORACLE,PRIMARY,,14d,132,0,,,,,False,False,,,,,,SKIPPED_NO_CANDIDATES,2026-06-18T23:05:09.846921300,2026-06-19T08:06:09.591612800,True,0,2026-08-10
