counter_archetype,target_archetype,date,games_before,wins_before,win_rate_before,wilson_lo_before,target_meta_share_14d,counter_meta_share_14d,stat_gate_pass,full_gate_pass,consecutive_full_gate_passes,is_candidate_date,is_detection_date
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-16,0,0,0.0,0.0,,,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-17,0,0,0.0,0.0,0.0455,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-18,0,0,0.0,0.0,0.0682,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-19,0,0,0.0,0.0,0.0758,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-20,0,0,0.0,0.0,0.0698,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-21,0,0,0.0,0.0,0.0652,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-22,0,0,0.0,0.0,0.0647,0.0,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-23,1,0,0.0,0.0,0.0774,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-24,1,0,0.0,0.0,0.0807,0.0026,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-25,1,0,0.0,0.0,0.0787,0.0023,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-26,1,0,0.0,0.0,0.0754,0.0022,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-27,1,0,0.0,0.0,0.0712,0.0019,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-28,1,0,0.0,0.0,0.0739,0.0018,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-29,1,0,0.0,0.0,0.0714,0.0032,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-06-30,1,0,0.0,0.0,0.0729,0.003,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-01,1,0,0.0,0.0,0.081,0.0071,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-02,1,0,0.0,0.0,0.0841,0.0075,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-03,1,0,0.0,0.0,0.0826,0.0101,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-04,1,0,0.0,0.0,0.0868,0.0118,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-05,1,0,0.0,0.0,0.0855,0.0147,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-06,2,0,0.0,0.0,0.0875,0.0208,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-07,2,0,0.0,0.0,0.0831,0.0242,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-08,3,1,0.3333,0.0615,0.084,0.0388,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-09,4,1,0.25,0.0456,0.0878,0.0508,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-10,7,2,0.2857,0.0822,0.1144,0.0557,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-11,10,3,0.3,0.1078,0.1423,0.0581,False,False,0,False,False
Cynthia's Garchomp ex,Fezandipiti ex,2026-07-12,12,4,0.3333,0.1381,0.161,0.0599,False,False,0,False,False
