counter_archetype,target_archetype,detection_date,horizon_games,availability,wins,win_rate,wilson_lo,wilson_hi,new_episodes_contributed_to_this_horizon,data_source,original_phase44_status,extended_status_this_horizon,detection_epoch
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,25,AVAILABLE,21.0,0.84,0.6535,0.936,0,ORIGINAL_DATASET_2026-06-16_to_2026-08-10,OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,50,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 26 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,75,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 26 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,100,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 26 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,150,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 26 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,200,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 26 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-22,ALL_AVAILABLE,AVAILABLE,22.0,0.8462,0.6647,0.9385,0,ORIGINAL_DATASET_2026-06-16_to_2026-08-10,OOS_CONFIRMED,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2026-08-09,25,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 17 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_PENDING,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2026-08-09,50,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 17 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_PENDING,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2026-08-09,75,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 17 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_PENDING,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2026-08-09,100,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 17 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_PENDING,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2026-08-09,150,INSUFFICIENT_DATA_SOURCE_EXHAUSTED,,,,,0,only 17 post-detection games exist in the entire available dataset (through 2026-08-10),OOS_PENDING,N/A_ORIGINAL_STATUS_UNCHANGED_NO_NEW_DATA,"ORIGINAL_DETECTION (frozen, not moved)"
