counter_id,counter_archetype,target_archetype,candidate_date,detection_date,historical_games,historical_win_rate,historical_wilson_lower,target_meta_share_at_detection,counter_meta_share_at_detection,full_dataset_games,oos_status,oos_detail,oos_primary_horizon_games,oos_primary_horizon_wins,oos_primary_horizon_win_rate,oos_primary_horizon_wilson_lo,confirmation_date,failure_date,target_current_meta_share,target_current_relevance_tier,counter_current_meta_share,status,expired_reason
Fezandipiti ex -> Cynthia's Garchomp ex,Fezandipiti ex,Cynthia's Garchomp ex,,,,,,,,57,,,,,,,,,0.0275,LOW,0.1487,UNKNOWN,
Marnie's Grimmsnarl ex -> Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,,,,,,,,98,,,,,,,,,0.0275,LOW,0.4347,UNKNOWN,
Mega Kangaskhan ex -> Cynthia's Garchomp ex,Mega Kangaskhan ex,Cynthia's Garchomp ex,,,,,,,,40,,,,,,,,,0.0275,LOW,0.0951,UNKNOWN,
Team Rocket's Mewtwo ex -> Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,Cynthia's Garchomp ex,,,,,,,,23,,,,,,,,,0.0275,LOW,0.0294,UNKNOWN,
Fezandipiti ex -> Dragapult ex,Fezandipiti ex,Dragapult ex,,,,,,,,76,,,,,,,,,0.0513,MEDIUM,0.1487,UNKNOWN,
Marnie's Grimmsnarl ex -> Dragapult ex,Marnie's Grimmsnarl ex,Dragapult ex,,,,,,,,76,,,,,,,,,0.0513,MEDIUM,0.4347,UNKNOWN,
Mega Kangaskhan ex -> Dragapult ex,Mega Kangaskhan ex,Dragapult ex,,,,,,,,37,,,,,,,,,0.0513,MEDIUM,0.0951,UNKNOWN,
Cynthia's Garchomp ex -> Fezandipiti ex,Cynthia's Garchomp ex,Fezandipiti ex,,,,,,,,57,,,,,,,,,0.1487,MEDIUM,0.0275,UNKNOWN,
Dragapult ex -> Fezandipiti ex,Dragapult ex,Fezandipiti ex,2026-08-04,2026-08-05,61.0,0.6557,0.5305,0.141,0.033,76,OOS_PENDING,insufficient_future_games_for_primary_horizon,15.0,9.0,0.6,0.3575,,,0.1487,MEDIUM,0.0513,OOS_PENDING,
Marnie's Grimmsnarl ex -> Fezandipiti ex,Marnie's Grimmsnarl ex,Fezandipiti ex,,,,,,,,417,,,,,,,,,0.1487,MEDIUM,0.4347,UNKNOWN,
Mega Kangaskhan ex -> Fezandipiti ex,Mega Kangaskhan ex,Fezandipiti ex,,,,,,,,160,,,,,,,,,0.1487,MEDIUM,0.0951,UNKNOWN,
Mega Lopunny ex -> Fezandipiti ex,Mega Lopunny ex,Fezandipiti ex,,,,,,,,46,,,,,,,,,0.1487,MEDIUM,0.0943,UNKNOWN,
Mega Lucario ex -> Fezandipiti ex,Mega Lucario ex,Fezandipiti ex,,,,,,,,22,,,,,,,,,0.1487,MEDIUM,0.0223,UNKNOWN,
Teal Mask Ogerpon ex -> Fezandipiti ex,Teal Mask Ogerpon ex,Fezandipiti ex,,,,,,,,38,,,,,,,,,0.1487,MEDIUM,0.0717,UNKNOWN,
Team Rocket's Mewtwo ex -> Fezandipiti ex,Team Rocket's Mewtwo ex,Fezandipiti ex,2026-07-21,2026-07-22,59.0,0.7288,0.604,0.3175,0.0727,85,OOS_CONFIRMED,CONFIRMED_PRIMARY_BAR,25.0,21.0,0.84,0.6535,2026-08-09,,0.1487,MEDIUM,0.0294,OOS_CONFIRMED,
Cynthia's Garchomp ex -> Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,,,,,,,,98,,,,,,,,,0.4347,HIGH,0.0275,UNKNOWN,
Dragapult ex -> Marnie's Grimmsnarl ex,Dragapult ex,Marnie's Grimmsnarl ex,,,,,,,,76,,,,,,,,,0.4347,HIGH,0.0513,UNKNOWN,
Fezandipiti ex -> Marnie's Grimmsnarl ex,Fezandipiti ex,Marnie's Grimmsnarl ex,,,,,,,,417,,,,,,,,,0.4347,HIGH,0.1487,UNKNOWN,
Mega Kangaskhan ex -> Marnie's Grimmsnarl ex,Mega Kangaskhan ex,Marnie's Grimmsnarl ex,2026-07-17,2026-07-18,51.0,0.7255,0.5905,0.1745,0.1563,210,OOS_FAILED,DID_NOT_CLEAR_PRIMARY_BAR,25.0,13.0,0.52,0.335,,2026-07-24,0.4347,HIGH,0.0951,OOS_FAILED,
Mega Lopunny ex -> Marnie's Grimmsnarl ex,Mega Lopunny ex,Marnie's Grimmsnarl ex,,,,,,,,98,,,,,,,,,0.4347,HIGH,0.0943,UNKNOWN,
Mega Lucario ex -> Marnie's Grimmsnarl ex,Mega Lucario ex,Marnie's Grimmsnarl ex,,,,,,,,30,,,,,,,,,0.4347,HIGH,0.0223,UNKNOWN,
Teal Mask Ogerpon ex -> Marnie's Grimmsnarl ex,Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2026-08-08,2026-08-09,60.0,0.8167,0.7008,0.4726,0.0558,77,OOS_PENDING,insufficient_future_games_for_primary_horizon,17.0,14.0,0.8235,0.5897,,,0.4347,HIGH,0.0717,OOS_PENDING,
Team Rocket's Mewtwo ex -> Marnie's Grimmsnarl ex,Team Rocket's Mewtwo ex,Marnie's Grimmsnarl ex,,,,,,,,134,,,,,,,,,0.4347,HIGH,0.0294,UNKNOWN,
Cynthia's Garchomp ex -> Mega Kangaskhan ex,Cynthia's Garchomp ex,Mega Kangaskhan ex,,,,,,,,40,,,,,,,,,0.0951,MEDIUM,0.0275,UNKNOWN,
Dragapult ex -> Mega Kangaskhan ex,Dragapult ex,Mega Kangaskhan ex,,,,,,,,37,,,,,,,,,0.0951,MEDIUM,0.0513,UNKNOWN,
Fezandipiti ex -> Mega Kangaskhan ex,Fezandipiti ex,Mega Kangaskhan ex,,,,,,,,160,,,,,,,,,0.0951,MEDIUM,0.1487,UNKNOWN,
