decision_day,base_selected_archetype,counter_aware_selected_archetype,counter_active,target_meta_share,is_opportunity,selection_changed
2026-06-20,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-21,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-22,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-23,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-24,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-25,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-26,Mega Lucario ex,Mega Lucario ex,False,,False,False
2026-06-27,UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_05,False,,False,False
2026-06-28,UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_05,False,,False,False
2026-06-30,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_02,False,,False,False
2026-07-01,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_02,False,,False,False
2026-07-02,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_02,False,,False,False
2026-07-04,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_02,False,,False,False
2026-07-05,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-07-06,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-07-07,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_01,False,,False,False
2026-07-08,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_01,False,,False,False
2026-07-09,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_01,False,,False,False
2026-07-10,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_01,False,,False,False
2026-07-11,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-12,Fezandipiti ex,Fezandipiti ex,False,,False,False
2026-07-13,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-14,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-15,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-16,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-17,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-18,Mega Kangaskhan ex,Mega Kangaskhan ex,False,,False,False
2026-07-19,Fezandipiti ex,Fezandipiti ex,False,,False,False
2026-07-20,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,False,,False,False
2026-07-21,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,False,,False,False
2026-07-22,Dragapult ex,Dragapult ex,False,,False,False
2026-07-23,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,False,,False,False
2026-07-24,Dragapult ex,Dragapult ex,False,,False,False
2026-07-25,Dragapult ex,Dragapult ex,False,,False,False
2026-07-26,Dragapult ex,Dragapult ex,False,,False,False
2026-07-27,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-07-28,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-07-29,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-07-30,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-07-31,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-01,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-02,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-03,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-04,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-05,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-06,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,,False,False
2026-08-07,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,False,,False,False
2026-08-08,Mega Lopunny ex,Mega Lopunny ex,False,,False,False
2026-08-09,Mega Lopunny ex,Mega Lopunny ex,False,,False,False
2026-08-10,Mega Lopunny ex,Mega Lopunny ex,False,0.1425,True,False
