window_id,scheme,train_weeks,test_weeks,train_games,test_total_games,n_candidates,strategy,selected_archetype,selection_time_expected_win_rate,selection_note,test_games,test_wins,test_win_rate,is_oracle
ROLL_W2,rolling_weekly,1,2,336,336,1,A_most_popular,Mega Lucario ex,0.2946,argmax_usage_share,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,B_highest_historical_wr,Mega Lucario ex,0.4545,argmax_full_history_win_rate,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,C_recent_wr,Mega Lucario ex,0.4545,argmax_recent_window_win_rate,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,D_meta_aware_full_history,Mega Lucario ex,0.4788,argmax_EWR_full_history_prior_policy2_fallback,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,D_policy1_neutral_variant,Mega Lucario ex,0.5,argmax_EWR_full_history_prior_policy1_neutral,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,E_recent_meta_aware,Mega Lucario ex,0.4788,argmax_EWR_recent_prior,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,F_anti_meta,Mega Lucario ex,0.5,argmax_EWR_vs_dominant_set(['Mega Lucario ex']),68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,G_conservative_meta_aware,Mega Lucario ex,0.2519,argmax_conservative_EWR_wilson_lo_full_history_prior,68,34,0.5,False
ROLL_W2,rolling_weekly,1,2,336,336,1,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,Fezandipiti ex,,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,23,14,0.6087,True
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,A_most_popular,Mega Lucario ex,0.2485,argmax_usage_share,8,4,0.5,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,B_highest_historical_wr,UNLABELED_CLUSTER_02,0.58,argmax_full_history_win_rate,37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,C_recent_wr,UNLABELED_CLUSTER_02,0.58,argmax_recent_window_win_rate,37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,D_meta_aware_full_history,UNLABELED_CLUSTER_02,0.5574,argmax_EWR_full_history_prior_policy2_fallback,37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,D_policy1_neutral_variant,UNLABELED_CLUSTER_02,0.5,argmax_EWR_full_history_prior_policy1_neutral,37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,E_recent_meta_aware,UNLABELED_CLUSTER_02,0.5518,argmax_EWR_recent_prior,37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,F_anti_meta,UNLABELED_CLUSTER_02,0.5728,argmax_EWR_vs_dominant_set(['Mega Lucario ex']),37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,G_conservative_meta_aware,UNLABELED_CLUSTER_02,0.3395,argmax_conservative_EWR_wilson_lo_full_history_prior,37,14,0.3784,False
ROLL_W3,rolling_weekly,"1,2",3,672,326,5,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,Marnie's Grimmsnarl ex,,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,85,52,0.6118,True
ROLL_W4,rolling_weekly,"1,2,3",4,998,1006,7,A_most_popular,Mega Lucario ex,0.1754,argmax_usage_share,26,14,0.5385,False
ROLL_W4,rolling_weekly,"1,2,3",4,998,1006,7,B_highest_historical_wr,Marnie's Grimmsnarl ex,0.6118,argmax_full_history_win_rate,161,74,0.4596,False
ROLL_W4,rolling_weekly,"1,2,3",4,998,1006,7,C_recent_wr,Marnie's Grimmsnarl ex,0.6118,argmax_recent_window_win_rate,161,74,0.4596,False
ROLL_W4,rolling_weekly,"1,2,3",4,998,1006,7,D_meta_aware_full_history,Marnie's Grimmsnarl ex,0.5843,argmax_EWR_full_history_prior_policy2_fallback,161,74,0.4596,False
