deck_hash,label,cluster_id,games,share_pct,wins,losses,win_rate,wilson_lo,wilson_hi,first_player_win_rate,second_player_win_rate,avg_player_rating_inferred,avg_opponent_rating_inferred,avg_game_length,confidence
dc2ce39b94cbbb38,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,1436,20.567,697,739,0.4854,0.4596,0.5112,0.5409,0.4294,1080.0,1092.9,181.2,USABLE
fcac695071c3f3cf,Fezandipiti ex,Fezandipiti ex,763,10.928,353,410,0.4626,0.4275,0.4981,0.5303,0.3958,1103.9,1097.4,154.8,USABLE
b43a53d96da0f0b5,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,393,5.629,202,191,0.514,0.4647,0.563,0.5213,0.5055,1097.2,1100.5,175.4,USABLE
e34dae96b1984485,Cynthia's Garchomp ex,Cynthia's Garchomp ex,261,3.738,139,122,0.5326,0.472,0.5922,0.5899,0.4672,1106.6,1096.8,156.9,USABLE
b20e3e96100a11d5,Fezandipiti ex,Fezandipiti ex,237,3.394,117,120,0.4937,0.4306,0.5569,0.56,0.4196,1136.1,1109.1,155.4,USABLE
37f2032236fb6baf,Mega Kangaskhan ex,Mega Kangaskhan ex,152,2.177,70,82,0.4605,0.3832,0.5398,0.493,0.4321,1144.0,1110.9,141.6,USABLE
fb6542fd45093b86,Mega Lopunny ex,Mega Lopunny ex,119,1.704,75,44,0.6303,0.5407,0.7116,0.6889,0.5946,1092.7,1081.1,161.9,USABLE
14db4b34cc8fbbb7,Mega Kangaskhan ex,Mega Kangaskhan ex,116,1.661,53,63,0.4569,0.3691,0.5475,0.4032,0.5185,1124.9,1099.7,156.6,USABLE
831fd3a04060c7c2,UNLABELED,UNLABELED_CLUSTER_01,115,1.647,57,58,0.4957,0.4059,0.5857,0.569,0.4211,1069.4,1085.2,161.9,USABLE
58c4d89cf8edc355,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,77,1.103,36,41,0.4675,0.3603,0.5779,0.5526,0.3846,1142.3,1113.6,164.1,USABLE
61f90c30a060ef40,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,75,1.074,30,45,0.4,0.2966,0.5131,0.4545,0.3571,1094.4,1094.8,150.8,USABLE
19a01ac1cebb1e8b,Mega Lopunny ex,Mega Lopunny ex,68,0.974,38,30,0.5588,0.4408,0.6705,0.5,0.6111,1112.6,1080.7,166.4,USABLE
910dcaefeb77a2f0,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,67,0.96,44,23,0.6567,0.5373,0.7591,0.6923,0.6071,1124.1,1098.2,162.0,USABLE
2b38095c5eca59f6,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,65,0.931,33,32,0.5077,0.3892,0.6254,0.4688,0.5455,1075.1,1086.4,129.1,USABLE
058f82abd5449e39,Dragapult ex,Dragapult ex,64,0.917,37,27,0.5781,0.4561,0.6913,0.5714,0.5833,1056.6,1077.9,196.7,USABLE
5ef1f4c673271c4f,Mega Kangaskhan ex,Mega Kangaskhan ex,63,0.902,35,28,0.5556,0.4332,0.6715,0.6364,0.4667,1074.3,1099.6,142.5,USABLE
6c534f1524e51c74,Mega Lucario ex,Mega Lucario ex,60,0.859,25,35,0.4167,0.3006,0.5427,0.5161,0.3103,893.6,891.6,125.7,USABLE
f1b53d2f908f682e,Mega Kangaskhan ex,Mega Kangaskhan ex,60,0.859,29,31,0.4833,0.3617,0.6069,0.4138,0.5484,1109.4,1082.4,165.2,USABLE
cf54338b6b99acc3,UNLABELED,UNLABELED_CLUSTER_05,58,0.831,28,30,0.4828,0.3593,0.6084,0.5,0.4643,1055.7,1054.9,162.7,USABLE
b78aa05e94236e10,Mega Kangaskhan ex,Mega Kangaskhan ex,57,0.816,32,25,0.5614,0.4328,0.6823,0.5556,0.5714,1152.8,1120.9,139.6,USABLE
13ea47d998aa99fa,Mega Lopunny ex,Mega Lopunny ex,53,0.759,22,31,0.4151,0.2926,0.5491,0.4583,0.3793,1073.7,1076.8,165.7,USABLE
3fc2cb03df5b2747,Fezandipiti ex,Fezandipiti ex,53,0.759,24,29,0.4528,0.3266,0.5855,0.5185,0.3846,1132.5,1122.6,160.8,USABLE
4a256a933ac66a7b,Mega Lucario ex,Mega Lucario ex,53,0.759,31,22,0.5849,0.4509,0.7074,0.5625,0.619,1013.5,1017.6,125.5,USABLE
c9d8794e26a87fa3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,50,0.716,23,27,0.46,0.3297,0.596,0.4286,0.5333,1120.3,1114.4,176.3,USABLE
eb1222900df9baf0,Mega Lucario ex,Mega Lucario ex,48,0.687,36,12,0.75,0.6122,0.8508,0.8182,0.6923,1157.9,1113.3,132.4,LOW_CONFIDENCE
59138a345c6b933a,Dragapult ex,Dragapult ex,47,0.673,24,23,0.5106,0.3724,0.6472,0.375,0.5385,1019.5,1023.8,156.7,LOW_CONFIDENCE
2b3108749e2032d7,UNLABELED,UNLABELED_CLUSTER_02,46,0.659,27,19,0.587,0.4434,0.7171,0.6364,0.5714,1065.1,1064.5,122.5,LOW_CONFIDENCE
2603936f8d49f47b,Dragapult ex,Dragapult ex,44,0.63,26,18,0.5909,0.4441,0.7231,0.65,0.5417,1116.1,1109.0,164.0,LOW_CONFIDENCE
69252ea384766495,Mega Kangaskhan ex,Mega Kangaskhan ex,44,0.63,23,21,0.5227,0.3794,0.6625,0.5789,0.48,1101.4,1087.6,138.5,LOW_CONFIDENCE
1e1aceae4b6358f6,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,41,0.587,23,18,0.561,0.4104,0.7011,0.6667,0.45,1142.7,1124.1,165.1,LOW_CONFIDENCE
478924c6d1995606,UNLABELED,UNLABELED_CLUSTER_03,41,0.587,17,24,0.4146,0.2776,0.5663,0.45,0.381,1085.7,1100.8,106.1,LOW_CONFIDENCE
c4ebaf6e42fc8a2a,Fezandipiti ex,Fezandipiti ex,40,0.573,18,22,0.45,0.3071,0.6017,0.4783,0.4118,1097.0,1079.1,142.0,LOW_CONFIDENCE
0eb1f4f9633c4cd0,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,39,0.559,19,20,0.4872,0.3386,0.638,0.4706,0.5,1109.9,1093.4,166.6,LOW_CONFIDENCE
d83b61b3461e6f3d,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,35,0.501,23,12,0.6571,0.4915,0.7917,0.7619,0.5,1065.0,1081.9,137.7,LOW_CONFIDENCE
219bb78661ad6ccd,Dragapult ex,Dragapult ex,35,0.501,24,11,0.6857,0.5202,0.8145,0.8,0.6,1138.0,1103.0,162.4,LOW_CONFIDENCE
fb6d7f5767de6f81,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,32,0.458,16,16,0.5,0.3363,0.6637,0.7273,0.381,1121.7,1097.1,158.0,LOW_CONFIDENCE
3fe56fcd5e43bce7,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,32,0.458,13,19,0.4062,0.2552,0.5774,0.4667,0.3529,1126.3,1103.6,156.8,LOW_CONFIDENCE
3371c6e0d2105401,UNLABELED,UNLABELED_CLUSTER_04,32,0.458,15,17,0.4688,0.3087,0.6355,0.375,0.5625,1063.4,1109.5,184.0,LOW_CONFIDENCE
aa2398e69a3549ad,UNLABELED,UNLABELED_CLUSTER_03,31,0.444,16,15,0.5161,0.3484,0.6803,0.5333,0.5,1048.5,1049.3,96.1,LOW_CONFIDENCE
0d18cb26af1f820a,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,30,0.43,15,15,0.5,0.3315,0.6685,0.5556,0.4167,1113.6,1081.7,166.5,LOW_CONFIDENCE
c1bdf4d2201556a3,Mega Lopunny ex,Mega Lopunny ex,26,0.372,14,12,0.5385,0.3546,0.7124,0.5385,0.5385,1087.8,1077.3,165.2,LOW_CONFIDENCE
7d6f431b88be3307,Mega Kangaskhan ex,Mega Kangaskhan ex,26,0.372,14,12,0.5385,0.3546,0.7124,0.5625,0.5,1073.2,1105.4,155.7,LOW_CONFIDENCE
bf4fd9046cb2d210,Fezandipiti ex,Fezandipiti ex,21,0.301,12,9,0.5714,0.3655,0.7553,0.625,0.4,1128.8,1114.7,156.3,LOW_CONFIDENCE
f68ccef625779ef7,Fezandipiti ex,Fezandipiti ex,21,0.301,15,6,0.7143,0.5004,0.8619,0.75,0.6923,1035.0,1075.7,177.4,LOW_CONFIDENCE
59aefb1a7dfb20a9,UNLABELED,UNLABELED_CLUSTER_06,20,0.286,10,10,0.5,0.2993,0.7007,0.3333,0.5714,932.9,927.3,79.2,LOW_CONFIDENCE
4d503cd6c360c028,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,20,0.286,11,9,0.55,0.3421,0.7418,0.75,0.4167,1123.3,1115.0,155.4,LOW_CONFIDENCE
abf375974152bc4e,UNLABELED,UNLABELED_CLUSTER_09,20,0.286,13,7,0.65,0.4329,0.8188,0.6923,0.5714,1111.8,1107.1,123.3,LOW_CONFIDENCE
6948b9208b17fad2,UNLABELED,UNLABELED_CLUSTER_10,19,0.272,11,8,0.5789,0.3628,0.7686,0.6,0.5714,1075.0,1049.8,116.7,INSUFFICIENT
dafa1e6efd85150e,UNLABELED,UNLABELED_CLUSTER_04,19,0.272,11,8,0.5789,0.3628,0.7686,0.6667,0.5625,1067.8,1084.4,170.8,INSUFFICIENT
2655572b2591c7f6,Mega Kangaskhan ex,Mega Kangaskhan ex,19,0.272,9,10,0.4737,0.2733,0.6829,0.375,0.5455,1104.2,1098.8,120.3,INSUFFICIENT
afaa4ac744b28ee5,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,18,0.258,10,8,0.5556,0.3372,0.7544,0.875,0.3,1116.3,1091.4,158.8,INSUFFICIENT
147595d71b360f2c,Mega Kangaskhan ex,Mega Kangaskhan ex,17,0.243,7,10,0.4118,0.2161,0.6399,0.4545,0.3333,1081.4,1074.8,118.9,INSUFFICIENT
f90d43e354d19683,Fezandipiti ex,Fezandipiti ex,17,0.243,9,8,0.5294,0.3096,0.7384,0.5,0.5714,1122.4,1125.2,133.6,INSUFFICIENT
bd0509fb088518b1,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,17,0.243,7,10,0.4118,0.2161,0.6399,0.4444,0.375,1127.6,1139.3,164.9,INSUFFICIENT
890af7220ecf499d,UNLABELED,UNLABELED_CLUSTER_02,16,0.229,6,10,0.375,0.1848,0.6136,0.5,0.3571,1098.1,1129.3,126.1,INSUFFICIENT
ffb78ce042dc36d9,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,16,0.229,13,3,0.8125,0.5699,0.9341,0.6667,1.0,1101.6,1092.8,157.4,INSUFFICIENT
d9614beda9774552,UNLABELED,UNLABELED_CLUSTER_11,16,0.229,8,8,0.5,0.28,0.72,0.5,0.5,1090.2,1082.7,127.5,INSUFFICIENT
64e146b2133f7b99,Mega Lucario ex,Mega Lucario ex,16,0.229,6,10,0.375,0.1848,0.6136,0.25,0.5,973.3,943.1,132.9,INSUFFICIENT
bd3a5d98cf29cbc3,Iono's (Bellibolt/Voltorb),Iono's (Bellibolt/Voltorb),15,0.215,5,10,0.3333,0.1518,0.5829,0.3333,0.3333,1003.8,994.3,197.4,INSUFFICIENT
37fabc1f62f64d07,UNLABELED,UNLABELED_CLUSTER_13,15,0.215,9,6,0.6,0.3575,0.8018,0.5385,1.0,1103.5,1110.1,136.4,INSUFFICIENT
89c3e2c479a23d14,Dragapult ex,Dragapult ex,15,0.215,7,8,0.4667,0.2481,0.6988,0.5,0.4286,1049.7,1096.9,192.7,INSUFFICIENT
