exact_deck_hash,exact_deck_list,archetype_id,archetype_name
0065b4cfff358aba,5:3;13:1;19:4;65:4;66:3;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:3;1129:1;1152:4;1182:2;1184:1;1197:2;1225:4;1231:4,UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra
0069e1f158b8f95c,1:5;4:4;5:2;8:1;16:1;24:1;44:1;126:2;160:2;175:2;184:2;210:1;233:1;272:1;414:1;586:1;756:2;1097:1;1119:1;1122:4;1126:1;1134:1;1147:4;1152:2;1182:4;1188:2;1198:3;1210:1;1219:4;1246:2,Mega Kangaskhan ex,Mega Kangaskhan ex
0078ce0f297a4597,7:10;104:2;112:4;646:4;647:2;648:3;860:2;1079:3;1080:1;1086:4;1097:3;1152:4;1182:2;1197:1;1219:4;1227:4;1231:3;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
00926e891310648e,7:9;104:2;112:4;235:1;646:4;647:2;648:3;649:1;689:1;860:2;1079:4;1080:1;1086:3;1097:2;1122:2;1152:4;1174:1;1182:2;1219:4;1227:4;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
00932bb6c7f7e12a,7:10;141:1;257:1;258:1;292:4;293:4;303:2;848:1;849:1;906:1;1086:4;1097:2;1113:4;1121:3;1152:4;1159:1;1182:2;1205:3;1213:3;1227:4;1253:2;1256:2,Mega Lopunny ex,Mega Lopunny ex
00ac5196e6530f86,7:10;66:2;112:4;305:2;306:1;646:4;647:3;648:3;1079:4;1080:1;1086:4;1097:2;1152:4;1182:3;1197:2;1227:4;1231:3;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
0155f6b15993e7a7,11:4;12:1;19:3;65:4;66:3;304:2;878:4;879:2;1086:4;1097:2;1115:3;1122:4;1129:1;1152:4;1171:4;1194:2;1210:2;1219:3;1227:4;1255:4,UNLABELED_CLUSTER_05,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax
0173ceef418f1aed,2:4;5:4;7:2;66:2;112:2;119:4;120:4;121:3;140:1;235:1;305:2;306:1;1071:1;1086:4;1121:4;1137:1;1152:4;1159:1;1182:3;1197:1;1198:2;1213:2;1227:4;1240:1;1260:2,Dragapult ex,Dragapult ex
01e3b9c098771ebd,2:4;5:4;119:4;120:4;121:3;140:1;184:1;235:2;1071:1;1079:3;1080:1;1086:4;1097:2;1120:3;1121:4;1152:4;1182:3;1198:4;1210:2;1227:4;1256:2,Dragapult ex,Dragapult ex
01f31cfad9010e89,5:3;13:1;19:4;66:3;305:4;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:1;1129:1;1152:4;1182:3;1184:1;1197:3;1225:4;1231:4,UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra
020506086cb2e7b0,3:2;5:3;7:4;11:2;112:3;175:3;233:1;414:2;756:4;1097:1;1122:4;1123:2;1147:4;1152:3;1159:1;1182:2;1190:1;1198:3;1210:4;1213:2;1219:2;1227:3;1251:4,Mega Kangaskhan ex,Mega Kangaskhan ex
029019fef4a5042d,1:4;3:4;15:2;18:4;344:4;345:4;414:2;756:2;1097:2;1122:3;1123:1;1134:2;1147:4;1152:4;1159:1;1182:2;1198:4;1209:2;1210:1;1219:4;1225:1;1227:3,Mega Kangaskhan ex,Mega Kangaskhan ex
0416c1e6c4217101,2:3;5:4;7:2;112:2;119:4;120:4;121:3;140:1;235:2;1071:1;1080:1;1086:4;1097:2;1120:4;1121:4;1152:4;1161:1;1182:3;1198:3;1213:1;1227:4;1231:1;1256:2,Dragapult ex,Dragapult ex
04ecfe41e2898127,5:3;12:1;19:4;66:3;305:4;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:3;1129:1;1146:1;1152:4;1182:2;1203:1;1225:4;1231:4;1266:1,UNLABELED_CLUSTER_01,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra
05413f44dfa35d63,7:10;104:2;112:4;646:4;647:2;648:3;860:2;1079:3;1080:1;1086:4;1097:3;1122:1;1152:4;1197:2;1219:4;1227:4;1231:3;1259:4,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex
057fd0ffbc716756,1:1;11:4;14:2;18:4;20:4;117:2;344:4;345:3;756:3;1086:3;1120:4;1122:3;1147:4;1159:1;1175:1;1182:1;1187:3;1197:3;1225:3;1227:4;1264:3,Mega Kangaskhan ex,Mega Kangaskhan ex
058f82abd5449e39,2:4;5:4;7:2;112:2;119:4;120:4;121:3;140:1;235:2;1071:1;1080:1;1086:4;1097:2;1120:4;1121:4;1152:4;1182:3;1198:3;1213:1;1227:4;1231:1;1246:2,Dragapult ex,Dragapult ex
05aba4123d4ac622,5:3;19:4;66:3;140:1;305:3;741:4;742:4;743:4;1079:4;1081:4;1086:4;1097:1;1129:1;1152:4;1156:1;1182:3;1184:1;1197:3;1225:3;1231:4;1247:1,Fezandipiti ex,Fezandipiti ex
05d630ea10f7d16b,1:1;11:4;14:4;17:1;18:4;344:4;345:4;756:4;1086:4;1087:1;1095:1;1122:4;1123:4;1147:4;1182:2;1197:4;1225:4;1227:4;1264:2,Mega Kangaskhan ex,Mega Kangaskhan ex
05e63c3f2a7ecec1,15:4;17:4;414:1;463:4;473:2;474:2;891:4;1077:3;1097:2;1109:1;1122:2;1134:4;1137:1;1152:4;1216:4;1217:3;1218:4;1219:4;1220:4;1257:3,UNLABELED_CLUSTER_36,Team Rocket's Articuno / Team Rocket's Honchkrow / Team Rocket's Murkrow / Team Rocket's Porygon / Team Rocket's Porygon2
05eb715b17b613fe,3:3;11:4;13:1;66:3;174:1;305:4;848:2;849:2;860:2;861:2;1086:4;1087:3;1097:1;1121:4;1122:2;1152:4;1174:2;1182:2;1225:3;1227:4;1229:4;1264:3,Mega Lopunny ex,Mega Lopunny ex
061e24144a6ce11a,1:13;92:2;93:2;96:4;140:1;150:2;655:1;709:2;710:2;917:2;920:1;1071:2;1080:1;1094:4;1097:2;1121:4;1152:1;1182:2;1184:1;1188:1;1201:1;1227:4;1231:1;1261:4,Teal Mask Ogerpon ex,Teal Mask Ogerpon ex
06382fe8bcef5212,5:1;13:1;19:4;66:3;140:1;142:1;222:1;305:3;521:1;741:4;742:4;743:3;858:1;1079:3;1081:2;1086:4;1097:1;1129:1;1152:4;1156:1;1161:2;1182:2;1184:1;1225:3;1231:4;1266:4,Fezandipiti ex,Fezandipiti ex
0741acc7a0a81516,6:9;12:1;16:4;112:1;116:3;675:2;676:3;1051:2;1052:2;1097:2;1118:2;1122:3;1137:1;1142:4;1152:4;1174:3;1182:4;1187:3;1227:4;1238:2;1264:1,UNLABELED_CLUSTER_60,Barbaracle / Binacle / Lunatone / Munkidori / Okidogi / Solrock
079a59b4e50730a5,5:3;13:1;19:4;65:3;66:3;140:1;343:1;741:4;742:4;743:4;1079:3;1081:4;1086:4;1097:1;1129:1;1146:1;1152:4;1182:3;1184:1;1225:4;1231:4;1264:2,Fezandipiti ex,Fezandipiti ex
07ab87cf5acd3608,5:2;13:1;19:4;66:3;140:1;305:3;343:1;741:4;742:4;743:4;1079:3;1081:2;1086:4;1097:1;1129:1;1146:1;1152:4;1182:3;1184:1;1197:1;1225:4;1231:4;1264:4,Fezandipiti ex,Fezandipiti ex
07d37d40a18e4197,6:10;16:4;116:3;135:1;675:2;676:4;1051:2;1052:2;1097:3;1142:4;1152:4;1174:2;1182:3;1194:2;1197:1;1213:2;1227:4;1238:3;1247:1;1264:3,UNLABELED_CLUSTER_31,Barbaracle / Binacle / Bloodmoon Ursaluna / Lunatone / Okidogi / Solrock
07ff69c74632b4c4,1:10;2:6;343:1;344:4;345:4;352:3;353:3;354:2;1086:4;1094:4;1097:3;1121:4;1152:4;1198:2;1215:2;1227:4,UNLABELED_CLUSTER_55,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion / Shaymin
