variant_id,representative_deck_hash,n_exact_variants,games,share_pct,win_rate,key_card_differences,clustering_method
Marnie's Grimmsnarl ex,dc2ce39b94cbbb38,47,2225,31.868,0.4903,Night Stretcher (44/47); Unfair Stamp (38/47); Boss’s Orders (36/47); Dawn (36/47); Team Rocket's Petrel (34/47); Froslass (32/47),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Fezandipiti ex,fcac695071c3f3cf,87,1355,19.407,0.4708,Buddy-Buddy Poffin (86/87); Poké Pad (86/87); Night Stretcher (84/87); Boss’s Orders (82/87); Rare Candy (81/87); Sacred Ash (81/87),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Mega Kangaskhan ex,37f2032236fb6baf,48,668,9.567,0.497,Boss’s Orders (42/48); Basic {G} Energy (40/48); Lillie's Determination (40/48); Pokégear 3.0 (38/48); Jumbo Ice Cream (38/48); Xerosic’s Machinations (37/48),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Team Rocket's Mewtwo ex,58c4d89cf8edc355,30,349,4.999,0.5129,Team Rocket's Giovanni (29/30); Team Rocket's Mimikyu (27/30); Team Rocket's Factory (26/30); Ultra Ball (26/30); Team Rocket's Archer (24/30); Hero’s Cape (22/30),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Dragapult ex,058f82abd5449e39,50,337,4.827,0.5519,Fezandipiti ex (49/50); Budew (49/50); Boss’s Orders (49/50); Crispin (49/50); Poké Pad (48/50); Night Stretcher (47/50),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Cynthia's Garchomp ex,e34dae96b1984485,13,296,4.239,0.527,Boss’s Orders (11/13); Cynthia's Spiritomb (10/13); Unfair Stamp (9/13); Night Stretcher (9/13); Hilda (9/13); Premium Power Pro (8/13),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Mega Lopunny ex,fb6542fd45093b86,18,289,4.139,0.5536,Buneary (17/18); Buddy-Buddy Poffin (16/18); Ultra Ball (16/18); Hilda (12/18); Wally's Compassion (12/18); Night Stretcher (12/18),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Mega Lucario ex,6c534f1524e51c74,49,262,3.753,0.5153,Lunatone (48/49); Solrock (48/49); Premium Power Pro (48/49); Switch (46/49); Poké Pad (46/49); Boss’s Orders (45/49),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
Teal Mask Ogerpon ex,2b38095c5eca59f6,30,199,2.85,0.5578,Teal Mask Ogerpon ex (29/30); Boss’s Orders (28/30); Lillie's Determination (28/30); Bug Catching Set (27/30); Judge (19/30); Ultra Ball (18/30),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_01,831fd3a04060c7c2,36,191,2.736,0.5183,Enhanced Hammer (35/36); Sacred Ash (35/36); Boss’s Orders (35/36); Night Stretcher (34/36); Dunsparce (26/36); Lana’s Aid (26/36),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_02,2b3108749e2032d7,33,124,1.776,0.4435,Hero’s Cape (32/33); Full Metal Lab (32/33); Relicanth (25/33); Cinderace (23/33); Jumbo Ice Cream (23/33); Boss’s Orders (23/33),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_03,478924c6d1995606,9,88,1.26,0.4545,Ultra Ball (7/9); Mega Signal (7/9); Salvatore (7/9); Hilda (6/9); Cinderace (6/9); Night Stretcher (6/9),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_04,3371c6e0d2105401,11,80,1.146,0.4625,Poké Pad (10/11); Battle Cage (9/11); Basic {F} Energy (8/11); Prism Energy (8/11); Boss’s Orders (8/11); Night Stretcher (7/11),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_05,cf54338b6b99acc3,13,76,1.089,0.4868,Dunsparce (12/13); Legacy Energy (11/13); Brock’s Scouting (11/13); Colress’s Tenacity (10/13); Boss’s Orders (9/13); Hilda (2/13),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_06,59aefb1a7dfb20a9,14,41,0.587,0.439,Mist Energy (13/14); Grow Grass Energy (13/14); Buddy-Buddy Poffin (13/14); Jumbo Ice Cream (13/14); Cook (13/14); Spiky Energy (11/14),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
UNLABELED_CLUSTER_07,d19dd275a0b6998b,11,39,0.559,0.5385,Pokégear 3.0 (10/11); Lillie's Determination (10/11); Mega Signal (9/11); Poké Pad (9/11); Hero’s Cape (9/11); Hilda (9/11),deterministic: exact-set match on headline (ex/Mega ex) Pokemon names
