level,player_deck_hash,opponent_deck_hash,games,wins,losses,win_rate,wilson_lo,wilson_hi,confidence
ARCHETYPE,Fezandipiti ex,Marnie's Grimmsnarl ex,417,190,227,0.4556,0.4085,0.5036,USABLE
ARCHETYPE,Mega Kangaskhan ex,Marnie's Grimmsnarl ex,210,115,95,0.5476,0.48,0.6135,USABLE
ARCHETYPE,Fezandipiti ex,Mega Kangaskhan ex,160,83,77,0.5188,0.4418,0.5948,USABLE
ARCHETYPE,Team Rocket's Mewtwo ex,Marnie's Grimmsnarl ex,134,54,80,0.403,0.3238,0.4876,USABLE
ARCHETYPE,Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,98,42,56,0.4286,0.3351,0.5274,USABLE
ARCHETYPE,Marnie's Grimmsnarl ex,Mega Lopunny ex,98,42,56,0.4286,0.3351,0.5274,USABLE
ARCHETYPE,Team Rocket's Mewtwo ex,Fezandipiti ex,85,65,20,0.7647,0.6643,0.8422,USABLE
ARCHETYPE,Marnie's Grimmsnarl ex,Teal Mask Ogerpon ex,77,14,63,0.1818,0.1115,0.2824,USABLE
ARCHETYPE,Fezandipiti ex,Dragapult ex,76,27,49,0.3553,0.257,0.4674,USABLE
ARCHETYPE,Marnie's Grimmsnarl ex,Dragapult ex,76,30,46,0.3947,0.2925,0.5071,USABLE
ARCHETYPE,Fezandipiti ex,Cynthia's Garchomp ex,57,32,25,0.5614,0.4328,0.6823,USABLE
ARCHETYPE,Fezandipiti ex,Mega Lopunny ex,46,23,23,0.5,0.3612,0.6388,LOW_CONFIDENCE
ARCHETYPE,Cynthia's Garchomp ex,Mega Kangaskhan ex,40,18,22,0.45,0.3071,0.6017,LOW_CONFIDENCE
ARCHETYPE,Fezandipiti ex,Teal Mask Ogerpon ex,38,26,12,0.6842,0.5254,0.8092,LOW_CONFIDENCE
ARCHETYPE,Mega Kangaskhan ex,Dragapult ex,37,23,14,0.6216,0.461,0.7594,LOW_CONFIDENCE
