decision_day,historical_games,historical_win_rate,historical_wilson_lo,is_credible_counter,grimmsnarl_meta_share_in_training,selected_by_meta_aware_D,future_day_games,future_day_wins,future_day_win_rate
2026-06-17,0,,0.0,False,0.0,,0,,
2026-06-18,0,,0.0,False,0.0,,0,,
2026-06-19,0,,0.0,False,0.0,,0,,
2026-06-20,0,,0.0,False,0.0,False,0,,
2026-06-21,0,,0.0,False,0.0,False,0,,
2026-06-22,0,,0.0,False,0.0,False,0,,
2026-06-23,0,,0.0,False,0.0,False,0,,
2026-06-24,0,,0.0,False,0.0,False,0,,
2026-06-25,0,,0.0,False,0.0,False,0,,
2026-06-26,0,,0.0,False,0.0,False,0,,
2026-06-27,0,,0.0,False,0.0,False,0,,
2026-06-28,0,,0.0,False,0.0,False,0,,
2026-06-29,0,,0.0,False,0.0,False,0,,
2026-06-30,0,,0.0,False,0.0,False,0,,
2026-07-01,0,,0.0,False,0.0041,False,0,,
2026-07-02,0,,0.0,False,0.0119,False,0,,
2026-07-03,0,,0.0,False,0.0353,False,0,,
2026-07-04,0,,0.0,False,0.0399,False,0,,
2026-07-05,0,,0.0,False,0.0617,False,0,,
2026-07-06,0,,0.0,False,0.0725,False,1,1.0,1.0
2026-07-07,1,1.0,0.2065,False,0.0852,False,0,,
2026-07-08,1,1.0,0.2065,False,0.0976,False,0,,
2026-07-09,1,1.0,0.2065,False,0.1125,False,0,,
2026-07-10,1,1.0,0.2065,False,0.1143,False,0,,
2026-07-11,1,1.0,0.2065,False,0.1209,False,0,,
2026-07-12,1,1.0,0.2065,False,0.1198,False,0,,
2026-07-13,1,1.0,0.2065,False,0.1199,False,1,1.0,1.0
2026-07-14,2,1.0,0.3424,False,0.1228,False,0,,
2026-07-15,2,1.0,0.3424,False,0.1237,False,0,,
2026-07-16,2,1.0,0.3424,False,0.1265,False,0,,
2026-07-17,2,1.0,0.3424,False,0.1271,False,0,,
2026-07-18,2,1.0,0.3424,False,0.1297,False,0,,
2026-07-19,2,1.0,0.3424,False,0.1362,False,0,,
2026-07-20,2,1.0,0.3424,False,0.1449,False,0,,
2026-07-21,2,1.0,0.3424,False,0.1524,False,0,,
2026-07-22,2,1.0,0.3424,False,0.1613,False,0,,
2026-07-23,2,1.0,0.3424,False,0.1732,False,0,,
2026-07-24,2,1.0,0.3424,False,0.1827,False,0,,
2026-07-25,2,1.0,0.3424,False,0.2022,False,0,,
2026-07-26,2,1.0,0.3424,False,0.2175,False,0,,
2026-07-27,2,1.0,0.3424,False,0.2308,False,0,,
2026-07-28,2,1.0,0.3424,False,0.2477,False,0,,
2026-07-29,2,1.0,0.3424,False,0.2653,False,0,,
2026-07-30,2,1.0,0.3424,False,0.2803,False,0,,
2026-07-31,2,1.0,0.3424,False,0.2959,False,2,2.0,1.0
2026-08-01,4,1.0,0.5101,False,0.3067,False,7,6.0,0.8571
2026-08-02,11,0.9091,0.6226,False,0.3137,False,11,8.0,0.7273
2026-08-03,22,0.8182,0.6148,False,0.3185,False,5,3.0,0.6
2026-08-04,27,0.7778,0.5924,False,0.3187,False,9,8.0,0.8889
2026-08-05,36,0.8056,0.6497,False,0.319,False,5,4.0,0.8
2026-08-06,41,0.8049,0.6599,False,0.3185,False,8,7.0,0.875
2026-08-07,49,0.8163,0.6864,False,0.3196,False,7,5.0,0.7143
2026-08-08,56,0.8036,0.6816,True,0.3196,True,4,4.0,1.0
2026-08-09,60,0.8167,0.7008,True,0.3205,True,9,7.0,0.7778
2026-08-10,69,0.8116,0.7039,True,0.319,True,8,7.0,0.875
