row_type,key,games,win_rate,wilson_lo,wilson_hi,avg_player_rating,avg_opponent_rating,avg_rating_diff,avg_game_length,confidence
OVERALL_BUCKET,"(340.309, 1033.724]",1397,0.5075,0.4813,0.5337,973.9,1006.2,-32.4,152.7,USABLE
OVERALL_BUCKET,"(1033.724, 1074.223]",1396,0.5057,0.4795,0.5319,1055.8,1079.6,-23.8,161.0,USABLE
OVERALL_BUCKET,"(1074.223, 1104.502]",1396,0.4692,0.4431,0.4954,1089.8,1090.5,-0.7,160.4,USABLE
OVERALL_BUCKET,"(1104.502, 1140.845]",1396,0.5129,0.4867,0.539,1121.5,1101.9,19.6,162.4,USABLE
OVERALL_BUCKET,"(1140.845, 1347.44]",1397,0.5047,0.4785,0.5308,1184.4,1147.1,37.3,156.9,USABLE
DECK_BY_BUCKET,"Marnie's Grimmsnarl ex | (926.717, 1064.019]",742,0.4933,0.4574,0.5292,1027.7,1063.9,-36.3,175.7,USABLE
DECK_BY_BUCKET,"Marnie's Grimmsnarl ex | (1064.019, 1104.961]",741,0.4629,0.4273,0.4989,1084.2,1093.9,-9.7,177.2,USABLE
DECK_BY_BUCKET,"Marnie's Grimmsnarl ex | (1104.961, 1318.392]",742,0.5148,0.4789,0.5506,1146.7,1124.9,21.8,178.7,USABLE
DECK_BY_BUCKET,"Fezandipiti ex | (432.56100000000004, 1080.285]",452,0.4823,0.4366,0.5283,1024.0,1049.8,-25.8,153.9,USABLE
DECK_BY_BUCKET,"Fezandipiti ex | (1080.285, 1127.914]",451,0.4723,0.4266,0.5184,1104.8,1092.1,12.7,154.1,USABLE
DECK_BY_BUCKET,"Fezandipiti ex | (1127.914, 1339.392]",452,0.458,0.4126,0.5041,1178.3,1143.4,34.9,156.0,USABLE
DECK_BY_BUCKET,"Mega Kangaskhan ex | (662.44, 1092.721]",223,0.5202,0.4548,0.5849,1045.6,1069.4,-23.8,145.4,USABLE
DECK_BY_BUCKET,"Mega Kangaskhan ex | (1092.721, 1138.655]",222,0.536,0.4704,0.6005,1115.2,1088.9,26.4,146.2,USABLE
DECK_BY_BUCKET,"Mega Kangaskhan ex | (1138.655, 1318.105]",223,0.435,0.3716,0.5006,1177.8,1135.8,42.1,145.8,USABLE
DECK_BY_BUCKET,"Team Rocket's Mewtwo ex | (972.626, 1098.51]",117,0.5641,0.4736,0.6505,1062.0,1081.7,-19.7,159.6,USABLE
DECK_BY_BUCKET,"Team Rocket's Mewtwo ex | (1098.51, 1139.475]",116,0.3966,0.3122,0.4875,1120.4,1092.8,27.6,160.5,USABLE
DECK_BY_BUCKET,"Team Rocket's Mewtwo ex | (1139.475, 1275.414]",116,0.5776,0.4866,0.6636,1173.4,1141.8,31.6,165.5,USABLE
DECK_BY_BUCKET,"Dragapult ex | (340.309, 1043.009]",113,0.531,0.4395,0.6204,957.4,990.1,-32.7,176.5,USABLE
DECK_BY_BUCKET,"Dragapult ex | (1043.009, 1108.963]",112,0.5625,0.4701,0.6508,1074.5,1088.2,-13.7,181.4,USABLE
DECK_BY_BUCKET,"Dragapult ex | (1108.963, 1304.955]",112,0.5625,0.4701,0.6508,1156.7,1133.8,22.8,169.2,USABLE
DECK_BY_BUCKET,"Cynthia's Garchomp ex | (966.1510000000001, 1088.404]",99,0.5253,0.4278,0.6208,1049.4,1072.5,-23.2,158.6,USABLE
DECK_BY_BUCKET,"Cynthia's Garchomp ex | (1088.404, 1122.25]",98,0.551,0.4525,0.6457,1105.8,1091.8,14.1,153.7,USABLE
DECK_BY_BUCKET,"Cynthia's Garchomp ex | (1122.25, 1320.287]",99,0.5051,0.4082,0.6015,1154.9,1120.3,34.6,160.7,USABLE
DECK_BY_BUCKET,"Mega Lopunny ex | (952.5160000000001, 1052.433]",97,0.5361,0.4374,0.6321,1016.6,1033.5,-16.9,158.7,USABLE
DECK_BY_BUCKET,"Mega Lopunny ex | (1052.433, 1113.198]",96,0.5417,0.4423,0.6378,1081.5,1067.5,14.1,164.6,USABLE
DECK_BY_BUCKET,"Mega Lopunny ex | (1113.198, 1325.534]",96,0.5833,0.4834,0.6769,1173.6,1134.3,39.3,166.7,USABLE
DECK_BY_BUCKET,"Mega Lucario ex | (565.062, 981.568]",88,0.5,0.3977,0.6023,869.3,883.1,-13.8,120.3,USABLE
DECK_BY_BUCKET,"Mega Lucario ex | (981.568, 1062.968]",87,0.4368,0.3374,0.5415,1025.0,1041.8,-16.8,135.6,USABLE
DECK_BY_BUCKET,"Mega Lucario ex | (1062.968, 1341.731]",87,0.6092,0.5041,0.705,1144.2,1107.5,36.7,135.1,USABLE
DECK_BY_BUCKET,"Teal Mask Ogerpon ex | (725.754, 1019.822]",67,0.5821,0.4627,0.6926,985.2,1018.9,-33.7,145.3,USABLE
DECK_BY_BUCKET,"Teal Mask Ogerpon ex | (1019.822, 1069.319]",66,0.5303,0.4116,0.6457,1048.4,1068.9,-20.5,140.4,USABLE
DECK_BY_BUCKET,"Teal Mask Ogerpon ex | (1069.319, 1317.854]",66,0.5606,0.4408,0.6737,1130.0,1123.3,6.6,129.7,USABLE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_01 | (720.6, 1048.847]",64,0.5469,0.4257,0.6627,1001.4,1033.9,-32.4,157.6,USABLE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_01 | (1048.847, 1093.214]",63,0.5556,0.4332,0.6715,1069.7,1082.5,-12.8,154.4,USABLE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_01 | (1093.214, 1255.882]",64,0.4531,0.3373,0.5743,1144.1,1116.6,27.5,157.8,USABLE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_02 | (925.72, 1053.682]",42,0.5238,0.3772,0.6664,1013.4,1038.5,-25.1,129.3,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_02 | (1053.682, 1095.834]",41,0.3659,0.2359,0.5188,1071.1,1076.2,-5.1,134.8,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_02 | (1095.834, 1280.544]",41,0.439,0.2989,0.5896,1151.3,1148.6,2.6,130.7,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_03 | (554.384, 1057.659]",30,0.5333,0.3614,0.6977,976.3,1000.4,-24.1,101.1,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_03 | (1057.659, 1109.243]",29,0.3448,0.1994,0.5266,1087.1,1094.2,-7.1,103.3,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_03 | (1109.243, 1347.44]",29,0.4828,0.3139,0.6557,1168.4,1158.6,9.8,105.6,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_04 | (992.658, 1046.969]",27,0.5926,0.4073,0.7549,1022.8,1082.6,-59.7,155.9,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_04 | (1046.969, 1086.058]",26,0.5,0.3206,0.6794,1062.7,1090.1,-27.3,190.1,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_04 | (1086.058, 1218.073]",27,0.2963,0.1585,0.4848,1129.5,1111.8,17.7,166.5,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_05 | (690.985, 1014.251]",26,0.6154,0.4253,0.7757,965.3,982.4,-17.2,144.3,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_05 | (1014.251, 1076.653]",25,0.28,0.1428,0.4758,1048.8,1033.0,15.8,162.2,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_05 | (1076.653, 1287.787]",25,0.56,0.3707,0.7333,1147.5,1140.7,6.9,160.0,LOW_CONFIDENCE
DECK_BY_BUCKET,"UNLABELED_CLUSTER_06 | (591.245, 830.785]",14,0.5,0.268,0.732,758.7,810.8,-52.1,80.0,INSUFFICIENT
DECK_BY_BUCKET,"UNLABELED_CLUSTER_06 | (830.785, 965.49]",13,0.3077,0.1268,0.5763,895.6,915.3,-19.7,57.9,INSUFFICIENT
DECK_BY_BUCKET,"UNLABELED_CLUSTER_06 | (965.49, 1102.67]",14,0.5,0.268,0.732,1024.4,1006.7,17.7,99.8,INSUFFICIENT
DECK_BY_BUCKET,"UNLABELED_CLUSTER_07 | (647.376, 1088.022]",13,0.4615,0.2321,0.7086,990.9,1016.1,-25.2,108.3,INSUFFICIENT
DECK_BY_BUCKET,"UNLABELED_CLUSTER_07 | (1088.022, 1140.417]",13,0.6154,0.3552,0.8229,1115.1,1069.8,45.3,100.4,INSUFFICIENT
DECK_BY_BUCKET,"UNLABELED_CLUSTER_07 | (1140.417, 1283.789]",13,0.5385,0.2914,0.7679,1202.5,1173.7,28.8,119.8,INSUFFICIENT
