scheme,strategy,n_periods,n_periods_with_test_data,total_games,total_wins,total_losses,pooled_out_of_sample_win_rate,mean_period_win_rate,median_period_win_rate,worst_period_win_rate,best_period_win_rate,n_paired_periods_vs_baseline,mean_paired_diff_vs_baseline,sign_test_p_value_vs_baseline,wilcoxon_p_value_vs_baseline,pooled_two_proportion_z,pooled_two_proportion_p_value
rolling_weekly,A_most_popular,7,7,1891,883,1008,0.4669,0.4802,0.5,0.4252,0.5385,7,0.0,,,,
rolling_weekly,B_highest_historical_wr,7,7,698,336,362,0.4814,0.4687,0.4596,0.3784,0.5577,7,-0.0116,1.0,0.8125,0.6526,0.514
rolling_weekly,C_recent_wr,7,7,595,301,294,0.5059,0.5043,0.5,0.3784,0.6341,7,0.024,1.0,0.6875,1.6584,0.0972
rolling_weekly,D_meta_aware_full_history,7,7,689,332,357,0.4819,0.4741,0.4596,0.3784,0.5918,7,-0.0062,1.0,0.8125,0.6712,0.5021
rolling_weekly,D_policy1_neutral_variant,7,7,439,215,224,0.4897,0.5318,0.5,0.3226,1.0,7,0.0515,1.0,1.0,0.8622,0.3886
rolling_weekly,E_recent_meta_aware,7,7,615,287,328,0.4667,0.4669,0.4596,0.3784,0.5417,7,-0.0133,1.0,0.625,-0.0122,0.9903
rolling_weekly,F_anti_meta,7,7,701,330,371,0.4708,0.4715,0.4815,0.3784,0.5417,7,-0.0087,1.0,0.8125,0.1726,0.863
rolling_weekly,G_conservative_meta_aware,7,7,1510,714,796,0.4728,0.4688,0.5,0.3784,0.5385,7,-0.0114,1.0,1.0,0.3425,0.732
rolling_weekly,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,7,7,365,229,136,0.6274,0.637,0.617,0.5833,0.7273,7,0.1568,0.0156,0.0156,5.6135,0.0
coarse_period,A_most_popular,2,2,698,333,365,0.4771,0.5148,0.5148,0.4739,0.5556,2,0.0,,,,
coarse_period,B_highest_historical_wr,2,2,538,264,274,0.4907,0.4908,0.4908,0.4906,0.491,2,-0.0239,1.0,1.0,0.4754,0.6345
coarse_period,C_recent_wr,2,2,538,264,274,0.4907,0.4908,0.4908,0.4906,0.491,2,-0.0239,1.0,1.0,0.4754,0.6345
coarse_period,D_meta_aware_full_history,2,2,592,290,302,0.4899,0.4896,0.4896,0.4887,0.4906,2,-0.0251,1.0,1.0,0.458,0.647
coarse_period,D_policy1_neutral_variant,2,2,255,119,136,0.4667,0.4061,0.4061,0.3235,0.4887,2,-0.1086,1.0,1.0,-0.2849,0.7757
coarse_period,E_recent_meta_aware,2,2,592,290,302,0.4899,0.4896,0.4896,0.4887,0.4906,2,-0.0251,1.0,1.0,0.458,0.647
coarse_period,F_anti_meta,2,2,592,290,302,0.4899,0.4896,0.4896,0.4887,0.4906,2,-0.0251,1.0,1.0,0.458,0.647
coarse_period,G_conservative_meta_aware,2,2,194,97,97,0.5,0.5233,0.5233,0.491,0.5556,2,0.0086,1.0,,0.5652,0.5719
coarse_period,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,2,2,87,57,30,0.6552,0.6787,0.6787,0.6167,0.7407,2,0.164,0.5,0.5,3.1329,0.0017
