strategy,training_window,n_decision_days,n_games,n_wins,pooled_oos_win_rate,bootstrap_ci_lo,bootstrap_ci_hi,median_daily_win_rate,std_daily_win_rate
A_most_popular,14d,50,2138,988,0.4621,0.444,0.4794,0.4428,0.1669
A_most_popular,30d,50,2118,982,0.4636,0.4448,0.4803,0.4436,0.1865
A_most_popular,7d,50,2374,1104,0.465,0.4467,0.4823,0.4484,0.0878
A_most_popular,full,50,2118,982,0.4636,0.4449,0.4808,0.4436,0.1865
B_highest_historical_wr,full,51,736,347,0.4715,0.4345,0.508,0.4783,0.1796
C_recent_wr,14d,49,622,319,0.5129,0.4727,0.5526,0.5,0.1721
C_recent_wr,30d,51,670,334,0.4985,0.4598,0.5395,0.5,0.1658
C_recent_wr,7d,51,863,431,0.4994,0.4651,0.5352,0.5,0.1498
D_meta_aware_ewr,14d,49,653,320,0.49,0.4516,0.5287,0.5,0.1713
D_meta_aware_ewr,30d,51,704,345,0.4901,0.4536,0.5275,0.5,0.1638
D_meta_aware_ewr,7d,51,954,450,0.4717,0.4411,0.5028,0.4848,0.1411
D_meta_aware_ewr,full,51,741,355,0.4791,0.4407,0.5165,0.4783,0.1899
D_policy1_neutral_variant,14d,49,586,291,0.4966,0.4499,0.5399,0.5,0.2433
D_policy1_neutral_variant,30d,48,539,255,0.4731,0.4299,0.5195,0.4494,0.2578
D_policy1_neutral_variant,7d,48,1811,888,0.4903,0.4687,0.512,0.479,0.1235
D_policy1_neutral_variant,full,48,530,252,0.4755,0.4276,0.5219,0.4494,0.2459
E_conservative_meta_aware,14d,50,1703,816,0.4792,0.4587,0.5003,0.4732,0.1255
E_conservative_meta_aware,30d,49,2142,1024,0.4781,0.4572,0.4954,0.4737,0.107
E_conservative_meta_aware,7d,51,1903,933,0.4903,0.4687,0.51,0.4848,0.1052
E_conservative_meta_aware,full,49,2146,1022,0.4762,0.4569,0.4954,0.4643,0.1111
ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,n/a_oracle,50,1086,661,0.6087,0.5817,0.641,0.605,0.1125
