episode_id,turn,game_result,n_bench_targets,bench_targets,counters_observed,best_prize_achievable,best_kos_slots,actual_kos_slots,actual_prize,prize_shortfall,n_max_equivalent_allocations
92216869,7,WIN,2,"Duskull(hp=60/60,prize=1,immune=False); Dreepy(hp=70/70,prize=1,immune=False)",6,1,[0],[0],1,0,1
92216869,9,WIN,1,"Dreepy(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92216869,11,WIN,0,,0,0,[],[],0,0,0
92217792,7,LOSS,2,"Crustle(hp=150/150,prize=1,immune=True); Dwebble(hp=70/70,prize=1,immune=True)",6,0,[],[],0,0,0
92217792,9,LOSS,2,"Crustle(hp=150/150,prize=1,immune=True); Dwebble(hp=70/70,prize=1,immune=True)",6,0,[],[],0,0,0
92217792,11,LOSS,2,"Crustle(hp=150/150,prize=1,immune=True); Dwebble(hp=70/70,prize=1,immune=True)",6,0,[],[],0,0,0
92217792,13,LOSS,2,"Crustle(hp=150/150,prize=1,immune=True); Crustle(hp=150/170,prize=1,immune=True)",6,0,[],[],0,0,0
92217792,15,LOSS,1,"Crustle(hp=150/150,prize=1,immune=True)",6,0,[],[],0,0,0
92218741,5,WIN,3,"Teal Mask Ogerpon ex(hp=210/210,prize=2,immune=False); Smoliv(hp=60/60,prize=1,immune=False); Meowth ex(hp=170/170,prize=2,immune=False)",6,1,[1],[1],1,0,1
92218741,7,WIN,2,"Meowth ex(hp=170/170,prize=2,immune=False); Chikorita(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92218741,9,WIN,4,"Meowth ex(hp=170/170,prize=2,immune=False); Meganium(hp=100/160,prize=1,immune=False); Smoliv(hp=60/60,prize=1,immune=False); Budew(hp=30/30,prize=1,immune=False)",6,1,[3],[2],1,0,2
92219700,9,WIN,3,"Marnie's Morpeko(hp=70/70,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Marnie's Morpeko(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92219700,11,WIN,3,"Marnie's Morpeko(hp=10/70,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False)",6,1,[0],[0],1,0,1
92219700,13,WIN,2,"Marnie's Impidimp(hp=20/70,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False)",6,1,[0],[],0,1,1
92219700,15,WIN,4,"Marnie's Morgrem(hp=40/100,prize=1,immune=False); Munkidori(hp=100/110,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Munkidori(hp=100/110,prize=1,immune=False)",6,1,[0],[0],1,0,1
92220638,5,WIN,2,"Kyogre(hp=140/150,prize=1,immune=False); Kyogre(hp=150/150,prize=1,immune=False)",6,0,[],[],0,0,0
92220638,7,WIN,3,"Kyogre(hp=80/150,prize=1,immune=False); Kyogre(hp=150/150,prize=1,immune=False); Snover(hp=90/90,prize=1,immune=False)",6,0,[],[],0,0,0
92220638,9,WIN,2,"Kyogre(hp=20/150,prize=1,immune=False); Kyogre(hp=150/150,prize=1,immune=False)",6,1,[0],[],0,1,1
92220638,11,WIN,3,"Kyogre(hp=10/150,prize=1,immune=False); Kyogre(hp=100/150,prize=1,immune=False); Snover(hp=90/90,prize=1,immune=False)",6,1,[0],[],0,1,1
92221582,9,LOSS,4,"Lunatone(hp=110/110,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Riolu(hp=80/80,prize=1,immune=False)",6,0,[],[],0,0,0
92221582,11,LOSS,5,"Lunatone(hp=110/110,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Mega Lucario ex(hp=120/340,prize=3,immune=False); Solrock(hp=110/110,prize=1,immune=False)",6,0,[],[],0,0,0
92222547,5,WIN,0,,0,0,[],[],0,0,0
92222547,7,WIN,0,,0,0,[],[],0,0,0
92223466,9,LOSS,4,"Makuhita(hp=80/80,prize=1,immune=False); Lunatone(hp=110/110,prize=1,immune=False); Mega Lucario ex(hp=440/440,prize=3,immune=False); Makuhita(hp=80/80,prize=1,immune=False)",6,0,[],[],0,0,0
92223466,11,LOSS,5,"Makuhita(hp=20/80,prize=1,immune=False); Lunatone(hp=110/110,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Solrock(hp=110/110,prize=1,immune=False); Riolu(hp=80/80,prize=1,immune=False)",6,1,[0],[],0,1,1
92224429,7,WIN,4,"Budew(hp=10/30,prize=1,immune=False); Dreepy(hp=70/70,prize=1,immune=False); Dreepy(hp=70/70,prize=1,immune=False); Dreepy(hp=70/70,prize=1,immune=False)",6,1,[0],[0],1,0,1
92224429,9,WIN,3,"Budew(hp=30/30,prize=1,immune=False); Dreepy(hp=70/70,prize=1,immune=False); Dreepy(hp=20/70,prize=1,immune=False)",6,2,"[0, 2]","[0, 2]",2,0,1
92224429,11,WIN,3,"Fezandipiti ex(hp=210/210,prize=2,immune=False); Dreepy(hp=60/70,prize=1,immune=False); Latias ex(hp=210/210,prize=2,immune=False)",6,1,[1],[],0,1,1
92225365,9,LOSS,5,"Lunatone(hp=110/110,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False); Solrock(hp=110/110,prize=1,immune=False); Hariyama(hp=150/150,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False)",6,0,[],[],0,0,0
92226320,10,WIN,5,"Iono’s Bellibolt ex(hp=280/280,prize=2,immune=False); Iono’s Wattrel(hp=60/60,prize=1,immune=False); Iono’s Bellibolt ex(hp=280/280,prize=2,immune=False); Iono’s Wattrel(hp=60/60,prize=1,immune=False); Iono’s Wattrel(hp=60/60,prize=1,immune=False)",6,1,[4],[],0,1,3
92226320,12,WIN,5,"Iono’s Bellibolt ex(hp=280/280,prize=2,immune=False); Iono’s Wattrel(hp=10/60,prize=1,immune=False); Iono’s Bellibolt ex(hp=280/280,prize=2,immune=False); Iono’s Wattrel(hp=50/60,prize=1,immune=False); Iono’s Wattrel(hp=60/60,prize=1,immune=False)",6,2,"[1, 3]","[1, 3]",2,0,1
92226320,14,WIN,4,"Iono’s Bellibolt ex(hp=280/280,prize=2,immune=False); Iono’s Kilowattrel(hp=120/120,prize=1,immune=False); Iono’s Wattrel(hp=60/60,prize=1,immune=False); Iono’s Tadbulb(hp=60/60,prize=1,immune=False)",6,1,[3],[],0,1,2
92226320,16,WIN,4,"Iono’s Bellibolt ex(hp=280/280,prize=2,immune=False); Iono’s Kilowattrel(hp=120/120,prize=1,immune=False); Iono’s Wattrel(hp=10/60,prize=1,immune=False); Iono’s Tadbulb(hp=50/60,prize=1,immune=False)",6,2,"[2, 3]",[],0,2,1
92227252,7,WIN,3,"Marnie's Morgrem(hp=100/100,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92227252,9,WIN,4,"Marnie's Grimmsnarl ex(hp=310/320,prize=2,immune=False); Froslass(hp=30/90,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False); Munkidori(hp=100/110,prize=1,immune=False)",6,1,[1],[1],1,0,1
92227252,11,WIN,4,"Snorunt(hp=40/70,prize=1,immune=False); Munkidori(hp=100/110,prize=1,immune=False); Munkidori(hp=110/110,prize=1,immune=False); Munkidori(hp=110/110,prize=1,immune=False)",6,1,[0],[],0,1,1
92227252,13,WIN,4,"Snorunt(hp=10/70,prize=1,immune=False); Munkidori(hp=70/110,prize=1,immune=False); Munkidori(hp=110/110,prize=1,immune=False); Munkidori(hp=110/110,prize=1,immune=False)",6,1,[0],[0],1,0,1
92228172,6,WIN,4,"Fezandipiti ex(hp=200/210,prize=2,immune=True); Kadabra(hp=80/80,prize=1,immune=True); Abra(hp=50/50,prize=1,immune=True); Abra(hp=50/50,prize=1,immune=True)",6,0,[],[2],1,-1,0
92228172,8,WIN,3,"Fezandipiti ex(hp=200/210,prize=2,immune=True); Kadabra(hp=80/80,prize=1,immune=True); Abra(hp=50/50,prize=1,immune=True)",6,0,[],[2],1,-1,0
92228172,10,WIN,4,"Fezandipiti ex(hp=200/210,prize=2,immune=True); Kadabra(hp=80/80,prize=1,immune=True); Abra(hp=50/50,prize=1,immune=True); Genesect(hp=110/110,prize=1,immune=True)",6,0,[],[2],1,-1,0
92228172,12,WIN,3,"Fezandipiti ex(hp=200/210,prize=2,immune=True); Alakazam(hp=140/140,prize=1,immune=True); Genesect(hp=110/110,prize=1,immune=True)",6,0,[],[],0,0,0
92228172,14,WIN,2,"Alakazam(hp=140/140,prize=1,immune=False); Genesect(hp=110/110,prize=1,immune=False)",6,0,[],[],0,0,0
92229131,8,LOSS,5,"Munkidori(hp=110/110,prize=1,immune=False); Marnie's Morgrem(hp=100/100,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False); Munkidori(hp=110/110,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92229131,10,LOSS,5,"Marnie's Morgrem(hp=100/100,prize=1,immune=False); Snorunt(hp=70/70,prize=1,immune=False); Munkidori(hp=110/110,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92229131,12,LOSS,4,"Snorunt(hp=70/70,prize=1,immune=False); Marnie's Morgrem(hp=70/100,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92229131,14,LOSS,4,"Froslass(hp=90/90,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Marnie's Impidimp(hp=70/70,prize=1,immune=False); Munkidori(hp=100/110,prize=1,immune=False)",6,0,[],[],0,0,0
92230119,16,WIN,5,"Kadabra(hp=80/80,prize=1,immune=False); Abra(hp=40/50,prize=1,immune=False); Abra(hp=50/50,prize=1,immune=False); Genesect(hp=110/110,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,1,[2],[],0,1,2
92230119,18,WIN,5,"Alakazam(hp=140/140,prize=1,immune=False); Alakazam(hp=100/140,prize=1,immune=False); Alakazam(hp=110/140,prize=1,immune=False); Genesect(hp=110/110,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92230119,20,WIN,4,"Alakazam(hp=40/140,prize=1,immune=False); Alakazam(hp=110/140,prize=1,immune=False); Genesect(hp=110/110,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,1,[0],[0],1,0,1
92231060,5,WIN,3,"Kadabra(hp=80/80,prize=1,immune=True); Abra(hp=50/50,prize=1,immune=True); Abra(hp=50/50,prize=1,immune=True)",6,0,[],[1],1,-1,0
92231060,7,WIN,3,"Alakazam(hp=140/140,prize=1,immune=True); Kadabra(hp=80/80,prize=1,immune=True); Psyduck(hp=70/70,prize=1,immune=True)",6,0,[],[],0,0,0
92231060,9,WIN,3,"Alakazam(hp=140/140,prize=1,immune=False); Psyduck(hp=70/70,prize=1,immune=False); Lillie’s Clefairy ex(hp=190/190,prize=2,immune=False)",6,0,[],[],0,0,0
92231060,11,WIN,3,"Psyduck(hp=10/70,prize=1,immune=False); Alakazam(hp=140/140,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,1,[0],[0],1,0,1
92232003,6,WIN,1,"Mega Starmie ex(hp=330/330,prize=3,immune=False)",6,0,[],[],0,0,0
