episode_id,turn,game_result,opponent_bench_pre_attack,v2_actual_allocation_by_slot,v2_actual_kos,v2_actual_prize,optimal_allocation_by_slot,optimal_kos,optimal_prize,prize_difference
92226320,16,WIN,slot0:Iono’s Bellibolt ex hp=280/280 prize=2 immune=False(None); slot1:Iono’s Kilowattrel hp=120/120 prize=1 immune=False(None); slot2:Iono’s Wattrel hp=10/60 prize=1 immune=False(None); slot3:Iono’s Tadbulb hp=50/60 prize=1 immune=False(None),"{0: 0, 1: 2, 2: 0, 3: 4}",[],0,"{0: 0, 1: 0, 2: 1, 3: 5}","['Iono’s Wattrel', 'Iono’s Tadbulb']",2,2
92232003,12,WIN,slot0:Staryu hp=10/70 prize=1 immune=False(None); slot1:Staryu hp=10/70 prize=1 immune=False(None); slot2:Mega Froslass ex hp=310/310 prize=3 immune=False(None); slot3:Snorunt hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 0, 3: 6}",[],0,"{0: 1, 1: 1, 2: 0, 3: 4}","['Staryu', 'Staryu']",2,2
92219700,13,WIN,slot0:Marnie's Impidimp hp=20/70 prize=1 immune=False(None); slot1:Snorunt hp=70/70 prize=1 immune=False(None),"{0: 1, 1: 5}",[],0,"{0: 2, 1: 4}","[""Marnie's Impidimp""]",1,1
92220638,9,WIN,slot0:Kyogre hp=20/150 prize=1 immune=False(None); slot1:Kyogre hp=150/150 prize=1 immune=False(None),"{0: 1, 1: 5}",[],0,"{0: 2, 1: 4}",['Kyogre'],1,1
92220638,11,WIN,slot0:Kyogre hp=10/150 prize=1 immune=False(None); slot1:Kyogre hp=100/150 prize=1 immune=False(None); slot2:Snover hp=90/90 prize=1 immune=False(None),"{0: 0, 1: 6, 2: 0}",[],0,"{0: 1, 1: 0, 2: 5}",['Kyogre'],1,1
92223466,11,LOSS,slot0:Makuhita hp=20/80 prize=1 immune=False(None); slot1:Lunatone hp=110/110 prize=1 immune=False(None); slot2:Makuhita hp=80/80 prize=1 immune=False(None); slot3:Solrock hp=110/110 prize=1 immune=False(None); slot4:Riolu hp=80/80 prize=1 immune=False(None),"{0: 1, 1: 0, 2: 5, 3: 0, 4: 0}",[],0,"{0: 2, 1: 0, 2: 0, 3: 0, 4: 4}",['Makuhita'],1,1
92224429,11,WIN,slot0:Fezandipiti ex hp=210/210 prize=2 immune=False(None); slot1:Dreepy hp=60/70 prize=1 immune=False(None); slot2:Latias ex hp=210/210 prize=2 immune=False(None),"{0: 1, 1: 4, 2: 1}",[],0,"{0: 0, 1: 6, 2: 0}",['Dreepy'],1,1
92226320,10,WIN,slot0:Iono’s Bellibolt ex hp=280/280 prize=2 immune=False(None); slot1:Iono’s Wattrel hp=60/60 prize=1 immune=False(None); slot2:Iono’s Bellibolt ex hp=280/280 prize=2 immune=False(None); slot3:Iono’s Wattrel hp=60/60 prize=1 immune=False(None); slot4:Iono’s Wattrel hp=60/60 prize=1 immune=False(None),"{0: 0, 1: 5, 2: 0, 3: 1, 4: 0}",[],0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 6}",['Iono’s Wattrel'],1,1
92226320,14,WIN,slot0:Iono’s Bellibolt ex hp=280/280 prize=2 immune=False(None); slot1:Iono’s Kilowattrel hp=120/120 prize=1 immune=False(None); slot2:Iono’s Wattrel hp=60/60 prize=1 immune=False(None); slot3:Iono’s Tadbulb hp=60/60 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 5, 3: 1}",[],0,"{0: 0, 1: 0, 2: 0, 3: 6}",['Iono’s Tadbulb'],1,1
92227252,11,WIN,slot0:Snorunt hp=40/70 prize=1 immune=False(None); slot1:Munkidori hp=100/110 prize=1 immune=False(None); slot2:Munkidori hp=110/110 prize=1 immune=False(None); slot3:Munkidori hp=110/110 prize=1 immune=False(None),"{0: 3, 1: 3, 2: 0, 3: 0}",[],0,"{0: 4, 1: 0, 2: 0, 3: 2}",['Snorunt'],1,1
92230119,16,WIN,slot0:Kadabra hp=80/80 prize=1 immune=False(None); slot1:Abra hp=40/50 prize=1 immune=False(None); slot2:Abra hp=50/50 prize=1 immune=False(None); slot3:Genesect hp=110/110 prize=1 immune=False(None); slot4:Dunsparce hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 3, 2: 3, 3: 0, 4: 0}",[],0,"{0: 0, 1: 0, 2: 5, 3: 0, 4: 1}",['Abra'],1,1
92232003,10,WIN,slot0:Staryu hp=70/70 prize=1 immune=False(None); slot1:Staryu hp=10/70 prize=1 immune=False(None); slot2:Snorunt hp=70/70 prize=1 immune=False(None); slot3:Snorunt hp=70/70 prize=1 immune=False(None),"{0: 6, 1: 0, 2: 0, 3: 0}",[],0,"{0: 0, 1: 1, 2: 0, 3: 5}",['Staryu'],1,1
92233918,10,WIN,slot0:Hop's Trevenant hp=140/140 prize=1 immune=False(None); slot1:Hop’s Snorlax hp=150/150 prize=1 immune=False(None); slot2:Hop's Phantump hp=70/70 prize=1 immune=False(None); slot3:Hop’s Snorlax hp=150/150 prize=1 immune=False(None); slot4:Dunsparce hp=60/60 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 1, 3: 0, 4: 5}",[],0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 6}",['Dunsparce'],1,1
92233918,12,WIN,slot0:Hop’s Snorlax hp=150/150 prize=1 immune=False(None); slot1:Hop's Trevenant hp=130/140 prize=1 immune=False(None); slot2:Hop’s Snorlax hp=150/150 prize=1 immune=False(None); slot3:Dunsparce hp=10/60 prize=1 immune=False(None); slot4:Dunsparce hp=60/60 prize=1 immune=False(None),"{0: 0, 1: 1, 2: 0, 3: 0, 4: 5}",[],0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 6}",['Dunsparce'],1,1
92233918,14,WIN,slot0:Hop’s Snorlax hp=150/150 prize=1 immune=False(None); slot1:Hop’s Snorlax hp=150/150 prize=1 immune=False(None); slot2:Dunsparce hp=10/60 prize=1 immune=False(None); slot3:Dunsparce hp=10/60 prize=1 immune=False(None); slot4:Hop's Phantump hp=70/70 prize=1 immune=False(None),"{0: 0, 1: 0, 2: 1, 3: 0, 4: 5}",['Dunsparce'],1,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 4}","['Dunsparce', 'Dunsparce']",2,1
92239608,10,WIN,slot0:Lunatone hp=110/110 prize=1 immune=False(None); slot1:Solrock hp=110/110 prize=1 immune=False(None); slot2:Drilbur hp=10/70 prize=1 immune=False(None),"{0: 6, 1: 0, 2: 0}",[],0,"{0: 0, 1: 0, 2: 6}",['Drilbur'],1,1
