episode_id,turn,game_result,n_bench_targets,bench_targets,counters_observed,best_prize_achievable,best_kos_slots,actual_kos_slots,actual_prize,prize_shortfall,n_max_equivalent_allocations
92549421,7,LOSS,5,"Lunatone(hp=110/110,prize=1,immune=False); Solrock(hp=110/110,prize=1,immune=False); Hariyama(hp=70/150,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False); Hariyama(hp=150/150,prize=1,immune=False)",6,0,[],[],0,0,0
92549421,9,LOSS,5,"Lunatone(hp=110/110,prize=1,immune=False); Solrock(hp=110/110,prize=1,immune=False); Hariyama(hp=10/150,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False); Hariyama(hp=150/150,prize=1,immune=False)",6,1,[2],[2],1,0,1
92550391,7,WIN,3,"Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Froslass ex(hp=310/310,prize=3,immune=False)",6,0,[],[],0,0,0
92550391,9,WIN,4,"Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Froslass ex(hp=250/310,prize=3,immune=False); Staryu(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92550391,11,WIN,4,"Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Froslass ex(hp=200/310,prize=3,immune=False); Staryu(hp=60/70,prize=1,immune=False)",6,1,[3],[3],1,0,1
92550391,13,WIN,2,"Mega Starmie ex(hp=330/330,prize=3,immune=False); Mega Starmie ex(hp=330/330,prize=3,immune=False)",6,0,[],[],0,0,0
92551306,5,WIN,4,"Kadabra(hp=80/80,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False); Abra(hp=50/50,prize=1,immune=False); Abra(hp=50/50,prize=1,immune=False)",6,1,[3],[2],1,0,2
92551306,7,WIN,5,"Kadabra(hp=70/80,prize=1,immune=False); Alakazam(hp=140/140,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92551306,9,WIN,4,"Alakazam(hp=70/140,prize=1,immune=False); Dudunsparce(hp=140/140,prize=1,immune=False); Dudunsparce(hp=140/140,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92551306,11,WIN,3,"Dudunsparce(hp=140/140,prize=1,immune=False); Dudunsparce(hp=140/140,prize=1,immune=False); Dunsparce(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92551306,13,WIN,2,"Dudunsparce(hp=140/140,prize=1,immune=False); Dunsparce(hp=10/70,prize=1,immune=False)",6,1,[1],[1],1,0,1
92552245,7,LOSS,2,"Cinderace(hp=160/160,prize=1,immune=False); Archaludon ex(hp=300/300,prize=2,immune=False)",6,0,[],[],0,0,0
92552245,9,LOSS,2,"Cinderace(hp=100/160,prize=1,immune=False); Archaludon ex(hp=100/300,prize=2,immune=False)",6,0,[],[],0,0,0
92552245,11,LOSS,2,"Cinderace(hp=100/160,prize=1,immune=False); Archaludon ex(hp=40/300,prize=2,immune=False)",6,2,[1],[1],2,0,1
92552245,13,LOSS,2,"Duraludon(hp=130/130,prize=1,immune=False); Duraludon(hp=130/130,prize=1,immune=False)",6,0,[],[],0,0,0
92552245,15,LOSS,1,"Archaludon ex(hp=300/300,prize=2,immune=False)",6,0,[],[],0,0,0
92553251,5,LOSS,0,,0,0,[],[],0,0,0
92554151,7,WIN,5,"Lunatone(hp=110/110,prize=1,immune=False); Hariyama(hp=150/150,prize=1,immune=False); Solrock(hp=110/110,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False); Makuhita(hp=80/80,prize=1,immune=False)",6,0,[],[],0,0,0
92554151,9,WIN,5,"Lunatone(hp=110/110,prize=1,immune=False); Hariyama(hp=150/150,prize=1,immune=False); Solrock(hp=110/110,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False); Makuhita(hp=20/80,prize=1,immune=False)",6,1,[4],[4],1,0,1
92554151,11,WIN,3,"Lunatone(hp=110/110,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False); Solrock(hp=70/110,prize=1,immune=False)",6,0,[],[],0,0,0
92554151,13,WIN,2,"Lunatone(hp=110/110,prize=1,immune=False); Solrock(hp=10/110,prize=1,immune=False)",6,1,[1],[1],1,0,1
92555101,6,LOSS,4,"Solrock(hp=110/110,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Riolu(hp=80/80,prize=1,immune=False); Lunatone(hp=110/110,prize=1,immune=False)",6,0,[],[],0,0,0
92555101,8,LOSS,4,"Solrock(hp=110/110,prize=1,immune=False); Hariyama(hp=90/150,prize=1,immune=False); Mega Lucario ex(hp=220/440,prize=3,immune=False); Lunatone(hp=110/110,prize=1,immune=False)",6,0,[],[],0,0,0
92555101,10,LOSS,5,"Solrock(hp=110/110,prize=1,immune=False); Hariyama(hp=50/150,prize=1,immune=False); Mega Lucario ex(hp=200/440,prize=3,immune=False); Lunatone(hp=110/110,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False)",6,1,[1],[1],1,0,1
92556089,8,WIN,3,"Mega Kangaskhan ex(hp=300/300,prize=3,immune=False); Crustle(hp=150/150,prize=1,immune=True); Crustle(hp=150/150,prize=1,immune=True)",6,0,[],[],0,0,0
92556089,10,WIN,3,"Crustle(hp=220/250,prize=1,immune=True); Crustle(hp=90/150,prize=1,immune=True); Crustle(hp=150/150,prize=1,immune=True)",6,0,[],[],0,0,0
92556089,12,WIN,3,"Crustle(hp=200/250,prize=1,immune=True); Crustle(hp=50/150,prize=1,immune=True); Crustle(hp=150/150,prize=1,immune=True)",6,0,[],[1],1,-1,0
92556089,14,WIN,2,"Crustle(hp=140/150,prize=1,immune=True); Dwebble(hp=70/70,prize=1,immune=False)",6,0,[],[],0,0,0
92556089,16,WIN,2,"Crustle(hp=140/150,prize=1,immune=True); Dwebble(hp=10/70,prize=1,immune=False)",6,1,[1],[1],1,0,1
92556089,18,WIN,2,"Crustle(hp=90/150,prize=1,immune=True); Mega Kangaskhan ex(hp=300/300,prize=3,immune=False)",6,0,[],[],0,0,0
92556089,20,WIN,2,"Crustle(hp=30/150,prize=1,immune=True); Mega Kangaskhan ex(hp=300/300,prize=3,immune=False)",6,0,[],[0],1,-1,0
92556974,7,WIN,2,"Makuhita(hp=80/80,prize=1,immune=False); Mega Lucario ex(hp=340/340,prize=3,immune=False)",6,0,[],[],0,0,0
92556974,9,WIN,2,"Makuhita(hp=20/80,prize=1,immune=False); Solrock(hp=110/110,prize=1,immune=False)",6,1,[0],[0],1,0,1
92556974,11,WIN,2,"Solrock(hp=70/110,prize=1,immune=False); Lunatone(hp=110/110,prize=1,immune=False)",6,0,[],[],0,0,0
92556974,13,WIN,3,"Lunatone(hp=110/110,prize=1,immune=False); Makuhita(hp=80/80,prize=1,immune=False); Riolu(hp=80/80,prize=1,immune=False)",6,0,[],[],0,0,0
