episode_id,turn,n_bench_targets,counters_placed_total,target_serial,target_card_id,target_pre_hp,lethal_at_counter_num,any_array_shift_in_this_event
92219700,11,3,6,25,649,10,1,False
92219700,15,4,6,19,647,40,4,False
92224429,7,4,6,14,235,10,1,False
92224429,9,3,6,15,235,30,5,False
92224429,9,3,6,5,119,20,2,False
92226320,12,5,6,14,270,10,1,False
92227252,9,4,6,73,104,30,3,False
92227252,13,4,6,90,860,10,1,False
92228172,6,4,6,4,741,50,5,False
92228172,8,3,6,5,741,50,5,False
92228172,10,4,6,6,741,50,5,False
92230119,20,4,6,13,743,40,4,False
92231060,5,3,6,66,741,50,5,False
92231060,11,3,6,80,858,10,1,False
92233918,14,5,6,51,65,10,1,False
92234853,9,1,6,76,169,10,1,False
92235791,9,5,6,64,673,20,2,False
92235791,11,4,6,71,676,50,5,False
92236755,7,5,6,73,104,30,3,False
92236755,11,5,6,89,860,10,1,False
92239608,12,3,6,11,675,50,5,False
92240528,11,5,6,73,104,30,3,False
92252769,14,4,6,14,112,50,5,False
92275122,11,3,6,79,741,50,5,False
92278623,5,5,6,67,741,50,5,False
92309614,11,4,6,80,66,20,2,False
92309614,11,4,6,76,305,10,3,False
92316974,9,5,6,73,104,10,1,False
92350502,6,4,6,20,741,50,5,False
92350502,12,4,6,22,742,40,4,False
92355171,13,4,6,74,305,30,3,False
92387111,22,3,6,16,344,10,1,False
92387111,22,3,6,18,344,10,2,False
92447449,7,4,6,79,741,50,5,False
