archetype,top100_pct,top100_count,top50_pct,top50_count,top20_pct,top20_count,top10_pct,top10_count,max_rating
Dragapult ex,19.0,19,24.0,12,30.0,6,30.0,3,1217.0
Marnie's Grimmsnarl ex,19.0,19,12.0,6,5.0,1,10.0,1,1140.2
Mega Lopunny ex,16.0,16,16.0,8,0.0,0,0.0,0,1088.8
Teal Mask Ogerpon ex,14.0,14,16.0,8,15.0,3,20.0,2,1175.3
Mega Kangaskhan ex,13.0,13,14.0,7,30.0,6,30.0,3,1227.1
Fezandipiti ex,12.0,12,6.0,3,5.0,1,0.0,0,1120.0
Mega Lucario ex,3.0,3,6.0,3,5.0,1,10.0,1,1197.5
Cynthia's Garchomp ex,1.0,1,2.0,1,5.0,1,0.0,0,1126.6
N’s Zoroark ex,1.0,1,2.0,1,5.0,1,0.0,0,1115.0
Team Rocket's Kangaskhan ex,1.0,1,0.0,0,0.0,0,0.0,0,1038.7
UNKNOWN,1.0,1,2.0,1,0.0,0,0.0,0,1080.1
