rank,team_name,team_id,rating,submission_id,n_episodes_public_completed,deck_consistent,archetype,archetype_method,deck_hash,n_deck_variants_seen
1,Dipam Chakraborty,16581741,1227.1,55485291,10,True,Mega Kangaskhan ex,SIGNATURE_MATCH,2655572b2591c7f6,1
2,flg,16380946,1217.0,55456208,85,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
3,palsystem,16375635,1211.0,55480973,51,True,Dragapult ex,SIGNATURE_MATCH,6de33022ed33e4f5,1
4,Luca,16448747,1197.5,55447414,88,True,Mega Lucario ex,SIGNATURE_MATCH,eb1222900df9baf0,1
5,ANDPAD kaggler team,16411029,1175.3,55456501,84,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,8100e95271eb24bc,1
6,Thai,16450476,1157.7,55456550,79,True,Mega Kangaskhan ex,SIGNATURE_MATCH,fb0918f74924ede3,1
7,Rmy,16425135,1155.0,55482569,45,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,8100e95271eb24bc,1
8,LumenLiquidity,16381624,1152.8,55480943,49,True,Dragapult ex,SIGNATURE_MATCH,cc84b1b9f1e05949,1
9,Majkel1337,16374395,1149.3,55337430,232,True,Mega Kangaskhan ex,SIGNATURE_MATCH,2655572b2591c7f6,1
10,AlphaTCG,16381823,1140.2,55350342,186,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
11,James Cox & Henry Chao,16375647,1132.9,55469101,61,True,Mega Kangaskhan ex,SIGNATURE_MATCH,d27ab9465febb3da,1
12,Octavi Grau,16374074,1126.6,55483528,32,True,Cynthia's Garchomp ex,SIGNATURE_MATCH,e34dae96b1984485,1
13,Raihan Ramadistra,16422241,1122.6,55474573,42,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
14,THIRD PTCG Club,16372380,1121.7,55472557,52,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,111d0a87c7071fde,1
15,"Bart, Edwyn",16531497,1120.0,55481441,49,True,Fezandipiti ex,SIGNATURE_MATCH,f68ccef625779ef7,1
16,Petit Canard,16416261,1117.0,55484297,18,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
17,Oshbocker,16404352,1115.0,55467430,69,True,N’s Zoroark ex,HEADLINE_CLUSTER,b8e2515051817ff7,1
18,e-toppo + kurupical,16371829,1114.4,55481059,51,True,Mega Kangaskhan ex,SIGNATURE_MATCH,d27ab9465febb3da,1
19,213tubo,16371653,1114.3,55483716,31,True,Mega Kangaskhan ex,SIGNATURE_MATCH,2655572b2591c7f6,1
20,李秉叡（ntumlnoob）,16536318,1113.8,55470068,68,True,Dragapult ex,SIGNATURE_MATCH,2026f6adb448abd3,1
21,tw_shin,16387915,1103.6,55464332,85,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,bb4234176fdec6ff,1
22,loIzpo + emonga,16371280,1102.8,55462060,75,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,9dfcab39e3ed21bf,1
23,Kh0a,16569286,1097.5,55480748,48,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
24,__Taichicchi__,16400014,1095.7,55468387,51,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
25,hatry,16531787,1091.1,55424871,122,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
26,想要成为kaggle大师,16438680,1088.8,55445713,99,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
27,M Sato,16385817,1088.7,55481866,45,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
28,JZ,16408505,1088.5,55394382,157,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,b43a53d96da0f0b5,1
29,Yopta,16594494,1084.6,55481058,51,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
30,Mahog,16505652,1084.0,55482753,39,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,b43a53d96da0f0b5,1
31,Redi_,16421871,1083.1,55425377,116,True,Fezandipiti ex,SIGNATURE_MATCH,393e490e6960de29,1
32,Аzat Akhtyamov,16462035,1082.9,55469451,55,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
33,kanno,16668226,1081.6,55484114,23,True,Mega Lopunny ex,SIGNATURE_MATCH,19a01ac1cebb1e8b,1
34,JB Bryant,16422381,1080.1,55485999,0,,UNKNOWN,NO_PUBLIC_EPISODES,,
35,熱異常,16421599,1076.7,55481069,44,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,8100e95271eb24bc,1
36,fishcat,16474254,1075.8,55485728,3,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
37,motono0223,16443122,1074.8,55483654,25,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
38,keithtyser,16385537,1074.4,55484422,19,True,Mega Kangaskhan ex,SIGNATURE_MATCH,888826866a5bccdd,1
39,yumizu,16379316,1071.0,55481856,42,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
40,sadwat,16556346,1063.1,55479013,46,True,Mega Lucario ex,SIGNATURE_MATCH,eb1222900df9baf0,1
41,カントー地方マスター(KantoRegionMaster),16375320,1059.1,55485718,5,True,Mega Lucario ex,SIGNATURE_MATCH,eb1222900df9baf0,1
42,MTamago,16445258,1058.3,55482465,43,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
43,insuperabilehart,16431331,1056.0,55463281,76,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
44,dasfds,16668084,1055.9,55478798,51,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
45,哈基米南北绿豆,16514878,1054.9,55480894,42,True,Fezandipiti ex,SIGNATURE_MATCH,fcac695071c3f3cf,1
46,guruguru000,16598812,1054.4,55480716,44,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,d83b61b3461e6f3d,1
47,KawattaTaido,16373946,1053.1,55409731,119,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,b43a53d96da0f0b5,1
48,Boss's Orders Are All You Need,16381127,1046.8,55477282,46,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,712e7e9d851a570b,1
49,Brahim,16440585,1045.4,55417322,68,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
50,DavidFreelan,16600240,1043.6,55481795,34,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
51,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,16464757,1041.7,55474711,64,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
52,Phil_Hellmuth,16383701,1041.6,55454605,78,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
53,Pokopia,16390101,1039.4,55485416,9,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
54,cocosu3434,16395413,1038.7,55483428,34,True,Team Rocket's Kangaskhan ex,SIGNATURE_MATCH,193b31bd05c881ae,1
55,szlachetny snieg,16376653,1038.4,55368707,187,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
56,{{ team_name }} 🏆,16407428,1038.4,55474209,50,True,Mega Kangaskhan ex,SIGNATURE_MATCH,37f2032236fb6baf,1
57,miya,16388364,1037.1,55470413,64,True,Fezandipiti ex,SIGNATURE_MATCH,fcac695071c3f3cf,1
58,masspeaks,16553454,1035.4,55485264,10,True,Fezandipiti ex,SIGNATURE_MATCH,fcac695071c3f3cf,1
59,tera358,16373103,1035.1,55482149,43,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
60,GuerillaMoon,16602856,1034.9,55417209,119,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
61,perrodawn,16375942,1032.1,55480859,44,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
62,DECEM,16384159,1030.9,55482735,33,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
63,Team KASA.,16372307,1030.3,55451298,73,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
64,Louis & Emile,16379930,1029.8,55482971,37,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,046b08911b282ad0,1
65,denden12,16376997,1029.7,55483539,34,True,Mega Kangaskhan ex,SIGNATURE_MATCH,d11306618e7ece62,1
66,Juyong,16411874,1029.1,55335480,223,True,Fezandipiti ex,SIGNATURE_MATCH,fcac695071c3f3cf,1
67,Eason0203,16456612,1028.8,55462624,77,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,b1513b47b94933fa,1
68,宝糕手,16383960,1027.1,55472436,56,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
69,KatR,16395646,1026.6,55485965,1,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,d83b61b3461e6f3d,1
70,aaa,16378476,1026.6,55459130,79,True,Fezandipiti ex,SIGNATURE_MATCH,393e490e6960de29,1
71,タニシ,16414053,1024.9,55480533,44,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,1fa37c7db812938f,1
72,しんぴのしずく💧,16371945,1024.9,55481007,44,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,111d0a87c7071fde,1
73,Boseiju,16372591,1024.6,55481404,44,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
74,Arthurs Torres24,16376582,1024.4,55437265,108,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
75,Dominic Peel & Rory Neville,16514272,1023.4,55478531,51,True,Mega Kangaskhan ex,SIGNATURE_MATCH,37f2032236fb6baf,1
76,BarrelAged,16382386,1022.3,55470423,59,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
77,stnick,16609576,1020.8,55417796,133,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
78,Yaroslav,16606656,1018.9,55474681,56,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
79,tokk,16490418,1018.8,55472456,37,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
80,NIWATORI,16446951,1017.4,55476217,49,True,Mega Kangaskhan ex,SIGNATURE_MATCH,2655572b2591c7f6,1
81,vvs,16388654,1014.5,55484470,19,True,Fezandipiti ex,SIGNATURE_MATCH,69e64f37ad52847c,1
82,TMTA,16395622,1013.7,55451784,76,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
83,Shang Bo,16675930,1013.5,55434424,86,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
84,stardom,16441839,1013.3,55483103,31,True,Mega Kangaskhan ex,SIGNATURE_MATCH,190bc396b75a038d,1
85,RtoABC,16371723,1013.3,55485534,4,True,Dragapult ex,SIGNATURE_MATCH,cad0e42d5a0a29dd,1
86,goonew,16372168,1013.1,55482994,35,True,Dragapult ex,SIGNATURE_MATCH,de141cdc55266782,1
87,S. B.,16384286,1012.6,55475711,46,True,Fezandipiti ex,SIGNATURE_MATCH,fcac695071c3f3cf,1
88,nsytsqdtn,16382190,1012.5,55485968,1,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
89,AReg,16680070,1012.3,55451676,91,True,Fezandipiti ex,SIGNATURE_MATCH,fcac695071c3f3cf,1
90,da da,16663985,1012.0,55480057,45,True,Mega Kangaskhan ex,SIGNATURE_MATCH,14db4b34cc8fbbb7,1
91,jamm1412,16418498,1011.6,55477340,48,True,Teal Mask Ogerpon ex,SIGNATURE_MATCH,d83b61b3461e6f3d,1
92,NguyenThanhNhan,16381904,1011.6,55480783,45,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
93,huaiyuyoung,16676325,1011.1,55427034,106,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
94,Budew,16371434,1010.7,55485278,9,True,Dragapult ex,SIGNATURE_MATCH,058f82abd5449e39,1
95,giacomovin,16512241,1010.7,55465965,81,True,Mega Lopunny ex,SIGNATURE_MATCH,fb6542fd45093b86,1
96,Evgeniy Zdoronok,16595297,1010.2,55477977,53,True,Fezandipiti ex,SIGNATURE_MATCH,078708f3a363ad2e,1
97,你好哇,16566110,1008.9,55432468,99,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
98,Dries @ Tufa Labs,16531269,1008.9,55481356,42,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
99,Pioneer 2,16514259,1008.0,55485037,13,True,Fezandipiti ex,SIGNATURE_MATCH,c4ebaf6e42fc8a2a,1
100,YumeNeko,16395439,1007.4,55395787,142,True,Marnie's Grimmsnarl ex,SIGNATURE_MATCH,dc2ce39b94cbbb38,1
