archetype,n_agents_top100,rating_min,rating_max,rating_median,rating_range
Dragapult ex,19,1010.7,1217.0,1075.8,206.3
Marnie's Grimmsnarl ex,19,1007.4,1140.2,1024.4,132.8
Mega Lopunny ex,16,1010.7,1088.8,1041.0,78.1
Teal Mask Ogerpon ex,14,1011.6,1175.3,1050.6,163.7
Mega Kangaskhan ex,13,1012.0,1227.1,1074.4,215.1
Fezandipiti ex,12,1008.0,1120.0,1027.85,112.0
Mega Lucario ex,3,1059.1,1197.5,1063.1,138.4
Cynthia's Garchomp ex,1,1126.6,1126.6,1126.6,0.0
N’s Zoroark ex,1,1115.0,1115.0,1115.0,0.0
Team Rocket's Kangaskhan ex,1,1038.7,1038.7,1038.7,0.0
