archetype,tier,count,ranks
Dragapult ex,TOP100,19,2;3;8;13;16;20;23;24;32;36;37;42;51;62;68;73;85;86;94
Dragapult ex,TOP50,12,2;3;8;13;16;20;23;24;32;36;37;42
Dragapult ex,TOP20,6,2;3;8;13;16;20
Dragapult ex,TOP10,3,2;3;8
Dragapult ex,ALL_RESOLVED,19,2;3;8;13;16;20;23;24;32;36;37;42;51;62;68;73;85;86;94
Mega Lucario ex,TOP100,3,4;40;41
Mega Lucario ex,TOP50,3,4;40;41
Mega Lucario ex,TOP20,1,4
Mega Lucario ex,TOP10,1,4
Mega Lucario ex,ALL_RESOLVED,3,4;40;41
Crustle/Dwebble (any),TOP100,0,
Crustle/Dwebble (any),TOP50,0,
Crustle/Dwebble (any),TOP20,0,
Crustle/Dwebble (any),TOP10,0,
Crustle/Dwebble (any),ALL_RESOLVED,0,
