tier,archetype,count,pct_of_field,tier_size
TOP100,Mega Kangaskhan ex,13,13.0,100
TOP100,Dragapult ex,19,19.0,100
TOP100,Mega Lucario ex,3,3.0,100
TOP100,Teal Mask Ogerpon ex,14,14.0,100
TOP100,Marnie's Grimmsnarl ex,19,19.0,100
TOP100,Cynthia's Garchomp ex,1,1.0,100
TOP100,Fezandipiti ex,12,12.0,100
TOP100,N’s Zoroark ex,1,1.0,100
TOP100,Mega Lopunny ex,16,16.0,100
TOP100,UNKNOWN,1,1.0,100
TOP100,Team Rocket's Kangaskhan ex,1,1.0,100
TOP50,Mega Kangaskhan ex,7,14.0,50
TOP50,Dragapult ex,12,24.0,50
TOP50,Mega Lucario ex,3,6.0,50
TOP50,Teal Mask Ogerpon ex,8,16.0,50
TOP50,Marnie's Grimmsnarl ex,6,12.0,50
TOP50,Cynthia's Garchomp ex,1,2.0,50
TOP50,Fezandipiti ex,3,6.0,50
TOP50,N’s Zoroark ex,1,2.0,50
TOP50,Mega Lopunny ex,8,16.0,50
TOP50,UNKNOWN,1,2.0,50
TOP20,Mega Kangaskhan ex,6,30.0,20
TOP20,Dragapult ex,6,30.0,20
TOP20,Mega Lucario ex,1,5.0,20
TOP20,Teal Mask Ogerpon ex,3,15.0,20
TOP20,Marnie's Grimmsnarl ex,1,5.0,20
TOP20,Cynthia's Garchomp ex,1,5.0,20
TOP20,Fezandipiti ex,1,5.0,20
TOP20,N’s Zoroark ex,1,5.0,20
TOP10,Mega Kangaskhan ex,3,30.0,10
TOP10,Dragapult ex,3,30.0,10
TOP10,Mega Lucario ex,1,10.0,10
TOP10,Teal Mask Ogerpon ex,2,20.0,10
TOP10,Marnie's Grimmsnarl ex,1,10.0,10
