game_index,decision_index,elapsed_ms,eligible,search_begin_ok,visits
0,0,0.5946,0,0,0
0,1,1.8578,0,0,0
0,2,704.2840,1,1,92
0,3,0.7993,0,0,0
0,4,1.0964,0,0,0
0,5,703.9972,1,1,84
0,6,707.1771,1,1,71
1,0,0.2034,0,0,0
1,1,0.8806,0,0,0
1,2,706.7905,1,1,103
1,3,1.2257,0,0,0
1,4,701.5521,1,1,149
1,5,1.1308,0,0,0
1,6,704.0132,1,1,147
1,7,702.6353,1,1,169
1,8,1.0895,0,0,0
1,9,701.3702,1,1,151
1,10,710.1457,1,1,71
1,11,708.7534,1,1,78
1,12,707.8706,1,1,59
1,13,1.4073,0,0,0
1,14,703.0336,1,1,57
1,15,708.2858,1,1,61
1,16,709.4541,1,1,61
1,17,1.2239,0,0,0
1,18,702.8003,1,1,60
1,19,1.1510,0,0,0
1,20,712.2266,1,1,60
1,21,712.0633,1,1,53
1,22,1.4477,0,0,0
1,23,1.1293,0,0,0
1,24,713.6757,1,1,54
1,25,1.6250,0,0,0
1,26,1.2634,0,0,0
1,27,1.5490,0,0,0
1,28,710.1969,1,1,51
1,29,2.0048,0,0,0
1,30,711.1431,1,1,73
1,31,702.3183,1,1,73
1,32,1.3441,0,0,0
1,33,0.9719,0,0,0
1,34,1.0117,0,0,0
1,35,0.9809,0,0,0
1,36,1.1452,0,0,0
1,37,0.9139,0,0,0
1,38,1.4117,0,0,0
1,39,705.3076,1,1,168
1,40,1.1543,0,0,0
1,41,705.0620,1,1,174
1,42,701.4754,1,1,167
1,43,704.6722,1,1,175
1,44,1.1177,0,0,0
1,45,702.9454,1,1,198
1,46,701.4264,1,1,205
2,0,0.1891,0,0,0
2,1,0.8123,0,0,0
2,2,0.6874,0,0,0
2,3,703.6582,1,1,74
2,4,0.7392,0,0,0
2,5,1.4723,0,0,0
2,6,703.6548,1,1,84
2,7,708.0481,1,1,83
2,8,1.1529,0,0,0
2,9,704.3935,1,1,94
2,10,705.1145,1,1,88
2,11,706.5369,1,1,87
2,12,708.1015,1,1,68
2,13,711.3671,1,1,70
2,14,705.2797,1,1,69
2,15,0.8417,0,0,0
2,16,703.3074,1,1,64
2,17,702.7862,1,1,65
2,18,0.9171,0,0,0
2,19,710.8994,1,1,65
2,20,703.0241,1,1,70
2,21,701.6673,1,1,70
2,22,0.9715,0,0,0
2,23,705.8903,1,1,55
2,24,707.8004,1,1,69
2,25,708.8348,1,1,75
2,26,705.7743,1,1,67
2,27,0.9462,0,0,0
2,28,705.7207,1,1,74
2,29,1.0904,0,0,0
2,30,1.1619,0,0,0
2,31,0.8909,0,0,0
2,32,1.1142,0,0,0
2,33,1.0109,0,0,0
2,34,1.0213,0,0,0
2,35,1.2863,0,0,0
2,36,0.9017,0,0,0
2,37,704.6657,1,1,107
2,38,704.5568,1,1,112
2,39,1.2870,0,0,0
2,40,725.3633,1,1,104
2,41,706.8417,1,1,117
2,42,1.1966,0,0,0
2,43,1.2679,0,0,0
2,44,701.8558,1,1,122
2,45,1.2538,0,0,0
2,46,702.0563,1,1,110
2,47,704.9518,1,1,123
2,48,701.3843,1,1,122
2,49,1.4285,0,0,0
2,50,704.7582,1,1,125
2,51,1.1462,0,0,0
2,52,1.0139,0,0,0
2,53,1.0257,0,0,0
2,54,0.8640,0,0,0
2,55,0.8480,0,0,0
2,56,0.9755,0,0,0
2,57,1.3003,0,0,0
2,58,0.8360,0,0,0
2,59,703.6770,1,1,479
2,60,1.3045,0,0,0
2,61,701.6134,1,1,699
2,62,701.9693,1,1,974
2,63,1.3933,0,0,0
2,64,701.6685,1,1,1581
2,65,702.5251,1,1,784
2,66,1.0414,0,0,0
3,0,0.2465,0,0,0
3,1,1.2190,0,0,0
3,2,1.3272,0,0,0
3,3,705.3763,1,1,80
3,4,1.2426,0,0,0
3,5,702.3517,1,1,114
3,6,702.0680,1,1,113
3,7,702.3608,1,1,104
3,8,0.9762,0,0,0
3,9,1.1366,0,0,0
3,10,701.9684,1,1,127
3,11,702.2115,1,1,126
3,12,705.5554,1,1,114
3,13,0.6810,0,0,0
3,14,0.6550,0,0,0
3,15,706.5827,1,1,69
3,16,711.6268,1,1,69
3,17,701.7508,1,1,72
3,18,703.3405,1,1,62
3,19,1.7423,0,0,0
3,20,705.9472,1,1,61
3,21,1.1998,0,0,0
3,22,0.8874,0,0,0
3,23,709.9788,1,1,60
3,24,1.0929,0,0,0
3,25,712.8152,1,1,60
3,26,706.3574,1,1,60
3,27,707.2592,1,1,60
3,28,702.0065,1,1,55
3,29,1.2489,0,0,0
3,30,1.2305,0,0,0
3,31,705.7992,1,1,50
3,32,1.0145,0,0,0
3,33,703.4172,1,1,50
3,34,1.1336,0,0,0
3,35,706.9505,1,1,49
3,36,704.9383,1,1,46
3,37,712.8032,1,1,48
3,38,1.5422,0,0,0
3,39,710.3517,1,1,48
3,40,714.2098,1,1,49
3,41,704.8964,1,1,48
3,42,703.8273,1,1,48
3,43,2.1145,0,0,0
3,44,705.0694,1,1,50
3,45,713.2632,1,1,49
3,46,1.4612,0,0,0
3,47,713.2336,1,1,48
3,48,702.0545,1,1,47
3,49,1.5639,0,0,0
3,50,707.0674,1,1,47
3,51,1.5698,0,0,0
3,52,716.8016,1,1,48
3,53,1.6399,0,0,0
3,54,708.8411,1,1,54
3,55,707.4746,1,1,51
3,56,1.3328,0,0,0
3,57,704.4342,1,1,53
3,58,701.9549,1,1,59
3,59,705.4079,1,1,66
3,60,1.5781,0,0,0
3,61,703.7269,1,1,66
4,0,0.2332,0,0,0
4,1,0.7111,0,0,0
4,2,704.0205,1,1,85
