candidates,context,decision_num,game_id,game_index,game_outcome,game_steps,lookahead_choice_attack_id,lookahead_choice_card_id,lookahead_choice_option_type,lookahead_choice_rng_class,n10_disagreement,n10_fallback_reason,n10_in_scope,n10_lookahead_choice,n10_root_clone_latency_ms,n10_top_n_evaluated,n10_total_latency_ms,n10_v6_choice,n10_wall_ms,n3_disagreement,n3_fallback_reason,n3_in_scope,n3_lookahead_choice,n3_root_clone_latency_ms,n3_top_n_evaluated,n3_total_latency_ms,n3_v6_choice,n3_wall_ms,n5_disagreement,n5_fallback_reason,n5_in_scope,n5_lookahead_choice,n5_root_clone_latency_ms,n5_top_n_evaluated,n5_total_latency_ms,n5_v6_choice,n5_wall_ms,n_options,rss_mb,turn,v6_choice_attack_id,v6_choice_card_id,v6_choice_option_type,v6_choice_rng_class,v6_slot
"[{""index"": 0, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""ACTIVE"", ""v6_score"": 61000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 60040.0, ""chain_steps"": 8, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 35000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 34040.0, ""chain_steps"": 8, ""error"": null}, {""index"": 5, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""ACTIVE"", ""v6_score"": 20000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 18900.0, ""chain_steps"": 11, ""error"": null}, {""index"": 6, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -3310.0, ""chain_steps"": 1, ""error"": null}, {""index"": 2, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -3061.0, ""chain_steps"": 5, ""error"": null}]",MAIN,0,1786649900_2d0df93e_0,0,v6_win,212,,,ATTACH,DETERMINISTIC,False,,True,[0],0.7025999948382378,7,35.197600023820996,[0],35.24410002864897,False,,True,[0],1.1405999539420009,3,24.048599996604025,[0],24.085099925287068,False,,True,[0],0.49650005530565977,5,21.85230003669858,[0],21.87419997062534,7,35.390625,2,,,ATTACH,DETERMINISTIC,0
"[{""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 35000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 35190.0, ""chain_steps"": 9, ""error"": null}, {""index"": 4, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""ACTIVE"", ""v6_score"": 20000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 20190.0, ""chain_steps"": 9, ""error"": null}, {""index"": 5, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -3210.0, ""chain_steps"": 1, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -3061.0, ""chain_steps"": 4, ""error"": null}, {""index"": 2, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 2399.0, ""chain_steps"": 10, ""error"": null}]",MAIN,1,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,RNG_DEPENDENT,False,,True,[0],0.46200002543628216,6,24.838400073349476,[0],24.87470000050962,False,,True,[0],0.44520001392811537,3,12.080199900083244,[0],12.106499983929098,False,,True,[0],0.42640010360628366,5,22.33690000139177,[0],22.360000060871243,6,38.62109375,2,,,PLAY,RNG_DEPENDENT,0
"[{""index"": 3, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 52000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 52190.0, ""chain_steps"": 6, ""error"": null}, {""index"": 4, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 51000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 51190.0, ""chain_steps"": 6, ""error"": null}, {""index"": 2, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""ACTIVE"", ""v6_score"": 20000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 20190.0, ""chain_steps"": 6, ""error"": null}, {""index"": 5, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -3210.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 2399.0, ""chain_steps"": 7, ""error"": null}]",MAIN,2,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,DETERMINISTIC,False,,True,[3],0.44460000935941935,6,21.529999910853803,[3],21.554999984800816,False,,True,[3],0.4202999407425523,3,11.359299998730421,[3],11.37419999577105,False,,True,[3],0.3999999025836587,5,17.64590002130717,[3],17.666300060227513,6,38.84375,2,,,PLAY,DETERMINISTIC,0
"[{""index"": 4, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 51000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 51190.0, ""chain_steps"": 5, ""error"": null}, {""index"": 2, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""ACTIVE"", ""v6_score"": 20000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 20190.0, ""chain_steps"": 5, ""error"": null}, {""index"": 5, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2180.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 2399.0, ""chain_steps"": 6, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 189.0, ""chain_steps"": 6, ""error"": null}]",MAIN,3,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,DETERMINISTIC,False,,True,[4],0.40220003575086594,6,19.868900068104267,[4],19.886600086465478,False,,True,[4],0.40119991172105074,3,8.801899966783822,[4],8.828299934975803,False,,True,[4],0.4960000514984131,5,15.612400020472705,[4],15.630800044164062,6,39.15234375,2,,,PLAY,DETERMINISTIC,0
"[{""index"": 2, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""ACTIVE"", ""v6_score"": 20000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 20190.0, ""chain_steps"": 4, ""error"": null}, {""index"": 5, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 10000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 10190.0, ""chain_steps"": 4, ""error"": null}, {""index"": 6, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": 30.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 2399.0, ""chain_steps"": 5, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 189.0, ""chain_steps"": 5, ""error"": null}]",MAIN,4,1786649900_2d0df93e_0,0,v6_win,212,,,ATTACH,DETERMINISTIC,False,,True,[2],0.4392999690026045,7,19.73370008636266,[2],19.752099993638694,False,,True,[2],0.45689998660236597,3,7.380300085060298,[2],7.404699921607971,False,,True,[2],0.4268999909982085,5,13.831499963998795,[2],13.849599985405803,7,39.31640625,2,,,ATTACH,DETERMINISTIC,0
"[{""index"": 2, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 10000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 10190.0, ""chain_steps"": 3, ""error"": null}, {""index"": 3, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": 180.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 2399.0, ""chain_steps"": 4, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 189.0, ""chain_steps"": 4, ""error"": null}]",MAIN,5,1786649900_2d0df93e_0,0,v6_win,212,,,RETREAT,DETERMINISTIC,False,,True,[2],0.4241999704390764,4,9.76809998974204,[2],9.785200003534555,False,,True,[2],0.41580002289265394,3,7.117200060747564,[2],7.133600069209933,False,,True,[2],0.4032000433653593,4,10.392500087618828,[2],10.408599977381527,4,39.4140625,2,,,RETREAT,DETERMINISTIC,0
"[{""index"": 2, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 513.0, ""chain_steps"": 1, ""error"": null}, {""index"": 3, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": 180.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 2399.0, ""chain_steps"": 2, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 189.0, ""chain_steps"": 2, ""error"": null}]",MAIN,6,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,DETERMINISTIC,True,,True,[0],0.408399966545403,4,8.73999996110797,[2],8.763300022110343,True,,True,[0],0.4053000593557954,3,5.123300012201071,[2],5.138400010764599,True,,True,[0],0.4168999148532748,4,6.992400041781366,[2],7.007800042629242,4,39.44140625,2,323,,ATTACK,DETERMINISTIC,0
"[{""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 14000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 11960.0, ""chain_steps"": 5, ""error"": null}, {""index"": 4, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1867.0, ""chain_steps"": 1, ""error"": null}, {""index"": 6, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2200.0, ""chain_steps"": 1, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -971.0, ""chain_steps"": 9, ""error"": null}, {""index"": 2, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 1239.0, ""chain_steps"": 10, ""error"": null}]",MAIN,7,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,DETERMINISTIC,False,,True,[0],0.5411999300122261,7,42.133099981583655,[0],42.16230008751154,False,,True,[0],0.48420007806271315,3,7.01229996047914,[0],7.040999946184456,False,,True,[0],0.4493999294936657,5,21.440499927848577,[0],21.48330002091825,7,39.47265625,4,,,PLAY,DETERMINISTIC,0
"[{""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 51000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 49880.0, ""chain_steps"": 2, ""error"": null}, {""index"": 3, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1867.0, ""chain_steps"": 1, ""error"": null}, {""index"": 5, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2200.0, ""chain_steps"": 1, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 849.0, ""chain_steps"": 5, ""error"": null}, {""index"": 2, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1121.0, ""chain_steps"": 3, ""error"": null}]",MAIN,8,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,DETERMINISTIC,False,,True,[0],0.45629998203366995,6,16.332600032910705,[0],16.352999955415726,False,,True,[0],0.4605000140145421,3,4.821699927560985,[0],4.847200005315244,False,,True,[0],0.4460999043658376,5,12.882299954071641,[0],12.90329999756068,6,39.61328125,4,,,PLAY,DETERMINISTIC,0
"[{""index"": 2, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -797.0, ""chain_steps"": 1, ""error"": null}, {""index"": 4, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -1130.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 849.0, ""chain_steps"": 4, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1121.0, ""chain_steps"": 2, ""error"": null}, {""index"": 3, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1131.0, ""chain_steps"": 3, ""error"": null}]",MAIN,9,1786649900_2d0df93e_0,0,v6_win,212,,,PLAY,DETERMINISTIC,True,,True,[0],0.4545999690890312,5,14.026999939233065,[2],14.044799958355725,True,,True,[0],0.4659000551328063,3,8.412800030782819,[2],8.429900044575334,True,,True,[0],0.41669991333037615,5,14.414100092835724,[2],14.435000019147992,5,39.73046875,4,323,,ATTACK,DETERMINISTIC,0
