candidates,context,decision_num,game_id,game_index,game_outcome,game_steps,lookahead_choice_attack_id,lookahead_choice_card_id,lookahead_choice_option_type,lookahead_choice_rng_class,n10_disagreement,n10_fallback_reason,n10_in_scope,n10_lookahead_choice,n10_root_clone_latency_ms,n10_top_n_evaluated,n10_total_latency_ms,n10_v6_choice,n10_wall_ms,n3_disagreement,n3_fallback_reason,n3_in_scope,n3_lookahead_choice,n3_root_clone_latency_ms,n3_top_n_evaluated,n3_total_latency_ms,n3_v6_choice,n3_wall_ms,n5_disagreement,n5_fallback_reason,n5_in_scope,n5_lookahead_choice,n5_root_clone_latency_ms,n5_top_n_evaluated,n5_total_latency_ms,n5_v6_choice,n5_wall_ms,n_options,rss_mb,turn,v6_choice_attack_id,v6_choice_card_id,v6_choice_option_type,v6_choice_rng_class,v6_slot
"[{""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 44000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 41530.0, ""chain_steps"": 11, ""error"": null}, {""index"": 5, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 14000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 11530.0, ""chain_steps"": 6, ""error"": null}, {""index"": 6, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -3367.0, ""chain_steps"": 1, ""error"": null}, {""index"": 7, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -3700.0, ""chain_steps"": 1, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -2471.0, ""chain_steps"": 8, ""error"": null}]",MAIN,0,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,RNG_DEPENDENT,False,,True,[0],0.42369996663182974,8,52.78870009351522,[0],52.81429993920028,False,,True,[0],1.0889999102801085,3,20.70240001194179,[0],20.736899925395846,False,,True,[0],0.45769999269396067,5,21.679800003767014,[0],21.701799938455224,8,35.54296875,2,,,PLAY,RNG_DEPENDENT,0
"[{""index"": 3, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 51000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 49600.0, ""chain_steps"": 6, ""error"": null}, {""index"": 2, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 14000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 12450.0, ""chain_steps"": 5, ""error"": null}, {""index"": 4, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -3367.0, ""chain_steps"": 1, ""error"": null}, {""index"": 5, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -3700.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 889.0, ""chain_steps"": 13, ""error"": null}]",MAIN,1,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,DETERMINISTIC,False,,True,[3],0.4331999225541949,6,29.36669997870922,[3],29.39359995070845,False,,True,[3],0.4434000002220273,3,12.229599989950657,[3],12.263100012205541,False,,True,[3],0.5368000129237771,5,22.594200097955763,[3],22.630499908700585,6,38.92578125,2,,,PLAY,DETERMINISTIC,0
"[{""index"": 2, ""option_type"": ""ATTACH"", ""attack_id"": null, ""card_id"": null, ""area"": ""HAND"", ""in_play_area"": ""BENCH"", ""v6_score"": 20100, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 19870.0, ""chain_steps"": 9, ""error"": null}, {""index"": 3, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 14000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 13520.0, ""chain_steps"": 6, ""error"": null}, {""index"": 4, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -2297.0, ""chain_steps"": 1, ""error"": null}, {""index"": 6, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2630.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 739.0, ""chain_steps"": 10, ""error"": null}]",MAIN,2,1786649941_9e821c33_0,0,v6_win,162,,,ATTACH,DETERMINISTIC,False,,True,[2],0.45140006113797426,7,31.832000007852912,[2],31.86439990531653,False,,True,[2],0.46449992805719376,3,12.778600095771253,[2],12.861099909059703,False,,True,[2],0.6386999739333987,5,25.426600011996925,[2],25.448899948969483,7,39.18359375,2,,,ATTACH,DETERMINISTIC,0
"[{""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 14000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 15880.0, ""chain_steps"": 5, ""error"": null}, {""index"": 2, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -2147.0, ""chain_steps"": 1, ""error"": null}, {""index"": 4, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2480.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1251.0, ""chain_steps"": 6, ""error"": null}, {""index"": 3, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -261.0, ""chain_steps"": 6, ""error"": null}]",MAIN,3,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,DETERMINISTIC,False,,True,[1],0.6534999702125788,5,17.283400055021048,[1],17.305399989709258,False,,True,[1],0.7523000240325928,3,11.73729996662587,[1],11.77290000487119,False,,True,[1],0.44760003220289946,5,17.854300094768405,[1],17.895600060001016,5,39.4609375,2,,,PLAY,DETERMINISTIC,0
"[{""index"": 2, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 51000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 50820.0, ""chain_steps"": 7, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 45000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 44670.0, ""chain_steps"": 6, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 40000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 39670.0, ""chain_steps"": 6, ""error"": null}, {""index"": 3, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -2147.0, ""chain_steps"": 1, ""error"": null}, {""index"": 5, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2480.0, ""chain_steps"": 1, ""error"": null}]",MAIN,4,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,DETERMINISTIC,False,,True,[2],0.6641000509262085,6,32.803299953229725,[2],32.84240001812577,False,,True,[2],0.45689998660236597,3,18.60129996202886,[2],18.647799966856837,False,,True,[2],0.44430000707507133,5,21.996499970555305,[2],22.035099915228784,6,39.53515625,2,,,PLAY,DETERMINISTIC,0
"[{""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 45000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 44820.0, ""chain_steps"": 6, ""error"": null}, {""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 40000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 39670.0, ""chain_steps"": 5, ""error"": null}, {""index"": 2, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1077.0, ""chain_steps"": 1, ""error"": null}, {""index"": 4, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -1410.0, ""chain_steps"": 1, ""error"": null}, {""index"": 3, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -331.0, ""chain_steps"": 7, ""error"": null}]",MAIN,5,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,RNG_DEPENDENT,False,,True,[0],0.4592000041157007,5,24.19930009637028,[0],24.22600006684661,False,,True,[0],0.45849999878555536,3,15.555999940261245,[0],15.596300014294684,False,,True,[0],0.44680002611130476,5,30.08529997896403,[0],30.13580001424998,5,39.80859375,2,,,PLAY,RNG_DEPENDENT,0
"[{""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 51000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 50820.0, ""chain_steps"": 4, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 40000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 39820.0, ""chain_steps"": 4, ""error"": null}, {""index"": 2, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -1077.0, ""chain_steps"": 1, ""error"": null}, {""index"": 4, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -1410.0, ""chain_steps"": 1, ""error"": null}, {""index"": 3, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -331.0, ""chain_steps"": 5, ""error"": null}]",MAIN,6,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,DETERMINISTIC,False,,True,[1],0.457199988886714,5,19.882100052200258,[1],19.902999978512526,False,,True,[1],0.609499984420836,3,12.573799933306873,[1],12.611699989065528,False,,True,[1],0.45540009159594774,5,21.294900099746883,[1],21.322599961422384,5,39.8359375,2,,,PLAY,DETERMINISTIC,0
"[{""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 40000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 39670.0, ""chain_steps"": 2, ""error"": null}, {""index"": 1, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -7.0, ""chain_steps"": 1, ""error"": null}, {""index"": 3, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -340.0, ""chain_steps"": 1, ""error"": null}, {""index"": 2, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -181.0, ""chain_steps"": 5, ""error"": null}]",MAIN,7,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,RNG_DEPENDENT,False,,True,[0],0.4688999615609646,4,16.818500007502735,[0],16.87140006106347,False,,True,[0],0.6392000941559672,3,11.023800005204976,[0],11.066499981097877,False,,True,[0],0.4558999789878726,4,15.079000033438206,[0],15.119999996386468,4,39.83984375,2,,,PLAY,RNG_DEPENDENT,0
"[{""index"": 0, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 143.0, ""chain_steps"": 1, ""error"": null}, {""index"": 2, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -190.0, ""chain_steps"": 1, ""error"": null}, {""index"": 1, ""option_type"": ""RETREAT"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -181.0, ""chain_steps"": 3, ""error"": null}]",MAIN,8,1786649941_9e821c33_0,0,v6_win,162,323,,ATTACK,DETERMINISTIC,False,,True,[0],0.4529999569058418,3,11.269300011917949,[0],11.28840004093945,False,,True,[0],0.5831000162288547,3,10.926999966613948,[0],10.946299997158349,False,,True,[0],0.42729999404400587,3,12.428299989551306,[0],12.450200039893389,3,39.96875,2,323,,ATTACK,DETERMINISTIC,0
"[{""index"": 1, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 46000, ""rng_class"": ""RNG_DEPENDENT"", ""lookahead_score"": 45720.0, ""chain_steps"": 8, ""error"": null}, {""index"": 3, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 14000, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": 13720.0, ""chain_steps"": 7, ""error"": null}, {""index"": 4, ""option_type"": ""ATTACK"", ""attack_id"": 323, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 323, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -2397.0, ""chain_steps"": 1, ""error"": null}, {""index"": 6, ""option_type"": ""END"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": 0, ""rng_class"": ""UNKNOWN"", ""lookahead_score"": -2730.0, ""chain_steps"": 1, ""error"": null}, {""index"": 0, ""option_type"": ""PLAY"", ""attack_id"": null, ""card_id"": null, ""area"": null, ""in_play_area"": null, ""v6_score"": -1, ""rng_class"": ""DETERMINISTIC"", ""lookahead_score"": -431.0, ""chain_steps"": 7, ""error"": null}]",MAIN,9,1786649941_9e821c33_0,0,v6_win,162,,,PLAY,RNG_DEPENDENT,False,,True,[1],0.4677999531850219,7,55.0649999640882,[1],55.095599964261055,False,,True,[1],0.46989996917545795,3,25.823400006629527,[1],25.88380000088364,False,,True,[1],0.5033999914303422,5,23.057600017637014,[1],23.083899985067546,7,39.96875,4,,,PLAY,RNG_DEPENDENT,0
