game_index,v6_slot,outcome,steps,elapsed_s
0,0,v6_win,162,6.756056300015189
1,1,v6_win,218,8.952522199950181
2,0,v6_win,189,6.645537200034596
3,1,v6_loss,34,0.07230250001884997
4,0,v6_win,141,5.737079800106585
5,1,v6_win,125,3.3221935000037774
6,0,v6_loss,159,4.99409910000395
7,1,v6_loss,202,6.787974099977873
8,0,v6_win,163,4.668299499899149
9,1,v6_win,172,6.097353000077419
10,0,v6_loss,136,2.1843521000118926
11,1,v6_win,151,6.4384032998932526
12,0,v6_win,173,5.531455500051379
13,1,v6_win,106,3.243081499938853
14,0,v6_win,142,5.135625800001435
15,1,v6_win,127,5.015180399990641
16,0,v6_win,107,5.782462400035001
17,1,v6_win,86,2.454107000026852
18,0,v6_loss,166,6.474382000043988
19,1,v6_win,200,5.64794450008776
20,0,v6_win,177,7.644358199904673
21,1,v6_win,120,4.342394799925387
22,0,v6_loss,160,5.825094799976796
23,1,v6_loss,133,2.9278838000027463
