game,turn,n_opt,v6,v6_score,v6_la_score,v6_rng,lookahead,la_score,la_la_score,la_rng
1786649941_9e821c33_0,4,6,ATTACK:Itchy Pollen,323,-1027.0,DETERMINISTIC,PLAY idx1,-1,619.0,DETERMINISTIC
1786649941_9e821c33_0,6,6,ATTACK:Phantom Dive,154,2724.0,DETERMINISTIC,PLAY idx1,-1,4539.0,DETERMINISTIC
1786649941_9e821c33_0,8,6,ATTACK:Phantom Dive,154,4354.0,DETERMINISTIC,PLAY idx1,-1,6409.0,DETERMINISTIC
1786649941_9e821c33_0,10,13,ATTACH idx2 area=ACTIVE,61000,61450.0,DETERMINISTIC,ATTACH idx6 area=BENCH,60000,61800.0,DETERMINISTIC
1786649941_9e821c33_0,10,5,ATTACK:Phantom Dive,154,2964.0,DETERMINISTIC,PLAY idx0,-1,4159.0,RNG_DEPENDENT
1786649941_9e821c33_0,12,14,EVOLVE idx5 area=BENCH,70002,81462.0,DETERMINISTIC,EVOLVE idx6 area=BENCH,70001,1070001.0,DETERMINISTIC
1786649941_9e821c33_1,4,7,EVOLVE idx1 area=ACTIVE,30000,33380.0,DETERMINISTIC,EVOLVE idx2 area=BENCH,30000,33680.0,DETERMINISTIC
1786649941_9e821c33_1,6,2,END,0,740.0,UNKNOWN,PLAY idx0,-1,2089.0,RNG_DEPENDENT
1786649941_9e821c33_1,14,5,ATTACK:Phantom Dive,154,3774.0,DETERMINISTIC,PLAY idx1,-1,5589.0,DETERMINISTIC
1786649941_9e821c33_2,6,3,END,0,2760.0,UNKNOWN,PLAY idx1,-1,3159.0,RNG_DEPENDENT
1786649941_9e821c33_2,8,10,ATTACH idx2 area=ACTIVE,20400,23720.0,DETERMINISTIC,ATTACH idx7 area=BENCH,19800,24360.0,DETERMINISTIC
1786649941_9e821c33_2,10,7,ATTACK:Phantom Dive,154,2324.0,DETERMINISTIC,EVOLVE idx0 area=BENCH,-1,3519.0,DETERMINISTIC
1786649941_9e821c33_2,12,7,ATTACK:Phantom Dive,154,5574.0,DETERMINISTIC,EVOLVE idx0 area=BENCH,-1,6769.0,DETERMINISTIC
1786649941_9e821c33_4,4,11,EVOLVE idx2 area=BENCH,30001,32591.0,DETERMINISTIC,EVOLVE idx3 area=BENCH,30001,32741.0,DETERMINISTIC
1786649941_9e821c33_4,4,2,END,0,2590.0,UNKNOWN,PLAY idx0,-1,2839.0,RNG_DEPENDENT
1786649941_9e821c33_4,8,8,ATTACK:Phantom Dive,154,8394.0,DETERMINISTIC,PLAY idx0,-1,10209.0,DETERMINISTIC
1786649941_9e821c33_5,2,4,ATTACK:Itchy Pollen,323,4393.0,DETERMINISTIC,PLAY idx0,-1,5139.0,RNG_DEPENDENT
1786649941_9e821c33_5,4,5,ATTACK:Itchy Pollen,323,3633.0,DETERMINISTIC,PLAY idx0,-1,4529.0,RNG_DEPENDENT
1786649941_9e821c33_5,8,4,ATTACK:Phantom Dive,154,4304.0,DETERMINISTIC,PLAY idx0,-1,6359.0,DETERMINISTIC
1786649941_9e821c33_5,10,5,ATTACK:Phantom Dive,154,6814.0,DETERMINISTIC,PLAY idx0,-1,8869.0,DETERMINISTIC
1786649941_9e821c33_6,6,5,END,0,-2800.0,UNKNOWN,PLAY idx0,-1,-1731.0,RNG_DEPENDENT
1786649941_9e821c33_6,8,11,PLAY idx5,44000,37180.0,RNG_DEPENDENT,PLAY idx6,44000,37480.0,RNG_DEPENDENT
1786649941_9e821c33_6,8,5,ATTACK:Itchy Pollen,323,-6497.0,DETERMINISTIC,PLAY idx2,-1,-4851.0,DETERMINISTIC
1786649941_9e821c33_6,10,6,ATTACK:Itchy Pollen,323,-6507.0,DETERMINISTIC,PLAY idx2,-1,-4221.0,DETERMINISTIC
1786649941_9e821c33_6,12,6,ATTACK:Jet Headbutt,153,-7737.0,DETERMINISTIC,PLAY idx2,-1,-5531.0,DETERMINISTIC
1786649941_9e821c33_6,14,5,ATTACK:Jet Headbutt,153,-7787.0,DETERMINISTIC,PLAY idx1,-1,-5731.0,DETERMINISTIC
1786649941_9e821c33_7,2,4,ATTACK:Itchy Pollen,323,3643.0,DETERMINISTIC,PLAY idx0,-1,5289.0,DETERMINISTIC
1786649941_9e821c33_7,4,16,EVOLVE idx2 area=BENCH,30001,30161.0,DETERMINISTIC,EVOLVE idx3 area=BENCH,30000,31610.0,DETERMINISTIC
1786649941_9e821c33_7,4,14,ATTACH idx2 area=BENCH,20100,19040.0,DETERMINISTIC,ATTACH idx5 area=BENCH,20100,20110.0,DETERMINISTIC
1786649941_9e821c33_7,6,5,ATTACK:Phantom Dive,154,784.0,DETERMINISTIC,PLAY idx1,-1,1699.0,RNG_DEPENDENT
1786649941_9e821c33_7,8,6,ATTACK:Phantom Dive,154,2624.0,DETERMINISTIC,PLAY idx1,-1,3539.0,RNG_DEPENDENT
1786649941_9e821c33_7,12,7,ATTACK:Phantom Dive,154,1794.0,DETERMINISTIC,PLAY idx1,-1,3609.0,RNG_DEPENDENT
1786649941_9e821c33_7,14,5,ATTACK:Itchy Pollen,323,-2917.0,DETERMINISTIC,PLAY idx0,-1,-631.0,DETERMINISTIC
1786649941_9e821c33_7,16,7,ATTACK:Phantom Dive,154,-2646.0,DETERMINISTIC,PLAY idx0,-1,-591.0,DETERMINISTIC
1786649941_9e821c33_8,2,2,END,0,1120.0,UNKNOWN,PLAY idx0,-1,3329.0,DETERMINISTIC
1786649941_9e821c33_8,4,2,END,0,-3410.0,UNKNOWN,PLAY idx0,-1,-1201.0,DETERMINISTIC
1786649941_9e821c33_8,6,2,END,0,-2060.0,UNKNOWN,PLAY idx0,-1,149.0,DETERMINISTIC
1786649941_9e821c33_8,8,8,PLAY idx1,15000,8290.0,DETERMINISTIC,PLAY idx4,14000,10890.0,DETERMINISTIC
1786649941_9e821c33_8,8,4,ATTACK:Phantom Dive,154,-4786.0,DETERMINISTIC,PLAY idx0,-1,-1661.0,DETERMINISTIC
1786649941_9e821c33_8,10,6,ATTACK:Phantom Dive,154,-2626.0,DETERMINISTIC,PLAY idx0,-1,-571.0,DETERMINISTIC
1786649941_9e821c33_8,12,6,ATTACK:Phantom Dive,154,-2676.0,DETERMINISTIC,EVOLVE idx1 area=BENCH,-1,-1481.0,DETERMINISTIC
1786649941_9e821c33_8,14,7,ATTACK:Phantom Dive,154,-4856.0,DETERMINISTIC,PLAY idx1,-1,3179.0,RNG_DEPENDENT
1786649941_9e821c33_9,4,12,ATTACH idx2 area=ACTIVE,61000,56760.0,DETERMINISTIC,ATTACH idx3 area=BENCH,60000,57820.0,DETERMINISTIC
1786649941_9e821c33_9,4,5,ATTACK:Itchy Pollen,323,-5137.0,DETERMINISTIC,PLAY idx1,-1,-2081.0,DETERMINISTIC
1786649941_9e821c33_9,6,6,ATTACK:Phantom Dive,154,-8366.0,DETERMINISTIC,PLAY idx1,-1,-7451.0,DETERMINISTIC
1786649941_9e821c33_9,8,6,ATTACK:Phantom Dive,154,-4606.0,DETERMINISTIC,PLAY idx0,-1,-2551.0,DETERMINISTIC
1786649941_9e821c33_9,10,6,ATTACK:Phantom Dive,154,-9636.0,DETERMINISTIC,PLAY idx1,-1,-7821.0,DETERMINISTIC
1786649941_9e821c33_10,4,10,EVOLVE idx5 area=ACTIVE,30001,25261.0,DETERMINISTIC,EVOLVE idx6 area=BENCH,30000,25410.0,DETERMINISTIC
1786649941_9e821c33_10,4,7,ATTACH idx1 area=BENCH,20100,14290.0,DETERMINISTIC,ATTACH idx2 area=ACTIVE,20000,14400.0,DETERMINISTIC
1786649941_9e821c33_10,12,4,ATTACK:Jet Headbutt,153,-14717.0,DETERMINISTIC,PLAY idx1,-1,-13801.0,RNG_DEPENDENT
1786649941_9e821c33_11,2,4,ATTACK:Itchy Pollen,323,-1937.0,DETERMINISTIC,PLAY idx1,-1,1849.0,RNG_DEPENDENT
1786649941_9e821c33_11,10,7,ATTACK:Phantom Dive,154,3404.0,DETERMINISTIC,EVOLVE idx1 area=BENCH,-1,4599.0,DETERMINISTIC
1786649941_9e821c33_12,2,4,ATTACK:Itchy Pollen,323,1443.0,DETERMINISTIC,PLAY idx0,-1,2149.0,DETERMINISTIC
1786649941_9e821c33_12,6,12,ABILITY idx7,40000,42480.0,DETERMINISTIC,ABILITY idx8,40000,44900.0,DETERMINISTIC
1786649941_9e821c33_12,8,11,PLAY idx0,14000,17840.0,DETERMINISTIC,PLAY idx5,14000,17890.0,DETERMINISTIC
1786649941_9e821c33_12,8,6,ATTACK:Phantom Dive,154,3994.0,DETERMINISTIC,PLAY idx0,-1,4869.0,DETERMINISTIC
1786649941_9e821c33_12,12,14,PLAY idx3,40000,45690.0,RNG_DEPENDENT,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_12,12,13,ABILITY idx8,40000,45690.0,DETERMINISTIC,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_12,12,13,PLAY idx2,35000,40690.0,DETERMINISTIC,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_12,12,6,ATTACK:Phantom Dive,154,5844.0,DETERMINISTIC,PLAY idx1,-1,7829.0,RNG_DEPENDENT
1786649941_9e821c33_13,4,6,ATTACH idx2 area=ACTIVE,20000,21290.0,DETERMINISTIC,ATTACH idx4 area=BENCH,19850,22200.0,DETERMINISTIC
1786649941_9e821c33_14,12,8,ATTACK:Phantom Dive,154,12344.0,DETERMINISTIC,PLAY idx1,-1,14159.0,DETERMINISTIC
1786649941_9e821c33_15,8,11,PLAY idx0,40000,43460.0,RNG_DEPENDENT,PLAY idx3,40000,46790.0,RNG_DEPENDENT
1786649941_9e821c33_15,8,5,ATTACK:Phantom Dive,154,5314.0,DETERMINISTIC,PLAY idx0,-1,6509.0,RNG_DEPENDENT
1786649941_9e821c33_15,10,13,ABILITY idx7,40000,46680.0,DETERMINISTIC,ABILITY idx8,40000,1040000.0,DETERMINISTIC
1786649941_9e821c33_16,2,7,PLAY idx2,45000,44800.0,RNG_DEPENDENT,PLAY idx5,44000,45010.0,RNG_DEPENDENT
1786649941_9e821c33_16,2,3,ATTACK:Itchy Pollen,323,4473.0,DETERMINISTIC,PLAY idx0,-1,6119.0,DETERMINISTIC
1786649941_9e821c33_16,4,12,EVOLVE idx6 area=BENCH,30000,33640.0,DETERMINISTIC,EVOLVE idx7 area=BENCH,30000,34560.0,DETERMINISTIC
1786649941_9e821c33_16,4,4,ATTACK:Itchy Pollen,323,5263.0,DETERMINISTIC,RETREAT,-1,7299.0,DETERMINISTIC
1786649941_9e821c33_16,6,4,ATTACK:Phantom Dive,154,7654.0,DETERMINISTIC,PLAY idx0,-1,9709.0,DETERMINISTIC
1786649941_9e821c33_17,4,5,ATTACK:Itchy Pollen,323,713.0,DETERMINISTIC,PLAY idx0,-1,1609.0,RNG_DEPENDENT
1786649941_9e821c33_17,6,4,ATTACK:Phantom Dive,154,2084.0,DETERMINISTIC,PLAY idx0,-1,2999.0,RNG_DEPENDENT
1786649941_9e821c33_18,4,6,PLAY idx1,45000,45850.0,RNG_DEPENDENT,PLAY idx2,45000,45900.0,RNG_DEPENDENT
1786649941_9e821c33_18,6,12,EVOLVE idx3 area=BENCH,30001,29651.0,DETERMINISTIC,EVOLVE idx4 area=BENCH,30000,29800.0,DETERMINISTIC
1786649941_9e821c33_18,6,13,EVOLVE idx3 area=BENCH,30000,28580.0,DETERMINISTIC,EVOLVE idx4 area=BENCH,30000,29650.0,DETERMINISTIC
1786649941_9e821c33_18,6,6,ATTACK:Itchy Pollen,323,253.0,DETERMINISTIC,PLAY idx1,-1,2139.0,DETERMINISTIC
1786649941_9e821c33_18,8,18,ABILITY idx13,40000,37040.0,DETERMINISTIC,ABILITY idx14,40000,37180.0,DETERMINISTIC
1786649941_9e821c33_18,8,4,ATTACK:Phantom Dive,154,-1666.0,DETERMINISTIC,PLAY idx0,-1,-751.0,DETERMINISTIC
1786649941_9e821c33_18,12,11,ABILITY idx5,40000,38710.0,DETERMINISTIC,ABILITY idx6,40000,38860.0,DETERMINISTIC
1786649941_9e821c33_19,2,6,ATTACK:Itchy Pollen,323,2343.0,DETERMINISTIC,PLAY idx2,-1,3989.0,DETERMINISTIC
1786649941_9e821c33_19,8,21,EVOLVE idx8 area=BENCH,30001,36481.0,DETERMINISTIC,EVOLVE idx9 area=BENCH,30001,36631.0,DETERMINISTIC
1786649941_9e821c33_19,10,4,ATTACK:Itchy Pollen,323,3443.0,DETERMINISTIC,PLAY idx0,-1,4339.0,RNG_DEPENDENT
1786649941_9e821c33_19,14,7,PLAY idx2,35000,33610.0,DETERMINISTIC,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_19,16,5,PLAY idx2,14000,10690.0,DETERMINISTIC,PLAY idx1,-1,999999.0,RNG_DEPENDENT
1786649941_9e821c33_19,16,5,ATTACK:Jet Headbutt,153,-3007.0,DETERMINISTIC,PLAY idx1,-1,-951.0,DETERMINISTIC
1786649941_9e821c33_19,18,10,PLAY idx0,44000,44310.0,RNG_DEPENDENT,PLAY idx1,40000,1040000.0,RNG_DEPENDENT
1786649941_9e821c33_20,6,15,ABILITY idx9,40000,43230.0,DETERMINISTIC,ABILITY idx10,40000,43460.0,DETERMINISTIC
1786649941_9e821c33_20,6,19,ATTACH idx6 area=BENCH,20050,23140.0,DETERMINISTIC,ATTACH idx13 area=BENCH,20050,24490.0,DETERMINISTIC
1786649941_9e821c33_20,8,16,ABILITY idx10,40000,41970.0,DETERMINISTIC,ABILITY idx12,40000,43320.0,DETERMINISTIC
1786649941_9e821c33_20,14,10,PLAY idx3,40000,51820.0,RNG_DEPENDENT,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_20,14,9,ABILITY idx3,40000,51820.0,DETERMINISTIC,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_20,14,10,EVOLVE idx3 area=BENCH,70002,83172.0,DETERMINISTIC,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
1786649941_9e821c33_20,14,8,ABILITY idx3,40000,53170.0,DETERMINISTIC,ATTACK:Phantom Dive,154,1000154.0,DETERMINISTIC
