antithrash_suppressed_estimate,attacked,decision_index,eligible,episode_id,ineligible_reason,label,n_ready_bench,opp_active_card,opp_active_hp,opp_lethal_attack,opp_lethal_damage,our_active_card,our_active_energy_loss_if_retreated,our_active_hp,our_active_id,our_active_retreat_cost,our_lethal_attack,result,retreated,turn
,False,0,False,92590435,no_active,v7,,,,,,,,,,,,WIN,False,
,False,1,False,92590435,no_active,v7,,,,,,,,,,,,WIN,False,
,False,2,False,92590435,no_active,v7,,,,,,,,,,,,WIN,False,0
,False,3,False,92590435,no_active,v7,,,,,,,,,,,,WIN,False,0
,False,4,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,1
,False,5,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,1
,False,6,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,1
,False,7,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,1
,False,8,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,1
,False,9,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,2
,False,10,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,11,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,12,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,13,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,14,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,15,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,16,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,17,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,False,3
,False,18,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,False,3
,False,19,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,20,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,False,3
,False,21,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,False,3
,False,22,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,23,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,False,3
,False,24,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,False,3
,False,25,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,26,False,92590435,not_lethal,v7,,,,,,,,,1071,,,WIN,True,3
,False,27,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,28,False,92590435,no_retreat_option,v7,,,,,,,,,1071,,,WIN,False,3
,False,29,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,3
,False,30,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,False,5
,False,31,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,32,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,False,5
,False,33,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,34,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,False,5
,False,35,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,36,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,False,5
,False,37,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,38,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,False,5
,False,39,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,40,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,41,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,False,42,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,False,5
,False,43,False,92590435,not_2prize_ex,v7,,,,,,,,,235,,,WIN,True,5
,False,44,False,92590435,no_retreat_option,v7,,,,,,,,,235,,,WIN,False,5
,True,45,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,46,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,47,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,48,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,49,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,50,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,51,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,5
,False,52,False,92590435,no_active,v7,,,,,,,,,121,,,WIN,False,5
,False,53,False,92590435,no_active,v7,,,,,,,,,121,,,WIN,False,5
,False,54,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,6
,False,55,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,56,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,57,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,58,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,59,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,60,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,61,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,62,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,63,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,64,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,65,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,True,66,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,7
,False,67,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,68,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,69,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,70,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,71,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,72,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,7
,False,73,False,92590435,no_active,v7,,,,,,,,,121,,,WIN,False,7
,False,74,False,92590435,no_active,v7,,,,,,,,,121,,,WIN,False,7
,False,75,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,9
,False,76,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,9
,False,77,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,9
,False,78,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,9
,False,79,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,9
,False,80,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,9
,False,81,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,9
,True,82,False,92590435,not_lethal,v7,,,,,,,,,121,,,WIN,False,9
,False,83,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,9
,False,84,False,92590435,no_retreat_option,v7,,,,,,,,,121,,,WIN,False,9
