episode_id,date,period,size_bytes,avg_score,min_score,sum_score,team0,team1,winner,outcome_type,first_player,n_steps,final_turn_p0,final_turn_p1,deck0_hash,deck1_hash,deck0_ncards,deck1_ncards
81004110,2026-06-21,EARLY,355883,1071.756804,1063.624464,2143.513609,Kendamarron,みずあめ,0,DECISIVE,1,19,2,3,6948b9208b17fad2,831fd3a04060c7c2,60,60
81196890,2026-06-21,EARLY,481487,1305.615161,1268.366222,2611.230322,keidroid,The Debauchery Tea Party,1,DECISIVE,0,25,1,2,aa2398e69a3549ad,6948b9208b17fad2,60,60
80188997,2026-06-16,EARLY,830216,598.321883,508.138425,1196.643766,실험용생쥐,shyGnome3,0,DECISIVE,0,41,7,6,da2a64c2ecaab66a,da2a64c2ecaab66a,60,60
80998179,2026-06-21,EARLY,539927,1041.114057,1008.108110,2082.228114,tw_shin,InkCartridge,0,DECISIVE,0,29,3,2,272e341949227f9c,2fa84cd9495ec752,60,60
80354430,2026-06-17,EARLY,1449493,864.592249,855.446108,1729.184497,iwashi,suk1yak1,1,DECISIVE,0,65,5,6,59aefb1a7dfb20a9,0d651d7ecc471d41,60,60
80793830,2026-06-20,EARLY,789982,1104.142762,1096.399125,2208.285524,Angus Chang,blue0620,0,DECISIVE,0,37,3,2,6a5ea46694ab74f1,831fd3a04060c7c2,60,60
80628440,2026-06-19,EARLY,1634252,982.829090,913.508104,1965.658181,Kohta.F,sakimyto,1,DECISIVE,1,68,4,5,c9eba9795f3be059,8e69a0e7db2dd8a7,60,60
80769258,2026-06-20,EARLY,733253,1057.007624,1023.675098,2114.015248,ゆとり,pokeka_ryo,1,DECISIVE,0,36,3,4,0e7a9c48c0fbb1bb,ccd41f8554b530ab,60,60
80218686,2026-06-16,EARLY,1500534,753.073470,710.389929,1506.146940,daniel,takuyay,1,DECISIVE,0,66,17,18,70bab7cb8c68f6d0,2b2e5439cf9cc23e,60,60
80394369,2026-06-18,EARLY,440529,846.779149,813.379397,1693.558299,Suzuki Mari,Danny,1,DECISIVE,0,24,3,4,9e806ea24e98166b,59aefb1a7dfb20a9,60,60
80384356,2026-06-17,EARLY,1064593,983.177052,960.716257,1966.354104,Ten Uchikawa,Paras Sharma,1,DECISIVE,1,48,8,9,59aefb1a7dfb20a9,4164643d1cfb5694,60,60
80215827,2026-06-16,EARLY,867132,787.396094,758.720775,1574.792187,WOOSUNG YOON,Julian,1,DECISIVE,1,46,6,7,59138a345c6b933a,da2a64c2ecaab66a,60,60
80910128,2026-06-20,EARLY,481142,1048.105972,1044.783205,2096.211944,TOMOYA Tsunakawa,tomatomato,1,DECISIVE,1,26,2,3,59138a345c6b933a,ad9eb15621c47305,60,60
80349937,2026-06-17,EARLY,1375992,788.730943,741.816991,1577.461886,uehara riki,persn,0,DECISIVE,0,62,15,14,7b8dec20710c5b73,99ee137d28bac0f3,60,60
80385231,2026-06-17,EARLY,806741,891.022613,826.503922,1782.045227,Aaron Fletcher,Dakuma,0,DECISIVE,0,43,9,8,59aefb1a7dfb20a9,9c9bdd6f955942f8,60,60
81184163,2026-06-21,EARLY,1319294,1226.069516,1174.141982,2452.139032,charmq,NecromanAlbert,1,DECISIVE,0,59,5,6,a847f32547a773fd,59138a345c6b933a,60,60
80328449,2026-06-17,EARLY,691463,687.224925,648.694523,1374.449850,Atom McCree,shikisoukan,1,DECISIVE,0,36,3,4,da2a64c2ecaab66a,48dd52a2dbec2f58,60,60
80183503,2026-06-16,EARLY,398921,568.522673,459.759926,1137.045346,Ravindra,okadayuki,1,DECISIVE,0,22,5,6,3aff49e27d78ff81,4911d251036bbddc,60,60
80331943,2026-06-17,EARLY,1659178,818.120861,765.372186,1636.241723,Awajima,nakusnakus,1,DECISIVE,1,67,8,9,6620d7bcbd15b965,48462cea7bb2adca,60,60
80190786,2026-06-16,EARLY,628387,624.702979,551.013898,1249.405959,Maxim,SpeedSci,1,DECISIVE,0,32,1,2,4911d251036bbddc,6c534f1524e51c74,60,60
80384357,2026-06-17,EARLY,462198,922.032771,906.623789,1844.065542,Tanupro,Heisei,0,DECISIVE,0,23,3,2,20ba66c22462a120,41e645122e9d59c6,60,60
80355879,2026-06-17,EARLY,1360356,729.623284,695.688011,1459.246568,Chattso-GPT (Yasuhito Yanagisawa),Praxel,1,DECISIVE,0,63,5,6,e8cc78ff2aca77a9,6c534f1524e51c74,60,60
80437288,2026-06-18,EARLY,1057098,865.023935,830.839392,1730.047871,Tsubasa Kanno,kaggle_bbgg,1,DECISIVE,0,52,10,10,c560f1caa3468d1c,4164643d1cfb5694,60,60
80283660,2026-06-17,EARLY,812419,674.670553,575.274752,1349.341105,kidekikish,sshang,0,DECISIVE,0,40,5,4,4911d251036bbddc,70bab7cb8c68f6d0,60,60
80484486,2026-06-18,EARLY,488107,955.275750,954.066973,1910.551499,ADS,dmiyabe,1,DECISIVE,0,27,1,2,59aefb1a7dfb20a9,3c1906459f149732,60,60
80687738,2026-06-19,EARLY,3193969,1035.912775,982.160707,2071.825550,SO0529,Mudkip's Machines,0,DECISIVE,0,120,13,12,6c534f1524e51c74,6c534f1524e51c74,60,60
81061450,2026-06-21,EARLY,2634793,1157.313311,1140.771631,2314.626621,みずあめ,Kendamarron,0,DECISIVE,0,105,15,14,04ecfe41e2898127,6948b9208b17fad2,60,60
80257154,2026-06-17,EARLY,2791106,705.033428,635.321574,1410.066856,Tensa.bit,Dan Ah Tou,0,DECISIVE,0,115,17,16,c560f1caa3468d1c,6c534f1524e51c74,60,60
80377744,2026-06-17,EARLY,2399476,833.466871,804.700737,1666.933743,mands,parthenos,0,DECISIVE,0,96,15,14,c560f1caa3468d1c,b25e7963304a20a1,60,60
