episode_id,date,period,timestamp,team0,team1,min_score,sum_score,winner,outcome_type,first_player,n_steps,final_turn_p0,final_turn_p1,deck0_hash,deck1_hash,deck0_ncards,deck1_ncards,source
84463034,2026-07-06,EARLY,2026-07-06T21:49:40.7679246,渡邊征央,Yushin Ito,1064.512696,2157.881631,0,DECISIVE,0,90,7,6,b43a53d96da0f0b5,aa2398e69a3549ad,60,60,pilot_reuse
80355879,2026-06-17,EARLY,2026-06-17T19:20:03.5523968,Chattso-GPT (Yasuhito Yanagisawa),Praxel,695.688011,1459.246568,1,DECISIVE,0,63,5,6,e8cc78ff2aca77a9,6c534f1524e51c74,60,60,pilot_reuse
83056953,2026-07-01,EARLY,2026-07-01T11:36:02.5981023,djschmit,THIRD PTCG Club,1116.916517,2277.369622,1,DECISIVE,1,193,16,17,11b0a2d81e5449a3,bf4fd9046cb2d210,60,60,pilot_reuse
80740793,2026-06-19,EARLY,2026-06-19T21:14:16.2007805,midnq,Takusato,1039.326830,2158.868600,0,DECISIVE,0,118,13,12,1780347646b3b151,f26c077f8702317c,60,60,pilot_reuse
82130501,2026-06-27,EARLY,2026-06-27T01:41:45.2208285,vibechu,daiki_pyonkichi,1049.866452,2167.960794,0,DECISIVE,0,222,15,14,72425533dadc98a1,831fd3a04060c7c2,60,60,pilot_reuse
82368332,2026-06-28,EARLY,2026-06-28T06:05:50.3988809,好吃的台灣拉麵,ei8171,1002.950961,2054.661122,0,DECISIVE,0,212,27,26,cf54338b6b99acc3,2b3108749e2032d7,60,60,pilot_reuse
82268858,2026-06-27,EARLY,2026-06-27T18:13:52.5961704,hikarimaru,lark1115,925.720564,1975.514600,0,DECISIVE,1,80,8,7,2b3108749e2032d7,6bcc792fc6e11051,60,60,pilot_reuse
80966694,2026-06-20,EARLY,2026-06-20T22:04:01.0857993,rikakei_no_otoko,Aditya,996.419557,2020.683880,1,DECISIVE,0,127,13,14,a5437fdb9a42f891,772413e4790654e2,60,60,pilot_reuse
80734266,2026-06-19,EARLY,2026-06-19T20:26:16.0846244,SkySell,kglctf,1068.903103,2139.609002,1,DECISIVE,0,142,11,12,4a256a933ac66a7b,4a256a933ac66a7b,60,60,pilot_reuse
80427161,2026-06-18,EARLY,2026-06-18T06:01:03.1420071,m333studio,Paras Sharma,1003.860386,2025.354669,0,DECISIVE,0,185,23,22,59aefb1a7dfb20a9,2768139fe1eb6d0b,60,60,pilot_reuse
80628440,2026-06-19,EARLY,2026-06-19T08:06:09.5916128,Kohta.F,sakimyto,913.508104,1965.658181,1,DECISIVE,1,68,4,5,c9eba9795f3be059,8e69a0e7db2dd8a7,60,60,pilot_reuse
82476624,2026-06-28,EARLY,2026-06-28T18:54:20.1659764,shimacos,GarlicToday,1077.600841,2172.880079,0,DECISIVE,1,144,16,15,d618f01afde0c0c5,2b3108749e2032d7,60,60,pilot_reuse
80328449,2026-06-17,EARLY,2026-06-17T15:14:07.2126457,Atom McCree,shikisoukan,648.694523,1374.449850,1,DECISIVE,0,36,3,4,da2a64c2ecaab66a,48dd52a2dbec2f58,60,60,pilot_reuse
81814983,2026-06-25,EARLY,2026-06-25T11:01:03.9018248,Bruno Escalhao,mmwstudy,914.791864,1930.144100,0,DECISIVE,0,153,17,16,e4e79fcca78f4293,7452774657ad1444,60,60,pilot_reuse
83271123,2026-07-02,EARLY,2026-07-02T07:33:25.5595632,kazuki0123,Akira-Ninth,1127.407182,2299.281935,1,DECISIVE,0,159,11,12,c9d8794e26a87fa3,9d1dad39ec641aa0,60,60,pilot_reuse
83699525,2026-07-03,EARLY,2026-07-03T23:08:21.6488729,pokeka_ryo,suguuuuu & hiehie,1104.318862,2219.157433,1,DECISIVE,0,125,11,12,27b307e62db35245,cf54338b6b99acc3,60,60,pilot_reuse
82007536,2026-06-26,EARLY,2026-06-26T10:52:49.5827397,Ricardo Nakadomari,FirstSS-Sub,1004.763005,2113.444082,1,DECISIVE,1,241,28,29,d60bd450662912be,0b99dec21056b2f3,60,60,pilot_reuse
81528168,2026-06-23,EARLY,2026-06-23T20:08:15.4456435,Kurokawa,yuichiro miyamae,761.513426,1590.184724,1,DECISIVE,0,141,23,24,6c534f1524e51c74,6143634cde029e33,60,60,pilot_reuse
80553298,2026-06-18,EARLY,2026-06-18T23:05:09.8469213,Arda Karakaş,Shiva,879.814616,1864.849288,0,DECISIVE,1,93,18,17,59aefb1a7dfb20a9,64e146b2133f7b99,60,60,pilot_reuse
84364800,2026-07-06,EARLY,2026-07-06T12:48:50.6071205,nasuo445,Majkel1337,1220.896283,2451.433573,0,DECISIVE,0,166,15,14,e34dae96b1984485,831fd3a04060c7c2,60,60,pilot_reuse
82902644,2026-06-30,EARLY,2026-06-30T21:11:40.1902272,Hamu.py,S4nkurero,1052.910006,2195.066824,0,DECISIVE,0,200,19,18,101254ad244275c0,831fd3a04060c7c2,60,60,pilot_reuse
82504514,2026-06-28,EARLY,2026-06-28T22:18:20.1182091,Aditya,soraemon,962.544083,1927.600473,0,DECISIVE,0,112,9,8,bb2d316213f97f70,ad9eb15621c47305,60,60,pilot_reuse
83059679,2026-07-01,EARLY,2026-07-01T11:52:02.4838812,Michael Krager,pokeka_ryo,1179.889892,2368.657331,1,DECISIVE,0,27,3,4,a88ac606b2d71a36,27b307e62db35245,60,60,pilot_reuse
80366361,2026-06-17,EARLY,2026-06-17T20:53:45.9997216,Zscorpio,Valkyrja,648.786448,1393.150133,0,DECISIVE,0,167,15,14,8f4c6902beadfd10,fbce070f0c6c02f0,60,60,pilot_reuse
80385231,2026-06-17,EARLY,2026-06-17T23:48:28.1728136,Aaron Fletcher,Dakuma,826.503922,1782.045227,0,DECISIVE,0,43,9,8,59aefb1a7dfb20a9,9c9bdd6f955942f8,60,60,pilot_reuse
81210332,2026-06-21,EARLY,2026-06-21T23:01:35.5303240,persn,カドラバ Kadoraba,1150.336568,2385.650834,1,DECISIVE,1,167,16,17,cf54338b6b99acc3,dec7cdaef424b950,60,60,pilot_reuse
80349937,2026-06-17,EARLY,2026-06-17T18:27:39.8421715,uehara riki,persn,741.816991,1577.461886,0,DECISIVE,0,62,15,14,7b8dec20710c5b73,99ee137d28bac0f3,60,60,pilot_reuse
83400102,2026-07-02,EARLY,2026-07-02T19:27:55.6782804,Akira-Ninth,kawachi,1100.128966,2211.028278,0,DECISIVE,1,217,18,18,9d1dad39ec641aa0,b41dab6a922e3a11,60,60,pilot_reuse
81076967,2026-06-21,EARLY,2026-06-21T09:33:01.8580672,[RU] Nikita Kuznetsov,Kendamarron,1043.706570,2193.269544,1,DECISIVE,0,116,13,14,4a256a933ac66a7b,6948b9208b17fad2,60,60,pilot_reuse
81714764,2026-06-24,EARLY,2026-06-24T22:09:02.9941602,djschmit,hiroyuki tahuma,929.995338,1980.085676,0,DECISIVE,0,130,11,10,4687026fcbc2d0cb,c61a10379c017038,60,60,pilot_reuse
80998179,2026-06-21,EARLY,2026-06-21T01:24:32.6748974,tw_shin,InkCartridge,1008.108110,2082.228114,0,DECISIVE,0,29,3,2,272e341949227f9c,2fa84cd9495ec752,60,60,pilot_reuse
80923638,2026-06-20,EARLY,2026-06-20T17:27:53.4045482,【ＡＩと共に、ＡＩと戦う】tubotu,Robo Games,1002.096991,2005.882471,1,DECISIVE,0,115,21,22,d263d4de37a37f2b,cf54338b6b99acc3,60,60,pilot_reuse
80880752,2026-06-20,EARLY,2026-06-20T12:55:23.6484991,onechan1,mattsu2020,1029.354537,2193.676863,0,DECISIVE,0,242,15,14,bd3a5d98cf29cbc3,76d558d342480e95,60,60,pilot_reuse
80331440,2026-06-17,EARLY,2026-06-17T15:42:07.0010634,Ushimaru,Been Seo,813.787194,1701.135246,1,DECISIVE,1,83,8,9,59aefb1a7dfb20a9,6c534f1524e51c74,60,60,pilot_reuse
80262427,2026-06-17,EARLY,2026-06-17T04:42:07.0741659,anthonychiang000,tsumuit,762.942010,1680.200877,1,DECISIVE,0,166,12,12,6c534f1524e51c74,6c534f1524e51c74,60,60,pilot_reuse
81959165,2026-06-26,EARLY,2026-06-26T04:48:48.8302560,Tanupro,shimacos,981.291979,2039.161701,0,DECISIVE,0,192,23,22,cf54338b6b99acc3,cf54338b6b99acc3,60,60,pilot_reuse
82538218,2026-06-29,EARLY,2026-06-29T02:22:19.7540942,MtN,らすはる,1064.424274,2171.115252,1,DECISIVE,0,107,13,14,755af6541b064429,d97004b63104f708,60,60,pilot_reuse
80826774,2026-06-20,EARLY,2026-06-20T06:58:51.2308651,神～卍ぴくるすうどん卍～最強「ミラティブ配信中」,SOUTA Sakurai,1075.377180,2155.820845,1,DECISIVE,0,104,9,10,64e146b2133f7b99,64e146b2133f7b99,60,60,pilot_reuse
81503463,2026-06-23,EARLY,2026-06-23T14:52:40.0189886,Sumant V J,河村直樹,592.645998,1268.469811,0,DECISIVE,0,52,5,4,f5c72d899ca8b632,2c9b6cbbab859256,60,60,pilot_reuse
83589403,2026-07-03,EARLY,2026-07-03T12:56:22.4559984,tonakaiiii,Yushin Ito,1219.280513,2490.414445,1,DECISIVE,0,82,11,12,b43a53d96da0f0b5,aa2398e69a3549ad,60,60,pilot_reuse
83237345,2026-07-02,EARLY,2026-07-02T04:25:28.1994995,THIRD PTCG Club,tonakaiiii,1154.430140,2381.365604,1,DECISIVE,0,184,11,12,bf4fd9046cb2d210,b43a53d96da0f0b5,60,60,pilot_reuse
