episode_id,date,week,quintile,sample_type,size_bytes,team0,team1,winner,outcome_type,first_player,n_steps,final_turn_p0,final_turn_p1,deck0_hash,deck1_hash,deck0_ncards,deck1_ncards,deck0_source,deck1_source
81004110,2026-06-21,0,0,stratified,355883,Kendamarron,みずあめ,0,DECISIVE,1,19,2,3,6948b9208b17fad2,831fd3a04060c7c2,60,60,action,action
81196890,2026-06-21,0,0,stratified,481487,keidroid,The Debauchery Tea Party,1,DECISIVE,0,25,1,2,aa2398e69a3549ad,6948b9208b17fad2,60,60,action,action
80188997,2026-06-16,0,0,stratified,830216,실험용생쥐,shyGnome3,0,DECISIVE,0,41,7,6,da2a64c2ecaab66a,da2a64c2ecaab66a,60,60,action,action
80998179,2026-06-21,0,0,stratified,539927,tw_shin,InkCartridge,0,DECISIVE,0,29,3,2,272e341949227f9c,2fa84cd9495ec752,60,60,action,action
80354430,2026-06-17,0,0,stratified,1449493,iwashi,suk1yak1,1,DECISIVE,0,65,5,6,59aefb1a7dfb20a9,0d651d7ecc471d41,60,60,action,action
80793830,2026-06-20,0,0,stratified,789982,Angus Chang,blue0620,0,DECISIVE,0,37,3,2,6a5ea46694ab74f1,831fd3a04060c7c2,60,60,action,action
80628440,2026-06-19,0,0,stratified,1634252,Kohta.F,sakimyto,1,DECISIVE,1,68,4,5,c9eba9795f3be059,8e69a0e7db2dd8a7,60,60,action,action
80769258,2026-06-20,0,0,stratified,733253,ゆとり,pokeka_ryo,1,DECISIVE,0,36,3,4,0e7a9c48c0fbb1bb,ccd41f8554b530ab,60,60,action,action
80218686,2026-06-16,0,0,stratified,1500534,daniel,takuyay,1,DECISIVE,0,66,17,18,70bab7cb8c68f6d0,2b2e5439cf9cc23e,60,60,action,action
80394369,2026-06-18,0,0,stratified,440529,Suzuki Mari,Danny,1,DECISIVE,0,24,3,4,9e806ea24e98166b,59aefb1a7dfb20a9,60,60,action,action
80384356,2026-06-17,0,0,stratified,1064593,Ten Uchikawa,Paras Sharma,1,DECISIVE,1,48,8,9,59aefb1a7dfb20a9,4164643d1cfb5694,60,60,action,action
80215827,2026-06-16,0,0,stratified,867132,WOOSUNG YOON,Julian,1,DECISIVE,1,46,6,7,59138a345c6b933a,da2a64c2ecaab66a,60,60,action,action
80910128,2026-06-20,0,0,stratified,481142,TOMOYA Tsunakawa,tomatomato,1,DECISIVE,1,26,2,3,59138a345c6b933a,ad9eb15621c47305,60,60,action,action
80349937,2026-06-17,0,0,stratified,1375992,uehara riki,persn,0,DECISIVE,0,62,15,14,7b8dec20710c5b73,99ee137d28bac0f3,60,60,action,action
80385231,2026-06-17,0,0,stratified,806741,Aaron Fletcher,Dakuma,0,DECISIVE,0,43,9,8,59aefb1a7dfb20a9,9c9bdd6f955942f8,60,60,action,action
81184163,2026-06-21,0,0,stratified,1319294,charmq,NecromanAlbert,1,DECISIVE,0,59,5,6,a847f32547a773fd,59138a345c6b933a,60,60,action,action
